uid, step, Scheduling, StagingInput, Allocating, Executing, AgentStagingOutputPending, Done

unit.000000, step_1, 1446660989.17, 1446660989.52, 1446660996.59, 1446660996.79, 1446660997.43, 1446661009.56
unit.000001, step_1, 1446660989.17, 1446660989.52, 1446660996.79, 1446660996.99, 1446660997.63, 1446661010.86
unit.000002, step_1, 1446660989.17, 1446660989.53, 1446660997.4, 1446660997.6, 1446660998.23, 1446661012.93
unit.000003, step_1, 1446660989.17, 1446660989.53, 1446660997.19, 1446660997.4, 1446660998.03, 1446661012.32
unit.000004, step_1, 1446660989.18, 1446660989.53, 1446660997.6, 1446660997.8, 1446660998.43, 1446661014.36
unit.000005, step_1, 1446660989.18, 1446660989.54, 1446660998.62, 1446660998.82, 1446660999.44, 1446661018.06
unit.000006, step_1, 1446660989.18, 1446660989.5, 1446660994.12, 1446660994.32, 1446660994.91, 1446660999.97
unit.000007, step_1, 1446660989.19, 1446660989.5, 1446660994.52, 1446660994.72, 1446660995.31, 1446661001.53
unit.000008, step_1, 1446660989.19, 1446660989.5, 1446660994.32, 1446660994.52, 1446660995.11, 1446661000.47
unit.000009, step_1, 1446660989.2, 1446660989.5, 1446660994.93, 1446660995.13, 1446660995.72, 1446661003.06
unit.000010, step_1, 1446660989.2, 1446660989.51, 1446660995.14, 1446660995.34, 1446660995.92, 1446661003.5
unit.000011, step_1, 1446660989.2, 1446660989.51, 1446660995.54, 1446660995.74, 1446660996.42, 1446661005.01
unit.000012, step_1, 1446660989.21, 1446660989.51, 1446660995.75, 1446660995.95, 1446660996.52, 1446661005.97
unit.000013, step_1, 1446660989.22, 1446660989.52, 1446660996.18, 1446660996.38, 1446660997.02, 1446661007.45
unit.000014, step_1, 1446660989.22, 1446660989.51, 1446660995.34, 1446660995.54, 1446660996.22, 1446661004.51
unit.000015, step_1, 1446660989.23, 1446660989.51, 1446660995.98, 1446660996.18, 1446660996.82, 1446661006.48
unit.000016, step_1, 1446660989.23, 1446660989.53, 1446660997.8, 1446660998.01, 1446660998.63, 1446661014.8
unit.000017, step_1, 1446660989.24, 1446660989.52, 1446660996.99, 1446660997.19, 1446660997.83, 1446661011.44
unit.000018, step_1, 1446660989.24, 1446660989.52, 1446660996.38, 1446660996.59, 1446660997.22, 1446661008.59
unit.000019, step_1, 1446660989.25, 1446660989.53, 1446660998.0, 1446660998.21, 1446660998.83, 1446661015.86
unit.000020, step_1, 1446660989.25, 1446660989.54, 1446660998.21, 1446660998.41, 1446660999.14, 1446661016.3
unit.000021, step_1, 1446660989.25, 1446660989.54, 1446660998.41, 1446660998.61, 1446660999.24, 1446661017.65
unit.000022, step_1, 1446660989.25, 1446660989.49, 1446660993.92, 1446660994.12, 1446660994.81, 1446660998.84
unit.000023, step_1, 1446660989.26, 1446660989.5, 1446660994.73, 1446660994.93, 1446660995.51, 1446661001.96
unit.000024, step_2, 1446661018.89, 1446661023.73, 1446661025.26, 1446661025.46, 1446661027.4, 1446661031.68
unit.000025, step_2, 1446661018.89, 1446661024.44, 1446661026.32, 1446661026.53, 1446661028.4, 1446661031.71
unit.000026, step_2, 1446661018.89, 1446661024.6, 1446661026.53, 1446661026.73, 1446661028.5, 1446661032.84
unit.000027, step_2, 1446661018.89, 1446661025.71, 1446661027.83, 1446661028.03, 1446661029.81, 1446661032.81
unit.000028, step_2, 1446661018.89, 1446661025.72, 1446661030.57, 1446661030.77, 1446661032.61, 1446661034.98
unit.000029, step_2, 1446661018.89, 1446661027.13, 1446661028.58, 1446661028.78, 1446661030.61, 1446661033.9
unit.000030, step_2, 1446661018.9, 1446661028.09, 1446661029.58, 1446661029.78, 1446661031.61, 1446661033.92
unit.000031, step_2, 1446661018.9, 1446661029.03, 1446661030.77, 1446661030.98, 1446661032.82, 1446661035.0
unit.000032, step_2, 1446661018.9, 1446661029.97, 1446661031.32, 1446661031.53, 1446661033.32, 1446661036.07
unit.000033, step_2, 1446661018.9, 1446661030.01, 1446661031.63, 1446661031.84, 1446661033.72, 1446661036.08
unit.000034, step_2, 1446661018.9, 1446661030.84, 1446661032.29, 1446661032.49, 1446661034.32, 1446661037.15
unit.000035, step_2, 1446661018.9, 1446661031.08, 1446661032.77, 1446661032.97, 1446661034.82, 1446661037.16
unit.000036, step_2, 1446661018.9, 1446661031.7, 1446661033.25, 1446661033.49, 1446661035.33, 1446661038.24
unit.000037, step_2, 1446661018.91, 1446661032.15, 1446661033.73, 1446661033.94, 1446661035.83, 1446661038.24
unit.000038, step_2, 1446661018.91, 1446661032.64, 1446661034.12, 1446661034.32, 1446661036.13, 1446661039.33
unit.000039, step_2, 1446661018.91, 1446661033.22, 1446661034.94, 1446661035.15, 1446661037.03, 1446661039.32
unit.000040, step_2, 1446661018.91, 1446661033.58, 1446661035.14, 1446661035.35, 1446661037.13, 1446661040.4
unit.000041, step_2, 1446661018.91, 1446661019.61, 1446661022.09, 1446661022.3, 1446661024.19, 1446661028.45
unit.000042, step_2, 1446661018.91, 1446661019.97, 1446661022.41, 1446661022.61, 1446661024.49, 1446661027.31
unit.000043, step_2, 1446661018.92, 1446661021.61, 1446661023.23, 1446661023.43, 1446661025.29, 1446661028.41
unit.000044, step_2, 1446661018.92, 1446661021.9, 1446661023.54, 1446661023.74, 1446661025.59, 1446661029.51
