uid, iter, step, Scheduling, StagingInput, AgentStagingInputPending, AgentStagingInput, AllocatingPending, Allocating, ExecutingPending, Executing, AgentStagingOutputPending, AgentStagingOutput, PendingOutputStaging, StagingOutput, Done

unit.000000, 1, sim, 1468430399.55, 1468430400.78, 1468430400.78, 1468430405.25, 1468430405.25, 1468430405.29, 1468430405.3,1468430405.38, 1468430416.91, 1468430417.07, 1468430417.08, 1468430417.82, 1468430417.92
unit.000001, 1, sim, 1468430399.55, 1468430401.37, 1468430401.37, 1468430405.27, 1468430405.28, 1468430405.32, 1468430405.32,1468430405.58, 1468430416.86, 1468430416.94, 1468430416.96, 1468430418.42, 1468430418.52
unit.000002, 1, sim, 1468430399.55, 1468430401.76, 1468430401.76, 1468430405.3, 1468430405.33, 1468430405.33, 1468430405.34,1468430405.69, 1468430416.92, 1468430417.1, 1468430417.11, 1468430418.81, 1468430418.91
unit.000003, 1, sim, 1468430399.55, 1468430400.58, 1468430400.58, 1468430405.24, 1468430405.24, 1468430405.29, 1468430405.29,1468430405.35, 1468430416.9, 1468430416.98, 1468430417.0, 1468430417.63, 1468430417.73
unit.000004, 1, sim, 1468430399.55, 1468430400.98, 1468430400.98, 1468430405.26, 1468430405.26, 1468430405.31, 1468430405.31,1468430405.46, 1468430416.86, 1468430416.93, 1468430416.94, 1468430418.03, 1468430418.12
unit.000005, 1, sim, 1468430399.55, 1468430400.97, 1468430400.97, 1468430405.26, 1468430405.26, 1468430405.3, 1468430405.3,1468430405.43, 1468430416.92, 1468430417.11, 1468430417.12, 1468430418.02, 1468430418.12
unit.000006, 1, sim, 1468430399.55, 1468430401.76, 1468430401.76, 1468430405.29, 1468430405.3, 1468430405.33, 1468430405.33,1468430405.67, 1468430416.91, 1468430417.04, 1468430417.05, 1468430418.81, 1468430418.91
unit.000007, 1, sim, 1468430399.55, 1468430400.78, 1468430400.78, 1468430405.25, 1468430405.25, 1468430405.3, 1468430405.3,1468430405.4, 1468430416.91, 1468430417.0, 1468430417.01, 1468430417.83, 1468430417.93
unit.000008, 1, sim, 1468430399.55, 1468430401.57, 1468430401.57, 1468430405.28, 1468430405.28, 1468430405.33, 1468430405.33,1468430405.64, 1468430416.86, 1468430416.96, 1468430416.97, 1468430418.61, 1468430418.71
unit.000009, 1, sim, 1468430399.55, 1468430401.17, 1468430401.17, 1468430405.26, 1468430405.26, 1468430405.31, 1468430405.31,1468430405.49, 1468430416.91, 1468430417.01, 1468430417.02, 1468430418.22, 1468430418.31
unit.000010, 1, sim, 1468430399.55, 1468430401.96, 1468430401.96, 1468430405.33, 1468430405.34, 1468430405.34, 1468430405.34,1468430405.72, 1468430416.86, 1468430416.97, 1468430416.98, 1468430419.01, 1468430419.1
unit.000011, 1, sim, 1468430399.55, 1468430401.17, 1468430401.17, 1468430405.27, 1468430405.27, 1468430405.31, 1468430405.31,1468430405.52, 1468430416.92, 1468430417.08, 1468430417.1, 1468430418.22, 1468430418.32
unit.000012, 1, sim, 1468430399.55, 1468430401.96, 1468430401.96, 1468430405.34, 1468430405.34, 1468430405.35, 1468430405.35,1468430405.75, 1468430416.91, 1468430417.05, 1468430417.06, 1468430419.01, 1468430419.11
unit.000013, 1, sim, 1468430399.55, 1468430400.58, 1468430400.58, 1468430405.24, 1468430405.25, 1468430405.29, 1468430405.29,1468430405.35, 1468430416.8, 1468430416.92, 1468430416.92, 1468430417.64, 1468430417.74
unit.000014, 1, sim, 1468430399.55, 1468430401.56, 1468430401.56, 1468430405.28, 1468430405.28, 1468430405.32, 1468430405.32,1468430405.61, 1468430416.92, 1468430417.12, 1468430417.14, 1468430418.61, 1468430418.71
unit.000015, 1, sim, 1468430399.55, 1468430401.37, 1468430401.37, 1468430405.27, 1468430405.27, 1468430405.32, 1468430405.32,1468430405.55, 1468430416.91, 1468430417.02, 1468430417.04, 1468430418.42, 1468430418.51
unit.000016, 1, ana, 1468430421.27, 1468430421.94, 1468430421.94, 1468430423.28, 1468430423.33, 1468430423.34, 1468430423.34,1468430423.34, 1468430428.83, 1468430428.88, 1468430428.89, 1468430429.1, 1468430429.2
