uid, step, Scheduling, StagingInput, AgentStagingInputPending, AgentStagingInput, AllocatingPending, Allocating, ExecutingPending, Executing, AgentStagingOutputPending, AgentStagingOutput, PendingOutputStaging, StagingOutput, Done

unit.000012, step_1, 1456690066.34, 1456690066.81, 1456690066.81, 1456690070.81, 1456690070.81, 1456690070.84, 1456690070.85,1456690070.88, 1456690071.93, 1456690071.98, 1456690071.99, 1456690073.53, 1456690073.62
unit.000013, step_2, 1456690075.0, 1456690075.72, 1456690075.72, 1456690079.46, 1456690079.51, 1456690079.51, 1456690079.52,1456690079.52, 1456690083.5, 1456690083.56, 1456690083.56, 1456690084.61, 1456690115.15
