uid, step, Scheduling, StagingInput, AgentStagingInputPending, AgentStagingInput, AllocatingPending, Allocating, ExecutingPending, Executing, AgentStagingOutputPending, AgentStagingOutput, PendingOutputStaging, StagingOutput, Done

unit.000018, step_1, 1456690843.85, 1456690846.91, 1456690846.91, 1456690848.71, 1456690848.72, 1456690848.75, 1456690848.75,1456690848.78, 1456690849.88, 1456690850.73, 1456690850.74, 1456690851.17, 1456690851.27
unit.000019, step_2, 1456690855.43, 1456690858.48, 1456690858.48, 1456690858.93, 1456690858.98, 1456690858.99, 1456690858.99,1456690858.99, 1456690861.07, 1456690861.12, 1456690861.12, 1456690862.61, 1456690864.46
