uid, step, Scheduling, StagingInput, AgentStagingInputPending, AgentStagingInput, AllocatingPending, Allocating, ExecutingPending, Executing, AgentStagingOutputPending, AgentStagingOutput, PendingOutputStaging, StagingOutput, Done

unit.000030, step_1, 1456692513.73, 1456692514.26, 1456692514.26, 1456692519.0, 1456692519.01, 1456692519.04, 1456692519.04,1456692519.08, 1456692520.12, 1456692520.2, 1456692520.21, 1456692521.49, 1456692521.59
unit.000031, step_2, 1456692524.85, 1456692525.4, 1456692525.4, 1456692525.9, 1456692525.96, 1456692525.96, 1456692525.96,1456692525.97, 1456692529.23, 1456692529.28, 1456692529.28, 1456692530.36, 1456692532.19
