uid, step, Scheduling, StagingInput, AgentStagingInputPending, AgentStagingInput, AllocatingPending, Allocating, ExecutingPending, Executing, AgentStagingOutputPending, AgentStagingOutput, PendingOutputStaging, StagingOutput, Done

unit.000028, step_1, 1456692327.39, 1456692328.08, 1456692328.08, 1456692332.33, 1456692332.33, 1456692332.37, 1456692332.37,1456692332.4, 1456692333.41, 1456692333.51, 1456692333.51, 1456692334.67, 1456692335.0
unit.000029, step_2, 1456692338.54, 1456692339.29, 1456692339.29, 1456692340.04, 1456692340.1, 1456692340.1, 1456692340.11,1456692340.15, 1456692342.32, 1456692342.37, 1456692342.38, 1456692344.04, 1456692354.19
