uid, step, Scheduling, StagingInput, AgentStagingInputPending, AgentStagingInput, AllocatingPending, Allocating, ExecutingPending, Executing, AgentStagingOutputPending, AgentStagingOutput, PendingOutputStaging, StagingOutput, Done

unit.000024, step_1, 1456691677.57, 1456691678.21, 1456691678.21, 1456691683.16, 1456691683.16, 1456691683.2, 1456691683.2,1456691683.26, 1456691684.32, 1456691684.41, 1456691684.42, 1456691685.97, 1456691686.07
unit.000025, step_2, 1456691686.69, 1456691687.17, 1456691687.17, 1456691688.55, 1456691688.6, 1456691688.6, 1456691688.61,1456691688.61, 1456691690.74, 1456691690.79, 1456691690.79, 1456691692.59, 1456691705.23
