Pilot wait= 2015-08-24 20:08:43.733897
Pilot active= 2015-08-24 20:13:20.302093
Preloop wait= 2015-08-24 20:13:20.779473
Preloop done= 2015-08-24 20:13:26.377942
Sims-1 wait= 2015-08-24 20:13:35.575984
Sims-1 done= 2015-08-24 20:13:41.299913
Sims-2 wait= 2015-08-24 20:13:50.057531
Sims-2 done= 2015-08-24 20:13:56.080691
Ana-1 wait= 2015-08-24 20:13:56.600250
Ana-1 done= 2015-08-24 20:14:00.224124
Ana-2 wait= 2015-08-24 20:14:00.688814
Ana-2 done= 2015-08-24 20:14:04.568923
Iter done= 2015-08-24 20:14:04.571055
Start= 2015-08-24 20:08:39.495225
Allocating= 2015-08-24 20:08:39.545527
Allocated= 2015-08-24 20:08:43.732161
Executing= 2015-08-24 20:08:43.732310
Deallocating= 2015-08-24 20:14:04.572070
Done= 2015-08-24 20:14:17.652955
