Pilot wait= 2015-08-24 16:28:27.676996
Pilot active= 2015-08-24 16:30:33.401964
Preloop wait= 2015-08-24 16:30:33.885630
Preloop done= 2015-08-24 16:30:37.780776
Sims-1 wait= 2015-08-24 16:31:06.872009
Sims-1 done= 2015-08-24 16:31:15.316519
Sims-2 wait= 2015-08-24 16:31:44.620221
Sims-2 done= 2015-08-24 16:31:52.928815
Ana-1 wait= 2015-08-24 16:31:53.459397
Ana-1 done= 2015-08-24 16:31:57.345329
Ana-2 wait= 2015-08-24 16:31:57.813876
Ana-2 done= 2015-08-24 16:32:02.474144
Iter done= 2015-08-24 16:32:02.485258
Start= 2015-08-24 16:28:24.329103
Allocating= 2015-08-24 16:28:24.352969
Allocated= 2015-08-24 16:28:27.675750
Executing= 2015-08-24 16:28:27.675889
Deallocating= 2015-08-24 16:32:02.510333
Done= 2015-08-24 16:32:16.407914
