Pilot wait= 2015-08-24 19:35:07.977680
Pilot active= 2015-08-24 19:39:53.166756
Preloop wait= 2015-08-24 19:39:53.647082
Preloop done= 2015-08-24 19:39:59.047628
Sims-1 wait= 2015-08-24 19:40:07.974376
Sims-1 done= 2015-08-24 19:40:14.116539
Sims-2 wait= 2015-08-24 19:40:22.619752
Sims-2 done= 2015-08-24 19:40:29.059731
Ana-1 wait= 2015-08-24 19:40:29.594965
Ana-1 done= 2015-08-24 19:40:33.294762
Ana-2 wait= 2015-08-24 19:40:33.779652
Ana-2 done= 2015-08-24 19:40:38.611102
Iter done= 2015-08-24 19:40:38.613001
Start= 2015-08-24 19:35:03.771584
Allocating= 2015-08-24 19:35:03.821232
Allocated= 2015-08-24 19:35:07.976537
Executing= 2015-08-24 19:35:07.976652
Deallocating= 2015-08-24 19:40:38.613949
Done= 2015-08-24 19:40:55.138506
