# 40/640, smic, 6000 steps

step,probe,timestamp

allocate,start_time,2015-10-03 15:41:31.076960
allocate,stop_time,2015-10-03 15:41:35.038074

#####

ENMD-core-t-inside cluster.run() call: 2015-10-03 18:24:23.381234
ENMD-core-timing-1: 3.337836
ENMD-appl-timing-0: 0.000353
ENMD-appl-timing-1: 0.002271
ENMD-core-t-before cluster.run() call: 2015-10-03 18:24:23.381020
ENMD-core-t-inside cluster.run() call: 2015-10-03 19:41:35.047162

#####

Cycle; Step; Start; Stop; Duration
cycle_1; pp_step; 2015-10-03 20:19:35.126530; 2015-10-03 20:19:35.228997; 0.102467
cycle_1; pp_step_enmd_overhead; 2015-10-03 20:19:35.126530; 2015-10-03 20:19:35.228997; 0.102467
cycle_1; ex_step; 2015-10-03 20:19:24.962870; 2015-10-03 20:19:35.126446; 10.163576
cycle_1; ex_step_enmd_overhead; 2015-10-03 20:19:24.962870; 2015-10-03 20:19:24.967144; 0.004274
cycle_1; md_step; 2015-10-03 19:42:30.625886; 2015-10-03 20:19:24.959519; 2214.333633
cycle_1; md_step_enmd_overhead; 2015-10-03 19:42:30.625886; 2015-10-03 19:42:32.793206; 2.16732
CU_ID; Scheduling; StagingInput; Allocating; Executing; StagingOutput; Done; Cycle; Step;
unit.000640; 2015-10-03 20:19:24.973000; 2015-10-03 20:19:25.611000; 2015-10-03 20:19:25.915000; 2015-10-03 20:19:25.924000; 2015-10-03 20:19:30.446000; 2015-10-03 20:19:34.454000; cycle_1; ex_step
unit.000357; 2015-10-03 19:42:36.693000; 2015-10-03 19:42:57.720000; 2015-10-03 19:42:57.959000; 2015-10-03 19:58:44.124000; 2015-10-03 20:01:03.206000; 2015-10-03 20:01:03.241000; cycle_1; md_step
unit.000356; 2015-10-03 19:42:36.693000; 2015-10-03 19:42:57.496000; 2015-10-03 19:42:57.741000; 2015-10-03 19:58:43.319000; 2015-10-03 20:01:01.548000; 2015-10-03 20:01:01.599000; cycle_1; md_step
unit.000355; 2015-10-03 19:42:36.692000; 2015-10-03 19:42:57.294000; 2015-10-03 19:42:57.538000; 2015-10-03 19:58:41.426000; 2015-10-03 20:00:59.261000; 2015-10-03 20:00:59.301000; cycle_1; md_step
unit.000354; 2015-10-03 19:42:36.691000; 2015-10-03 19:42:57.173000; 2015-10-03 19:42:57.529000; 2015-10-03 19:58:41.321000; 2015-10-03 20:00:59.192000; 2015-10-03 20:00:59.226000; cycle_1; md_step
unit.000353; 2015-10-03 19:42:36.691000; 2015-10-03 19:42:57.032000; 2015-10-03 19:42:57.311000; 2015-10-03 19:58:40.867000; 2015-10-03 20:00:59.120000; 2015-10-03 20:00:59.154000; cycle_1; md_step
unit.000352; 2015-10-03 19:42:36.690000; 2015-10-03 19:42:56.760000; 2015-10-03 19:42:57.102000; 2015-10-03 19:58:40.326000; 2015-10-03 20:00:58.015000; 2015-10-03 20:00:58.051000; cycle_1; md_step
unit.000351; 2015-10-03 19:42:36.689000; 2015-10-03 19:42:56.476000; 2015-10-03 19:42:56.689000; 2015-10-03 19:58:38.640000; 2015-10-03 20:00:56.632000; 2015-10-03 20:00:56.667000; cycle_1; md_step
unit.000350; 2015-10-03 19:42:36.689000; 2015-10-03 19:42:56.373000; 2015-10-03 19:42:56.683000; 2015-10-03 19:58:38.605000; 2015-10-03 20:00:56.563000; 2015-10-03 20:00:56.599000; cycle_1; md_step
unit.000359; 2015-10-03 19:42:36.695000; 2015-10-03 19:42:58.144000; 2015-10-03 19:42:58.364000; 2015-10-03 19:58:45.833000; 2015-10-03 20:01:03.350000; 2015-10-03 20:01:03.384000; cycle_1; md_step
unit.000358; 2015-10-03 19:42:36.694000; 2015-10-03 19:42:57.958000; 2015-10-03 19:42:58.359000; 2015-10-03 19:58:45.242000; 2015-10-03 20:01:02.019000; 2015-10-03 20:01:02.095000; cycle_1; md_step
