# 640/640, smic 6000 steps

step,probe,timestamp

allocate,start_time,2015-10-02 17:16:31.229571
allocate,stop_time,2015-10-02 17:16:36.655848
deallocate,start_time,2015-10-02 17:33:25.414652
deallocate,stop_time,2015-10-02 17:33:52.622988

#####

ENMD-core-t-inside cluster.run() call: 2015-10-02 21:16:36.659175
ENMD-core-timing-1: 5.436325
ENMD-appl-timing-0: 0.000283
ENMD-appl-timing-1: 0.002752
ENMD-core-t-before cluster.run() call: 2015-10-02 21:16:36.658979

####

Cycle; Step; Start; Stop; Duration
cycle_1; pp_step; 2015-10-02 21:22:00.072199; 2015-10-02 21:22:00.127524; 0.055325
cycle_1; pp_step_enmd_overhead; 2015-10-02 21:22:00.072199; 2015-10-02 21:22:00.127524; 0.055325
cycle_1; ex_step; 2015-10-02 21:21:41.046013; 2015-10-02 21:22:00.072122; 19.026109
cycle_1; ex_step_enmd_overhead; 2015-10-02 21:21:41.046013; 2015-10-02 21:21:41.049569; 0.003556
cycle_1; md_step; 2015-10-02 21:18:37.781583; 2015-10-02 21:21:41.043242; 183.261659
cycle_1; md_step_enmd_overhead; 2015-10-02 21:18:37.781583; 2015-10-02 21:18:39.757188; 1.975605
CU_ID; Scheduling; StagingInput; Allocating; Executing; StagingOutput; Done; Cycle; Step;
unit.000640; 2015-10-02 21:21:41.054000; 2015-10-02 21:21:41.310000; 2015-10-02 21:21:40.264000; 2015-10-02 21:21:40.288000; 2015-10-02 21:21:55.961000; 2015-10-02 21:21:57.509000; cycle_1; ex_step
unit.000357; 2015-10-02 21:18:43.247000; 2015-10-02 21:18:59.812000; 2015-10-02 21:18:58.914000; 2015-10-02 21:18:58.960000; 2015-10-02 21:21:19.149000; 2015-10-02 21:21:19.185000; cycle_1; md_step
unit.000356; 2015-10-02 21:18:43.246000; 2015-10-02 21:18:55.086000; 2015-10-02 21:18:54.172000; 2015-10-02 21:18:54.183000; 2015-10-02 21:21:13.571000; 2015-10-02 21:21:13.594000; cycle_1; md_step
unit.000355; 2015-10-02 21:18:43.246000; 2015-10-02 21:19:00.223000; 2015-10-02 21:18:59.346000; 2015-10-02 21:18:59.378000; 2015-10-02 21:21:19.813000; 2015-10-02 21:21:19.858000; cycle_1; md_step
unit.000354; 2015-10-02 21:18:43.245000; 2015-10-02 21:19:10.080000; 2015-10-02 21:19:09.271000; 2015-10-02 21:19:09.296000; 2015-10-02 21:21:29.115000; 2015-10-02 21:21:29.140000; cycle_1; md_step
unit.000353; 2015-10-02 21:18:43.244000; 2015-10-02 21:19:06.843000; 2015-10-02 21:19:05.943000; 2015-10-02 21:19:05.990000; 2015-10-02 21:21:26.318000; 2015-10-02 21:21:26.342000; cycle_1; md_step
unit.000352; 2015-10-02 21:18:43.244000; 2015-10-02 21:19:04.116000; 2015-10-02 21:19:03.333000; 2015-10-02 21:19:03.364000; 2015-10-02 21:21:23.904000; 2015-10-02 21:21:23.935000; cycle_1; md_step
unit.000351; 2015-10-02 21:18:43.243000; 2015-10-02 21:19:13.842000; 2015-10-02 21:19:12.903000; 2015-10-02 21:19:12.931000; 2015-10-02 21:21:33.090000; 2015-10-02 21:21:33.122000; cycle_1; md_step
unit.000350; 2015-10-02 21:18:43.242000; 2015-10-02 21:19:13.369000; 2015-10-02 21:19:12.480000; 2015-10-02 21:19:12.526000; 2015-10-02 21:21:31.016000; 2015-10-02 21:21:31.039000; cycle_1; md_step
unit.000359; 2015-10-02 21:18:43.248000; 2015-10-02 21:19:03.058000; 2015-10-02 21:19:02.105000; 2015-10-02 21:19:02.123000; 2015-10-02 21:21:22.650000; 2015-10-02 21:21:22.674000; cycle_1; md_step
unit.000358; 2015-10-02 21:18:43.248000; 2015-10-02 21:19:01.279000; 2015-10-02 21:19:00.353000; 2015-10-02 21:19:00.391000; 2015-10-02 21:21:21.166000; 2015-10-02 21:21:21.191000; cycle_1; md_step
unit.000409; 2015-10-02 21:18:43.290000; 2015-10-02 21:18:58.032000; 2015-10-02 21:18:57.122000; 2015-10-02 21:18:57.170000; 2015-10-02 21:21:17.908000; 2015-10-02 21:21:17.929000; cycle_1; md_step
unit.000408; 2015-10-02 21:18:43.289000; 2015-10-02 21:18:57.954000; 2015-10-02 21:18:57.119000; 2015-10-02 21:18:57.145000; 2015-10-02 21:21:17.761000; 2015-10-02 21:21:17.802000; cycle_1; md_step
unit.000403; 2015-10-02 21:18:43.286000; 2015-10-02 21:18:57.498000; 2015-10-02 21:18:56.698000; 2015-10-02 21:18:56.723000; 2015-10-02 21:21:16.883000; 2015-10-02 21:21:16.918000; cycle_1; md_step
unit.000402; 2015-10-02 21:18:43.285000; 2015-10-02 21:18:57.416000; 2015-10-02 21:18:56.700000; 2015-10-02 21:18:56.724000; 2015-10-02 21:21:14.847000; 2015-10-02 21:21:14.876000; cycle_1; md_step
unit.000401; 2015-10-02 21:18:43.284000; 2015-10-02 21:18:57.312000; 2015-10-02 21:18:56.429000; 2015-10-02 21:18:56.478000; 2015-10-02 21:21:16.764000; 2015-10-02 21:21:16.794000; cycle_1; md_step
unit.000400; 2015-10-02 21:18:43.284000; 2015-10-02 21:18:57.257000; 2015-10-02 21:18:56.424000; 2015-10-02 21:18:56.464000; 2015-10-02 21:21:16.677000; 2015-10-02 21:21:16.703000; cycle_1; md_step
unit.000407; 2015-10-02 21:18:43.288000; 2015-10-02 21:18:57.865000; 2015-10-02 21:18:56.922000; 2015-10-02 21:18:56.962000; 2015-10-02 21:21:17.637000; 2015-10-02 21:21:17.681000; cycle_1; md_step
unit.000406; 2015-10-02 21:18:43.288000; 2015-10-02 21:18:57.811000; 2015-10-02 21:18:56.916000; 2015-10-02 21:18:56.946000; 2015-10-02 21:21:20.369000; 2015-10-02 21:21:20.400000; cycle_1; md_step
unit.000405; 2015-10-02 21:18:43.287000; 2015-10-02 21:18:55.877000; 2015-10-02 21:18:54.836000; 2015-10-02 21:18:54.847000; 2015-10-02 21:21:16.089000; 2015-10-02 21:21:16.114000; cycle_1; md_step
unit.000404; 2015-10-02 21:18:43.286000; 2015-10-02 21:18:57.570000; 2015-10-02 21:18:56.702000; 2015-10-02 21:18:56.732000; 2015-10-02 21:21:17.041000; 2015-10-02 21:21:17.080000; cycle_1; md_step
unit.000560; 2015-10-02 21:18:43.413000; 2015-10-02 21:18:59.586000; 2015-10-02 21:18:58.638000; 2015-10-02 21:18:58.679000; 2015-10-02 21:21:20.455000; 2015-10-02 21:21:20.480000; cycle_1; md_step
unit.000561; 2015-10-02 21:18:43.414000; 2015-10-02 21:18:59.614000; 2015-10-02 21:18:58.640000; 2015-10-02 21:18:58.683000; 2015-10-02 21:21:18.977000; 2015-10-02 21:21:19.002000; cycle_1; md_step
unit.000562; 2015-10-02 21:18:43.415000; 2015-10-02 21:18:59.661000; 2015-10-02 21:18:58.876000; 2015-10-02 21:18:58.933000; 2015-10-02 21:21:19.026000; 2015-10-02 21:21:19.050000; cycle_1; md_step
unit.000563; 2015-10-02 21:18:43.416000; 2015-10-02 21:18:59.711000; 2015-10-02 21:18:58.872000; 2015-10-02 21:18:58.901000; 2015-10-02 21:21:19.091000; 2015-10-02 21:21:19.119000; cycle_1; md_step
unit.000564; 2015-10-02 21:18:43.418000; 2015-10-02 21:18:59.770000; 2015-10-02 21:18:58.912000; 2015-10-02 21:18:58.952000; 2015-10-02 21:21:19.548000; 2015-10-02 21:21:19.578000; cycle_1; md_step
unit.000565; 2015-10-02 21:18:43.419000; 2015-10-02 21:18:59.857000; 2015-10-02 21:18:58.987000; 2015-10-02 21:18:59.060000; 2015-10-02 21:21:20.455000; 2015-10-02 21:21:20.482000; cycle_1; md_step
unit.000218; 2015-10-02 21:18:43.109000; 2015-10-02 21:19:13.451000; 2015-10-02 21:19:12.664000; 2015-10-02 21:19:12.693000; 2015-10-02 21:21:31.063000; 2015-10-02 21:21:31.096000; cycle_1; md_step
unit.000219; 2015-10-02 21:18:43.111000; 2015-10-02 21:19:13.506000; 2015-10-02 21:19:12.689000; 2015-10-02 21:19:12.720000; 2015-10-02 21:21:32.852000; 2015-10-02 21:21:32.876000; cycle_1; md_step
unit.000216; 2015-10-02 21:18:43.106000; 2015-10-02 21:19:13.280000; 2015-10-02 21:19:12.472000; 2015-10-02 21:19:12.513000; 2015-10-02 21:21:32.388000; 2015-10-02 21:21:32.415000; cycle_1; md_step
unit.000217; 2015-10-02 21:18:43.108000; 2015-10-02 21:19:08.295000; 2015-10-02 21:19:07.389000; 2015-10-02 21:19:07.415000; 2015-10-02 21:21:27.125000; 2015-10-02 21:21:27.155000; cycle_1; md_step
unit.000214; 2015-10-02 21:18:43.103000; 2015-10-02 21:19:00.689000; 2015-10-02 21:18:59.767000; 2015-10-02 21:18:59.801000; 2015-10-02 21:21:20.666000; 2015-10-02 21:21:20.689000; cycle_1; md_step
unit.000215; 2015-10-02 21:18:43.104000; 2015-10-02 21:19:02.031000; 2015-10-02 21:19:01.050000; 2015-10-02 21:19:01.079000; 2015-10-02 21:21:21.720000; 2015-10-02 21:21:21.748000; cycle_1; md_step
unit.000212; 2015-10-02 21:18:43.099000; 2015-10-02 21:19:05.422000; 2015-10-02 21:19:04.602000; 2015-10-02 21:19:04.646000; 2015-10-02 21:21:25.052000; 2015-10-02 21:21:25.077000; cycle_1; md_step
unit.000213; 2015-10-02 21:18:43.101000; 2015-10-02 21:19:13.060000; 2015-10-02 21:19:12.233000; 2015-10-02 21:19:12.261000; 2015-10-02 21:21:30.850000; 2015-10-02 21:21:30.874000; cycle_1; md_step
unit.000210; 2015-10-02 21:18:43.096000; 2015-10-02 21:19:04.281000; 2015-10-02 21:19:03.515000; 2015-10-02 21:19:03.590000; 2015-10-02 21:21:24.111000; 2015-10-02 21:21:24.132000; cycle_1; md_step
unit.000211; 2015-10-02 21:18:43.098000; 2015-10-02 21:19:12.774000; 2015-10-02 21:19:11.930000; 2015-10-02 21:19:11.957000; 2015-10-02 21:21:30.709000; 2015-10-02 21:21:30.734000; cycle_1; md_step
unit.000539; 2015-10-02 21:18:43.398000; 2015-10-02 21:18:57.032000; 2015-10-02 21:18:56.152000; 2015-10-02 21:18:56.168000; 2015-10-02 21:21:16.572000; 2015-10-02 21:21:16.598000; cycle_1; md_step
unit.000538; 2015-10-02 21:18:43.397000; 2015-10-02 21:18:57.914000; 2015-10-02 21:18:56.956000; 2015-10-02 21:18:56.982000; 2015-10-02 21:21:17.679000; 2015-10-02 21:21:17.721000; cycle_1; md_step
unit.000322; 2015-10-02 21:18:43.223000; 2015-10-02 21:19:00.805000; 2015-10-02 21:18:59.971000; 2015-10-02 21:19:00.018000; 2015-10-02 21:21:20.769000; 2015-10-02 21:21:20.794000; cycle_1; md_step
unit.000323; 2015-10-02 21:18:43.224000; 2015-10-02 21:19:10.581000; 2015-10-02 21:19:09.704000; 2015-10-02 21:19:09.732000; 2015-10-02 21:21:29.604000; 2015-10-02 21:21:29.631000; cycle_1; md_step
unit.000320; 2015-10-02 21:18:43.222000; 2015-10-02 21:18:56.500000; 2015-10-02 21:18:55.455000; 2015-10-02 21:18:55.477000; 2015-10-02 21:21:14.539000; 2015-10-02 21:21:14.564000; cycle_1; md_step
unit.000321; 2015-10-02 21:18:43.223000; 2015-10-02 21:19:10.390000; 2015-10-02 21:19:09.539000; 2015-10-02 21:19:09.569000; 2015-10-02 21:21:29.600000; 2015-10-02 21:21:29.628000; cycle_1; md_step
unit.000326; 2015-10-02 21:18:43.226000; 2015-10-02 21:19:00.858000; 2015-10-02 21:18:59.956000; 2015-10-02 21:19:00.002000; 2015-10-02 21:21:20.816000; 2015-10-02 21:21:20.840000; cycle_1; md_step
unit.000327; 2015-10-02 21:18:43.227000; 2015-10-02 21:19:05.811000; 2015-10-02 21:19:04.990000; 2015-10-02 21:19:05.031000; 2015-10-02 21:21:25.365000; 2015-10-02 21:21:25.386000; cycle_1; md_step
unit.000324; 2015-10-02 21:18:43.225000; 2015-10-02 21:19:10.727000; 2015-10-02 21:19:09.965000; 2015-10-02 21:19:09.991000; 2015-10-02 21:21:29.693000; 2015-10-02 21:21:29.721000; cycle_1; md_step
unit.000325; 2015-10-02 21:18:43.225000; 2015-10-02 21:19:00.547000; 2015-10-02 21:18:59.745000; 2015-10-02 21:18:59.769000; 2015-10-02 21:21:20.618000; 2015-10-02 21:21:20.653000; cycle_1; md_step
unit.000328; 2015-10-02 21:18:43.227000; 2015-10-02 21:19:01.301000; 2015-10-02 21:19:00.368000; 2015-10-02 21:19:00.405000; 2015-10-02 21:21:21.200000; 2015-10-02 21:21:21.223000; cycle_1; md_step
unit.000329; 2015-10-02 21:18:43.228000; 2015-10-02 21:18:57.862000; 2015-10-02 21:18:56.926000; 2015-10-02 21:18:56.957000; 2015-10-02 21:21:17.605000; 2015-10-02 21:21:17.639000; cycle_1; md_step
unit.000531; 2015-10-02 21:18:43.393000; 2015-10-02 21:18:58.404000; 2015-10-02 21:18:57.534000; 2015-10-02 21:18:57.573000; 2015-10-02 21:21:18.087000; 2015-10-02 21:21:18.112000; cycle_1; md_step
unit.000106; 2015-10-02 21:18:42.989000; 2015-10-02 21:19:07.559000; 2015-10-02 21:19:06.844000; 2015-10-02 21:19:06.871000; 2015-10-02 21:21:26.809000; 2015-10-02 21:21:26.832000; cycle_1; md_step
unit.000107; 2015-10-02 21:18:42.990000; 2015-10-02 21:19:07.748000; 2015-10-02 21:19:06.848000; 2015-10-02 21:19:06.879000; 2015-10-02 21:21:26.856000; 2015-10-02 21:21:26.883000; cycle_1; md_step
unit.000104; 2015-10-02 21:18:42.988000; 2015-10-02 21:19:07.308000; 2015-10-02 21:19:06.325000; 2015-10-02 21:19:06.353000; 2015-10-02 21:21:26.669000; 2015-10-02 21:21:26.694000; cycle_1; md_step
unit.000105; 2015-10-02 21:18:42.988000; 2015-10-02 21:19:04.341000; 2015-10-02 21:19:03.590000; 2015-10-02 21:19:03.641000; 2015-10-02 21:21:24.200000; 2015-10-02 21:21:24.231000; cycle_1; md_step
unit.000102; 2015-10-02 21:18:42.986000; 2015-10-02 21:19:07.072000; 2015-10-02 21:19:06.125000; 2015-10-02 21:19:06.169000; 2015-10-02 21:21:26.530000; 2015-10-02 21:21:26.558000; cycle_1; md_step
unit.000103; 2015-10-02 21:18:42.987000; 2015-10-02 21:19:07.187000; 2015-10-02 21:19:06.309000; 2015-10-02 21:19:06.338000; 2015-10-02 21:21:26.620000; 2015-10-02 21:21:26.643000; cycle_1; md_step
unit.000100; 2015-10-02 21:18:42.985000; 2015-10-02 21:19:06.925000; 2015-10-02 21:19:06.116000; 2015-10-02 21:19:06.145000; 2015-10-02 21:21:26.393000; 2015-10-02 21:21:26.416000; cycle_1; md_step
