# 640/320, smic 6000 steps

#######

ENMD-core-t-inside cluster.run() call: 2015-10-02 21:42:59.342981
ENMD-core-timing-1: 5.105768
ENMD-appl-timing-0: 0.000421
ENMD-appl-timing-1: 0.002696
ENMD-core-t-before cluster.run() call: 2015-10-02 21:42:59.342782

#######

step,probe,timestamp

allocate,start_time,2015-10-02 17:42:54.244845
allocate,stop_time,2015-10-02 17:42:59.339712
deallocate,start_time,2015-10-02 19:46:32.738925
deallocate,stop_time,2015-10-02 19:46:56.483119

#######

Cycle; Step; Start; Stop; Duration
cycle_1; pp_step; 2015-10-02 23:29:46.165701; 2015-10-02 23:29:46.237313; 0.071612
cycle_1; pp_step_enmd_overhead; 2015-10-02 23:29:46.165701; 2015-10-02 23:29:46.237313; 0.071612
cycle_1; ex_step; 2015-10-02 23:29:33.587426; 2015-10-02 23:29:46.165604; 12.578178
cycle_1; ex_step_enmd_overhead; 2015-10-02 23:29:33.587426; 2015-10-02 23:29:33.591061; 0.003635
cycle_1; md_step; 2015-10-02 23:24:16.093035; 2015-10-02 23:29:33.583376; 317.490341
cycle_1; md_step_enmd_overhead; 2015-10-02 23:24:16.093035; 2015-10-02 23:24:18.924649; 2.831614
CU_ID; Scheduling; StagingInput; Allocating; Executing; StagingOutput; Done; Cycle; Step;
unit.000562; 2015-10-02 23:24:23.267000; 2015-10-02 23:24:41.025000; 2015-10-02 23:24:40.134000; 2015-10-02 23:24:40.172000; 2015-10-02 23:27:00.792000; 2015-10-02 23:27:00.819000; cycle_1; md_step
unit.000563; 2015-10-02 23:24:23.269000; 2015-10-02 23:24:46.527000; 2015-10-02 23:24:45.465000; 2015-10-02 23:24:45.504000; 2015-10-02 23:27:06.562000; 2015-10-02 23:27:06.586000; cycle_1; md_step
unit.000564; 2015-10-02 23:24:23.269000; 2015-10-02 23:24:47.211000; 2015-10-02 23:24:46.110000; 2015-10-02 23:24:46.132000; 2015-10-02 23:27:09.313000; 2015-10-02 23:27:09.339000; cycle_1; md_step
unit.000565; 2015-10-02 23:24:23.270000; 2015-10-02 23:24:47.716000; 2015-10-02 23:24:46.766000; 2015-10-02 23:24:46.788000; 2015-10-02 23:27:06.851000; 2015-10-02 23:27:06.877000; cycle_1; md_step
unit.000218; 2015-10-02 23:24:22.962000; 2015-10-02 23:24:51.605000; 2015-10-02 23:24:50.610000; 2015-10-02 23:26:57.484000; 2015-10-02 23:29:15.916000; 2015-10-02 23:29:15.944000; cycle_1; md_step
unit.000219; 2015-10-02 23:24:22.962000; 2015-10-02 23:24:51.677000; 2015-10-02 23:24:50.616000; 2015-10-02 23:26:57.488000; 2015-10-02 23:29:15.928000; 2015-10-02 23:29:15.958000; cycle_1; md_step
unit.000216; 2015-10-02 23:24:22.960000; 2015-10-02 23:24:50.138000; 2015-10-02 23:24:49.125000; 2015-10-02 23:26:56.446000; 2015-10-02 23:29:15.551000; 2015-10-02 23:29:15.583000; cycle_1; md_step
unit.000217; 2015-10-02 23:24:22.961000; 2015-10-02 23:24:50.571000; 2015-10-02 23:24:49.560000; 2015-10-02 23:26:56.587000; 2015-10-02 23:29:15.759000; 2015-10-02 23:29:15.785000; cycle_1; md_step
unit.000214; 2015-10-02 23:24:22.958000; 2015-10-02 23:24:50.624000; 2015-10-02 23:24:49.564000; 2015-10-02 23:26:56.593000; 2015-10-02 23:29:15.808000; 2015-10-02 23:29:15.843000; cycle_1; md_step
unit.000215; 2015-10-02 23:24:22.959000; 2015-10-02 23:24:50.887000; 2015-10-02 23:24:49.968000; 2015-10-02 23:26:57.017000; 2015-10-02 23:29:15.862000; 2015-10-02 23:29:15.889000; cycle_1; md_step
unit.000212; 2015-10-02 23:24:22.956000; 2015-10-02 23:24:37.817000; 2015-10-02 23:24:37.234000; 2015-10-02 23:24:37.249000; 2015-10-02 23:26:56.864000; 2015-10-02 23:26:56.885000; cycle_1; md_step
unit.000213; 2015-10-02 23:24:22.957000; 2015-10-02 23:24:37.758000; 2015-10-02 23:24:37.160000; 2015-10-02 23:24:37.223000; 2015-10-02 23:26:57.573000; 2015-10-02 23:26:57.600000; cycle_1; md_step
unit.000210; 2015-10-02 23:24:22.954000; 2015-10-02 23:24:37.916000; 2015-10-02 23:24:37.250000; 2015-10-02 23:24:37.298000; 2015-10-02 23:26:57.628000; 2015-10-02 23:26:57.659000; cycle_1; md_step
unit.000211; 2015-10-02 23:24:22.955000; 2015-10-02 23:24:37.758000; 2015-10-02 23:24:37.154000; 2015-10-02 23:24:37.192000; 2015-10-02 23:26:58.559000; 2015-10-02 23:26:58.587000; cycle_1; md_step
unit.000539; 2015-10-02 23:24:23.250000; 2015-10-02 23:24:44.276000; 2015-10-02 23:24:43.355000; 2015-10-02 23:24:43.377000; 2015-10-02 23:27:03.847000; 2015-10-02 23:27:03.875000; cycle_1; md_step
unit.000538; 2015-10-02 23:24:23.250000; 2015-10-02 23:24:43.762000; 2015-10-02 23:24:42.713000; 2015-10-02 23:24:42.733000; 2015-10-02 23:27:03.150000; 2015-10-02 23:27:03.172000; cycle_1; md_step
unit.000322; 2015-10-02 23:24:23.063000; 2015-10-02 23:24:39.851000; 2015-10-02 23:24:38.995000; 2015-10-02 23:24:39.019000; 2015-10-02 23:26:58.259000; 2015-10-02 23:26:58.289000; cycle_1; md_step
unit.000323; 2015-10-02 23:24:23.064000; 2015-10-02 23:24:41.404000; 2015-10-02 23:24:40.373000; 2015-10-02 23:24:40.421000; 2015-10-02 23:27:00.840000; 2015-10-02 23:27:00.862000; cycle_1; md_step
unit.000320; 2015-10-02 23:24:23.062000; 2015-10-02 23:24:56.467000; 2015-10-02 23:24:55.543000; 2015-10-02 23:27:03.235000; 2015-10-02 23:29:22.010000; 2015-10-02 23:29:22.038000; cycle_1; md_step
unit.000321; 2015-10-02 23:24:23.063000; 2015-10-02 23:24:59.437000; 2015-10-02 23:24:58.335000; 2015-10-02 23:27:05.419000; 2015-10-02 23:29:25.831000; 2015-10-02 23:29:25.861000; cycle_1; md_step
unit.000326; 2015-10-02 23:24:23.067000; 2015-10-02 23:24:50.109000; 2015-10-02 23:24:49.124000; 2015-10-02 23:26:56.333000; 2015-10-02 23:29:17.363000; 2015-10-02 23:29:17.394000; cycle_1; md_step
unit.000327; 2015-10-02 23:24:23.068000; 2015-10-02 23:24:53.219000; 2015-10-02 23:24:52.111000; 2015-10-02 23:26:58.919000; 2015-10-02 23:29:19.722000; 2015-10-02 23:29:19.749000; cycle_1; md_step
