
allocate,start_time,2015-11-20 12:14:52.933362
allocate,stop_time,2015-11-20 12:14:57.046165


Cycle; Step; Start; Stop; Duration
cycle_1; pp_step; 2015-11-20 22:09:52.188846; 2015-11-20 22:09:53.214908; 1.026062
cycle_1; pp_step_enmd_overhead; 2015-11-20 22:09:52.188846; 2015-11-20 22:09:53.214908; 1.026062
cycle_1; ex_step; 2015-11-20 22:09:29.952366; 2015-11-20 22:09:52.188766; 22.2364
cycle_1; ex_step_enmd_overhead; 2015-11-20 22:09:29.952366; 2015-11-20 22:09:29.956361; 0.003995
cycle_1; md_step; 2015-11-20 17:15:42.213394; 2015-11-20 22:09:29.939982; 17627.726588
cycle_1; md_step_enmd_overhead; 2015-11-20 17:15:42.213394; 2015-11-20 17:15:51.619099; 9.405705
CU_ID; Scheduling; StagingInput; Allocating; Executing; StagingOutput; Done; Cycle; Step;
unit.001928; 2015-11-20 17:16:09.798000; 2015-11-20 17:18:08.768000; 2015-11-20 17:18:09.148000; 2015-11-20 21:20:24.717000; 2015-11-20 21:22:45.179000; 2015-11-20 21:22:45.259000; cycle_1; md_step
unit.001923; 2015-11-20 17:16:09.794000; 2015-11-20 17:17:34.595000; 2015-11-20 17:17:34.869000; 2015-11-20 20:00:53.732000; 2015-11-20 20:03:13; 2015-11-20 20:03:13.085000; cycle_1; md_step
unit.001922; 2015-11-20 17:16:09.792000; 2015-11-20 17:18:03.186000; 2015-11-20 17:18:03.611000; 2015-11-20 21:09:19.705000; 2015-11-20 21:11:40.659000; 2015-11-20 21:11:40.682000; cycle_1; md_step
unit.001921; 2015-11-20 17:16:09.791000; 2015-11-20 17:17:40.315000; 2015-11-20 17:17:40.554000; 2015-11-20 20:14:33.845000; 2015-11-20 20:16:53.114000; 2015-11-20 20:16:53.180000; cycle_1; md_step
unit.001920; 2015-11-20 17:16:09.790000; 2015-11-20 17:17:26.366000; 2015-11-20 17:17:26.641000; 2015-11-20 19:42:26.116000; 2015-11-20 19:44:45.268000; 2015-11-20 19:44:45.324000; cycle_1; md_step
unit.001927; 2015-11-20 17:16:09.797000; 2015-11-20 17:16:59.127000; 2015-11-20 17:16:59.600000; 2015-11-20 18:40:45.155000; 2015-11-20 18:43:04.534000; 2015-11-20 18:43:04.569000; cycle_1; md_step
unit.001926; 2015-11-20 17:16:09.796000; 2015-11-20 17:17:31.545000; 2015-11-20 17:17:31.912000; 2015-11-20 19:54:09.022000; 2015-11-20 19:56:26.825000; 2015-11-20 19:56:26.835000; cycle_1; md_step
unit.001925; 2015-11-20 17:16:09.796000; 2015-11-20 17:17:30.339000; 2015-11-20 17:17:30.853000; 2015-11-20 19:51:39.098000; 2015-11-20 19:53:57.318000; 2015-11-20 19:53:57.361000; cycle_1; md_step
unit.001924; 2015-11-20 17:16:09.795000; 2015-11-20 17:17:30.744000; 2015-11-20 17:17:31.167000; 2015-11-20 19:51:45.086000; 2015-11-20 19:54:05.159000; 2015-11-20 19:54:05.215000; cycle_1; md_step
unit.002243; 2015-11-20 17:16:10.136000; 2015-11-20 17:17:10.101000; 2015-11-20 17:17:10.572000; 2015-11-20 19:08:00.592000; 2015-11-20 19:10:20.311000; 2015-11-20 19:10:20.342000; cycle_1; md_step
unit.002242; 2015-11-20 17:16:10.135000; 2015-11-20 17:17:09.978000; 2015-11-20 17:17:10.296000; 2015-11-20 19:06:14.364000; 2015-11-20 19:08:35.693000; 2015-11-20 19:08:35.730000; cycle_1; md_step
unit.002241; 2015-11-20 17:16:10.134000; 2015-11-20 17:17:09.780000; 2015-11-20 17:17:10.290000; 2015-11-20 19:06:06.092000; 2015-11-20 19:08:27.222000; 2015-11-20 19:08:27.298000; cycle_1; md_step
unit.002240; 2015-11-20 17:16:10.133000; 2015-11-20 17:17:09.563000; 2015-11-20 17:17:10.048000; 2015-11-20 19:06:01.098000; 2015-11-20 19:08:20.634000; 2015-11-20 19:08:20.672000; cycle_1; md_step
unit.002247; 2015-11-20 17:16:10.141000; 2015-11-20 17:17:10.597000; 2015-11-20 17:17:11.012000; 2015-11-20 19:08:21.359000; 2015-11-20 19:10:43.262000; 2015-11-20 19:10:43.275000; cycle_1; md_step
unit.002246; 2015-11-20 17:16:10.139000; 2015-11-20 17:17:10.343000; 2015-11-20 17:17:10.787000; 2015-11-20 19:08:19.085000; 2015-11-20 19:10:37.848000; 2015-11-20 19:10:37.903000; cycle_1; md_step
unit.000322; 2015-11-20 17:16:08.470000; 2015-11-20 17:16:50.527000; 2015-11-20 17:16:50.845000; 2015-11-20 18:20:30.862000; 2015-11-20 18:22:49.185000; 2015-11-20 18:22:49.241000; cycle_1; md_step
unit.000323; 2015-11-20 17:16:08.471000; 2015-11-20 17:16:50.571000; 2015-11-20 17:16:50.865000; 2015-11-20 18:20:33.605000; 2015-11-20 18:22:51.414000; 2015-11-20 18:22:51.472000; cycle_1; md_step
unit.000320; 2015-11-20 17:16:08.468000; 2015-11-20 17:16:50.359000; 2015-11-20 17:16:50.824000; 2015-11-20 18:20:19.959000; 2015-11-20 18:22:35.926000; 2015-11-20 18:22:35.979000; cycle_1; md_step
unit.000321; 2015-11-20 17:16:08.469000; 2015-11-20 17:16:50.502000; 2015-11-20 17:16:50.845000; 2015-11-20 18:20:31.694000; 2015-11-20 18:22:49.085000; 2015-11-20 18:22:49.130000; cycle_1; md_step
unit.000326; 2015-11-20 17:16:08.473000; 2015-11-20 17:16:50.673000; 2015-11-20 17:16:51.054000; 2015-11-20 18:22:27.635000; 2015-11-20 18:24:45.577000; 2015-11-20 18:24:45.588000; cycle_1; md_step
unit.000327; 2015-11-20 17:16:08.473000; 2015-11-20 17:16:50.794000; 2015-11-20 17:16:51.060000; 2015-11-20 18:22:30.746000; 2015-11-20 18:24:48.128000; 2015-11-20 18:24:48.189000; cycle_1; md_step
unit.000324; 2015-11-20 17:16:08.471000; 2015-11-20 17:16:50.605000; 2015-11-20 17:16:51.052000; 2015-11-20 18:22:25.290000; 2015-11-20 18:24:41.294000; 2015-11-20 18:24:41.358000; cycle_1; md_step
