Pilot wait= 2015-08-24 20:02:28.758288
Pilot active= 2015-08-24 20:07:44.642863
Preloop wait= 2015-08-24 20:07:45.134165
Preloop done= 2015-08-24 20:07:50.331758
Sims-1 wait= 2015-08-24 20:07:55.176130
Sims-1 done= 2015-08-24 20:08:02.272844
Sims-2 wait= 2015-08-24 20:08:07.408583
Sims-2 done= 2015-08-24 20:08:14.733674
Ana-1 wait= 2015-08-24 20:08:15.243247
Ana-1 done= 2015-08-24 20:08:19.552130
Ana-2 wait= 2015-08-24 20:08:20.031638
Ana-2 done= 2015-08-24 20:08:23.533018
Iter done= 2015-08-24 20:08:23.539682
Start= 2015-08-24 20:02:24.605449
Allocating= 2015-08-24 20:02:24.637599
Allocated= 2015-08-24 20:02:28.756368
Executing= 2015-08-24 20:02:28.756541
Deallocating= 2015-08-24 20:08:23.540630
Done= 2015-08-24 20:08:38.506451
