Pilot wait= 2015-08-24 16:32:21.002955
Pilot active= 2015-08-24 16:33:45.462168
Preloop wait= 2015-08-24 16:33:45.948818
Preloop done= 2015-08-24 16:33:50.744646
Sims-1 wait= 2015-08-24 16:34:48.532648
Sims-1 done= 2015-08-24 16:35:02.066050
Sims-2 wait= 2015-08-24 16:36:01.145396
Sims-2 done= 2015-08-24 16:36:14.629301
Ana-1 wait= 2015-08-24 16:36:15.221401
Ana-1 done= 2015-08-24 16:36:19.064368
Ana-2 wait= 2015-08-24 16:36:19.528473
Ana-2 done= 2015-08-24 16:36:22.947508
Iter done= 2015-08-24 16:36:22.949377
Start= 2015-08-24 16:32:16.947246
Allocating= 2015-08-24 16:32:16.971043
Allocated= 2015-08-24 16:32:21.001696
Executing= 2015-08-24 16:32:21.001848
Deallocating= 2015-08-24 16:36:22.955693
Done= 2015-08-24 16:36:39.864113
