Cycle; Step; Start; Stop; Duration
cycle_1; pp_step; 2015-11-03 19:41:47.338672; 2015-11-03 19:41:47.338702; 3e-05
cycle_1; pp_step_enmd_overhead; 2015-11-03 19:41:47.338672; 2015-11-03 19:41:47.338702; 3e-05
cycle_1; ex_step; 2015-11-03 19:38:46.407816; 2015-11-03 19:41:47.329184; 180.921368
cycle_1; ex_step_enmd_overhead; 2015-11-03 19:38:46.407816; 2015-11-03 19:38:47.986294; 1.578478
cycle_1; md_step; 2015-11-03 19:34:47.704812; 2015-11-03 19:38:46.404490; 238.699678
cycle_1; md_step_enmd_overhead; 2015-11-03 19:34:47.704812; 2015-11-03 19:34:49.401036; 1.696224
CU_ID; Scheduling; StagingInput; Allocating; Executing; StagingOutput; Done; Cycle; Step;
unit.000357; 1446579531.31; 1446579665.57; 1446579667.99; 1446579668.19; 1446579685.02; 1446579686.15; cycle_1; ex_step
unit.000356; 1446579531.31; 1446579665.57; 1446579667.79; 1446579667.99; 1446579684.07; 1446579685.24; cycle_1; ex_step
unit.000355; 1446579531.31; 1446579663.91; 1446579666.36; 1446579666.57; 1446579682.96; 1446579684.07; cycle_1; ex_step
unit.000354; 1446579531.31; 1446579663.82; 1446579666.21; 1446579666.37; 1446579682.74; 1446579684.0; cycle_1; ex_step
unit.000353; 1446579531.3; 1446579661.8; 1446579664.57; 1446579664.77; 1446579681.81; 1446579682.96; cycle_1; ex_step
unit.000352; 1446579531.3; 1446579661.68; 1446579664.37; 1446579664.57; 1446579681.61; 1446579682.74; cycle_1; ex_step
unit.000351; 1446579531.3; 1446579660.3; 1446579662.48; 1446579662.69; 1446579679.67; 1446579680.81; cycle_1; ex_step
unit.000350; 1446579531.3; 1446579660.15; 1446579662.28; 1446579662.48; 1446579679.51; 1446579680.6; cycle_1; ex_step
unit.000359; 1446579531.31; 1446579667.3; 1446579669.56; 1446579669.76; 1446579686.15; 1446579687.28; cycle_1; ex_step
unit.000358; 1446579531.31; 1446579667.21; 1446579669.29; 1446579669.49; 1446579685.24; 1446579686.37; cycle_1; ex_step
unit.000296; 1446579531.14; 1446579618.85; 1446579620.86; 1446579621.07; 1446579637.72; 1446579638.83; cycle_1; ex_step
unit.000297; 1446579531.14; 1446579619.34; 1446579621.35; 1446579621.56; 1446579638.01; 1446579639.12; cycle_1; ex_step
unit.000294; 1446579531.14; 1446579617.03; 1446579619.37; 1446579619.57; 1446579636.21; 1446579637.72; cycle_1; ex_step
unit.000295; 1446579531.14; 1446579617.95; 1446579619.86; 1446579620.06; 1446579636.51; 1446579638.0; cycle_1; ex_step
unit.000292; 1446579531.13; 1446579615.62; 1446579617.53; 1446579617.73; 1446579633.94; 1446579635.08; cycle_1; ex_step
unit.000293; 1446579531.13; 1446579616.52; 1446579618.54; 1446579618.74; 1446579635.08; 1446579636.21; cycle_1; ex_step
unit.000290; 1446579531.12; 1446579614.24; 1446579616.21; 1446579616.42; 1446579632.68; 1446579633.94; cycle_1; ex_step
unit.000291; 1446579531.13; 1446579614.97; 1446579617.04; 1446579617.25; 1446579633.38; 1446579634.48; cycle_1; ex_step
unit.000298; 1446579531.15; 1446579620.27; 1446579622.71; 1446579622.91; 1446579639.13; 1446579640.27; cycle_1; ex_step
unit.000299; 1446579531.15; 1446579620.81; 1446579623.02; 1446579623.29; 1446579640.27; 1446579641.48; cycle_1; ex_step
unit.000218; 1446579530.88; 1446579557.59; 1446579559.73; 1446579559.93; 1446579576.14; 1446579577.26; cycle_1; ex_step
unit.000219; 1446579530.89; 1446579559.08; 1446579561.11; 1446579561.31; 1446579577.23; 1446579578.32; cycle_1; ex_step
unit.000216; 1446579530.88; 1446579555.41; 1446579558.21; 1446579558.41; 1446579574.14; 1446579575.23; cycle_1; ex_step
unit.000217; 1446579530.88; 1446579555.41; 1446579561.56; 1446579561.76; 1446579578.26; 1446579579.42; cycle_1; ex_step
unit.000214; 1446579530.87; 1446579552.97; 1446579555.93; 1446579556.11; 1446579572.02; 1446579573.14; cycle_1; ex_step
unit.000215; 1446579530.87; 1446579553.07; 1446579556.11; 1446579556.31; 1446579572.02; 1446579573.13; cycle_1; ex_step
unit.000212; 1446579530.86; 1446579551.56; 1446579553.48; 1446579553.69; 1446579569.88; 1446579571.02; cycle_1; ex_step
unit.000213; 1446579530.87; 1446579551.69; 1446579553.86; 1446579554.0; 1446579569.89; 1446579571.02; cycle_1; ex_step
unit.000210; 1446579530.86; 1446579550.08; 1446579552.21; 1446579552.41; 1446579568.77; 1446579569.89; cycle_1; ex_step
unit.000211; 1446579530.86; 1446579550.17; 1446579552.41; 1446579552.61; 1446579568.78; 1446579569.88; cycle_1; ex_step
unit.000285; 1446579531.11; 1446579610.1; 1446579612.5; 1446579612.7; 1446579628.98; 1446579630.23; cycle_1; ex_step
unit.000284; 1446579531.1; 1446579609.86; 1446579612.02; 1446579612.22; 1446579627.74; 1446579628.98; cycle_1; ex_step
unit.000287; 1446579531.11; 1446579612.0; 1446579613.99; 1446579614.2; 1446579630.23; 1446579631.57; cycle_1; ex_step
unit.000286; 1446579531.11; 1446579611.36; 1446579613.33; 1446579613.54; 1446579630.06; 1446579631.15; cycle_1; ex_step
unit.000281; 1446579531.09; 1446579607.09; 1446579609.28; 1446579609.48; 1446579625.83; 1446579626.94; cycle_1; ex_step
unit.000280; 1446579531.09; 1446579606.4; 1446579609.08; 1446579609.28; 1446579625.52; 1446579626.62; cycle_1; ex_step
unit.000283; 1446579531.1; 1446579608.59; 1446579610.67; 1446579610.87; 1446579626.94; 1446579628.05; cycle_1; ex_step
unit.000282; 1446579531.1; 1446579608.42; 1446579610.35; 1446579610.56; 1446579626.62; 1446579627.74; cycle_1; ex_step
unit.000289; 1446579531.12; 1446579613.4; 1446579615.48; 1446579615.68; 1446579631.58; 1446579632.67; cycle_1; ex_step
unit.000288; 1446579531.12; 1446579612.8; 1446579614.82; 1446579615.03; 1446579631.16; 1446579632.38; cycle_1; ex_step
unit.000371; 1446579531.33; 1446579676.46; 1446579678.74; 1446579678.87; 1446579694.84; 1446579695.92; cycle_1; ex_step
unit.000370; 1446579531.33; 1446579676.36; 1446579678.47; 1446579678.67; 1446579694.83; 1446579695.92; cycle_1; ex_step
unit.000322; 1446579531.23; 1446579638.65; 1446579640.73; 1446579640.93; 1446579657.17; 1446579658.3; cycle_1; ex_step
unit.000323; 1446579531.23; 1446579638.76; 1446579640.99; 1446579641.19; 1446579657.17; 1446579658.29; cycle_1; ex_step
unit.000320; 1446579531.22; 1446579637.23; 1446579639.23; 1446579639.46; 1446579656.06; 1446579657.17; cycle_1; ex_step
unit.000321; 1446579531.22; 1446579637.36; 1446579639.43; 1446579639.63; 1446579656.06; 1446579657.17; cycle_1; ex_step
unit.000209; 1446579530.85; 1446579548.73; 1446579550.79; 1446579550.99; 1446579567.66; 1446579568.78; cycle_1; ex_step
unit.000208; 1446579530.85; 1446579548.58; 1446579550.64; 1446579550.83; 1446579567.65; 1446579568.77; cycle_1; ex_step
unit.000324; 1446579531.23; 1446579640.12; 1446579642.17; 1446579642.42; 1446579659.3; 1446579660.43; cycle_1; ex_step
unit.000325; 1446579531.23; 1446579640.26; 1446579642.37; 1446579642.57; 1446579659.3; 1446579660.42; cycle_1; ex_step
unit.000205; 1446579530.84; 1446579545.76; 1446579547.91; 1446579548.11; 1446579564.23; 1446579565.35; cycle_1; ex_step
unit.000204; 1446579530.84; 1446579545.67; 1446579547.71; 1446579547.91; 1446579564.22; 1446579565.31; cycle_1; ex_step
unit.000207; 1446579530.85; 1446579547.21; 1446579549.41; 1446579549.61; 1446579566.35; 1446579567.66; cycle_1; ex_step
unit.000206; 1446579530.84; 1446579547.09; 1446579549.1; 1446579549.32; 1446579566.35; 1446579567.65; cycle_1; ex_step
unit.000201; 1446579530.83; 1446579541.8; 1446579544.71; 1446579544.92; 1446579561.99; 1446579563.14; cycle_1; ex_step
unit.000200; 1446579530.83; 1446579541.63; 1446579544.51; 1446579544.72; 1446579561.02; 1446579562.1; cycle_1; ex_step
unit.000203; 1446579530.84; 1446579544.09; 1446579546.41; 1446579546.61; 1446579563.14; 1446579564.23; cycle_1; ex_step
unit.000202; 1446579530.83; 1446579544.0; 1446579546.21; 1446579546.41; 1446579563.11; 1446579564.22; cycle_1; ex_step
unit.000230; 1446579530.93; 1446579568.07; 1446579570.08; 1446579570.28; 1446579587.01; 1446579588.32; cycle_1; ex_step
unit.000231; 1446579530.93; 1446579569.24; 1446579571.25; 1446579571.49; 1446579588.21; 1446579589.32; cycle_1; ex_step
unit.000232; 1446579530.93; 1446579569.44; 1446579571.57; 1446579571.77; 1446579588.32; 1446579589.43; cycle_1; ex_step
unit.000233; 1446579530.94; 1446579570.67; 1446579572.82; 1446579572.98; 1446579589.32; 1446579590.47; cycle_1; ex_step
unit.000234; 1446579530.94; 1446579570.85; 1446579572.95; 1446579573.15; 1446579589.43; 1446579590.64; cycle_1; ex_step
unit.000235; 1446579530.94; 1446579572.09; 1446579574.02; 1446579574.22; 1446579590.65; 1446579591.94; cycle_1; ex_step
unit.000236; 1446579530.94; 1446579572.24; 1446579574.34; 1446579574.54; 1446579591.48; 1446579592.65; cycle_1; ex_step
unit.000237; 1446579530.95; 1446579573.46; 1446579575.64; 1446579575.84; 1446579591.94; 1446579593.03; cycle_1; ex_step
unit.000238; 1446579530.95; 1446579573.79; 1446579575.9; 1446579576.1; 1446579592.65; 1446579593.78; cycle_1; ex_step
unit.000239; 1446579530.96; 1446579575.0; 1446579576.9; 1446579577.1; 1446579593.03; 1446579594.18; cycle_1; ex_step
unit.000378; 1446579531.35; 1446579682.3; 1446579684.31; 1446579684.51; 1446579703.34; 1446579704.46; cycle_1; ex_step
unit.000331; 1446579531.26; 1446579644.6; 1446579646.79; 1446579646.99; 1446579663.75; 1446579664.87; cycle_1; ex_step
unit.000330; 1446579531.25; 1446579644.51; 1446579646.59; 1446579646.79; 1446579663.75; 1446579664.87; cycle_1; ex_step
unit.000333; 1446579531.26; 1446579646.15; 1446579648.59; 1446579648.79; 1446579665.88; 1446579666.97; cycle_1; ex_step
unit.000332; 1446579531.26; 1446579645.99; 1446579648.39; 1446579648.59; 1446579664.87; 1446579666.27; cycle_1; ex_step
unit.000335; 1446579531.27; 1446579647.91; 1446579650.33; 1446579650.53; 1446579666.97; 1446579668.05; cycle_1; ex_step
unit.000334; 1446579531.26; 1446579647.84; 1446579650.02; 1446579650.22; 1446579666.27; 1446579667.54; cycle_1; ex_step
unit.000337; 1446579531.28; 1446579649.6; 1446579652.06; 1446579652.26; 1446579669.06; 1446579670.26; cycle_1; ex_step
unit.000336; 1446579531.27; 1446579649.51; 1446579651.86; 1446579652.06; 1446579668.54; 1446579669.65; cycle_1; ex_step
unit.000339; 1446579531.28; 1446579651.38; 1446579653.62; 1446579653.83; 1446579670.26; 1446579671.39; cycle_1; ex_step
unit.000326; 1446579531.23; 1446579641.57; 1446579643.68; 1446579643.88; 1446579660.42; 1446579661.58; cycle_1; ex_step
unit.000327; 1446579531.24; 1446579641.68; 1446579643.88; 1446579644.08; 1446579660.43; 1446579661.58; cycle_1; ex_step
unit.000227; 1446579530.91; 1446579566.22; 1446579568.45; 1446579568.65; 1446579584.8; 1446579585.91; cycle_1; ex_step
unit.000226; 1446579530.91; 1446579565.3; 1446579567.27; 1446579567.47; 1446579583.99; 1446579585.08; cycle_1; ex_step
unit.000225; 1446579530.91; 1446579564.84; 1446579566.79; 1446579566.99; 1446579583.71; 1446579584.8; cycle_1; ex_step
unit.000224; 1446579530.9; 1446579564.0; 1446579565.96; 1446579566.16; 1446579582.71; 1446579583.99; cycle_1; ex_step
unit.000223; 1446579530.9; 1446579562.86; 1446579565.47; 1446579565.67; 1446579581.61; 1446579582.71; cycle_1; ex_step
unit.000222; 1446579530.9; 1446579562.54; 1446579564.56; 1446579564.8; 1446579581.56; 1446579582.7; cycle_1; ex_step
unit.000221; 1446579530.89; 1446579561.04; 1446579563.39; 1446579563.59; 1446579579.42; 1446579580.61; cycle_1; ex_step
unit.000220; 1446579530.89; 1446579560.55; 1446579563.08; 1446579563.28; 1446579579.42; 1446579580.56; cycle_1; ex_step
unit.000338; 1446579531.28; 1446579651.28; 1446579653.36; 1446579653.56; 1446579669.65; 1446579670.75; cycle_1; ex_step
unit.000369; 1446579531.33; 1446579674.69; 1446579677.17; 1446579677.37; 1446579693.76; 1446579694.84; cycle_1; ex_step
unit.000380; 1446579531.38; 1446579683.65; 1446579686.33; 1446579686.53; 1446579704.46; 1446579705.61; cycle_1; ex_step
unit.000381; 1446579531.38; 1446579684.35; 1446579686.53; 1446579686.73; 1446579704.46; 1446579705.61; cycle_1; ex_step
unit.000229; 1446579530.92; 1446579567.84; 1446579569.76; 1446579569.97; 1446579585.91; 1446579587.0; cycle_1; ex_step
unit.000228; 1446579530.92; 1446579566.65; 1446579568.76; 1446579568.96; 1446579585.08; 1446579586.2; cycle_1; ex_step
unit.000366; 1446579531.33; 1446579672.95; 1446579675.05; 1446579675.29; 1446579691.62; 1446579692.74; cycle_1; ex_step
unit.000379; 1446579531.36; 1446579682.97; 1446579684.97; 1446579685.17; 1446579703.34; 1446579704.46; cycle_1; ex_step
unit.000382; 1446579531.39; 1446579685.75; 1446579688.12; 1446579688.32; 1446579705.61; 1446579706.72; cycle_1; ex_step
unit.000367; 1446579531.33; 1446579673.18; 1446579675.37; 1446579675.57; 1446579691.67; 1446579692.76; cycle_1; ex_step
unit.000383; 1446579531.39; 1446579685.84; 1446579688.61; 1446579688.81; 1446579705.61; 1446579706.7; cycle_1; ex_step
unit.000328; 1446579531.25; 1446579642.99; 1446579645.12; 1446579645.29; 1446579661.58; 1446579662.73; cycle_1; ex_step
unit.000329; 1446579531.25; 1446579643.11; 1446579645.27; 1446579645.47; 1446579661.58; 1446579662.72; cycle_1; ex_step
unit.000199; 1446579530.82; 1446579540.25; 1446579542.48; 1446579542.68; 1446579560.84; 1446579561.98; cycle_1; ex_step
unit.000198; 1446579530.82; 1446579540.14; 1446579542.21; 1446579542.41; 1446579559.77; 1446579561.01; cycle_1; ex_step
unit.000318; 1446579531.21; 1446579635.74; 1446579637.73; 1446579637.97; 1446579653.88; 1446579655.05; cycle_1; ex_step
unit.000195; 1446579530.81; 1446579537.27; 1446579539.52; 1446579539.72; 1446579558.32; 1446579559.56; cycle_1; ex_step
unit.000194; 1446579530.81; 1446579537.17; 1446579539.32; 1446579539.52; 1446579557.13; 1446579558.32; cycle_1; ex_step
unit.000197; 1446579530.82; 1446579538.84; 1446579540.91; 1446579541.11; 1446579559.56; 1446579560.84; cycle_1; ex_step
