uid, iter, step, Scheduling, StagingInput, Allocating, Executing, PendingAgentOutputStaging, Done

unit.000000, 0, pre_loop, 2015-09-26 02:10:03.380000, 2015-09-26 02:10:04.086000, 2015-09-26 02:10:09.681000, 2015-09-26 02:10:09.694000, 2015-09-26 02:10:10.711000, 2015-09-26 02:10:12.887000
unit.000001, 1, sim, 2015-09-26 02:10:20.601000, 2015-09-26 02:10:25.670000, 2015-09-26 02:10:26.386000, 2015-09-26 02:10:26.399000, 2015-09-26 02:13:39.518000, 2015-09-26 02:13:40.828000
unit.000002, 1, sim, 2015-09-26 02:10:20.603000, 2015-09-26 02:10:29.256000, 2015-09-26 02:10:30.027000, 2015-09-26 02:10:30.046000, 2015-09-26 02:13:47.028000, 2015-09-26 02:13:50.622000
unit.000003, 1, sim, 2015-09-26 02:10:20.604000, 2015-09-26 02:10:28.644000, 2015-09-26 02:10:29.421000, 2015-09-26 02:10:29.432000, 2015-09-26 02:13:46.826000, 2015-09-26 02:13:50.089000
unit.000004, 1, sim, 2015-09-26 02:10:20.607000, 2015-09-26 02:10:46.737000, 2015-09-26 02:10:47.278000, 2015-09-26 02:13:53.577000, 2015-09-26 02:17:07.596000, 2015-09-26 02:17:08.085000
unit.000005, 1, sim, 2015-09-26 02:10:20.608000, 2015-09-26 02:10:33.807000, 2015-09-26 02:10:34.934000, 2015-09-26 02:10:34.948000, 2015-09-26 02:13:52.964000, 2015-09-26 02:13:55.165000
unit.000006, 1, sim, 2015-09-26 02:10:20.610000, 2015-09-26 02:10:32.030000, 2015-09-26 02:10:33.382000, 2015-09-26 02:10:33.393000, 2015-09-26 02:13:51.457000, 2015-09-26 02:13:53.285000
unit.000007, 1, sim, 2015-09-26 02:10:20.612000, 2015-09-26 02:10:36.200000, 2015-09-26 02:10:37.254000, 2015-09-26 02:10:37.283000, 2015-09-26 02:13:53.992000, 2015-09-26 02:13:57.475000
unit.000008, 1, sim, 2015-09-26 02:10:20.614000, 2015-09-26 02:10:46.207000, 2015-09-26 02:10:47.267000, 2015-09-26 02:13:52.992000, 2015-09-26 02:17:07.190000, 2015-09-26 02:17:07.967000
unit.000009, 1, sim, 2015-09-26 02:10:20.622000, 2015-09-26 02:10:31.232000, 2015-09-26 02:10:31.852000, 2015-09-26 02:10:31.868000, 2015-09-26 02:13:49.547000, 2015-09-26 02:13:52.579000
unit.000010, 1, sim, 2015-09-26 02:10:20.623000, 2015-09-26 02:10:36.562000, 2015-09-26 02:10:37.265000, 2015-09-26 02:10:37.281000, 2015-09-26 02:13:55.992000, 2015-09-26 02:13:57.826000
unit.000011, 1, sim, 2015-09-26 02:10:20.625000, 2015-09-26 02:10:30.161000, 2015-09-26 02:10:31.235000, 2015-09-26 02:10:31.249000, 2015-09-26 02:13:49.545000, 2015-09-26 02:13:51.507000
