uid, step, Scheduling, StagingInput, AgentStagingInputPending, AgentStagingInput, AllocatingPending, Allocating, ExecutingPending, Executing, AgentStagingOutputPending, AgentStagingOutput, PendingOutputStaging, StagingOutput, Done

unit.000002, step_1, 1456688734.54, 1456688735.27, 1456688735.27, 1456688740.32, 1456688740.32, 1456688740.35, 1456688740.36,1456688740.39, 1456688741.29, 1456688741.37, 1456688741.42, 1456688746.39, 1456688746.53
unit.000003, step_2, 1456688748.99, 1456688749.72, 1456688749.72, 1456688750.25, 1456688754.66, 1456688754.71, 1456688754.71,1456688754.71, 1456688754.71, 1456688754.72, 1456688754.72, 1456688756.78, 1456688762.81
