uid, step, Scheduling, StagingInput, AgentStagingInputPending, AgentStagingInput, AllocatingPending, Allocating, ExecutingPending, Executing, AgentStagingOutputPending, AgentStagingOutput, PendingOutputStaging, StagingOutput, Done

unit.000000, step_1, 1456688531.56, 1456688532.15, 1456688532.15, 1456688537.12, 1456688537.12, 1456688537.16, 1456688537.16,1456688537.19, 1456688538.53, 1456688538.63, 1456688538.64, 1456688539.81, 1456688539.91
unit.000001, step_2, 1456688540.86, 1456688542.09, 1456688542.09, 1456688543.63, 1456688543.68, 1456688543.69, 1456688543.69,1456688543.69, 1456688545.74, 1456688545.81, 1456688545.81, 1456688547.69, 1456688552.79
