uid, step, Scheduling, StagingInput, AgentStagingInputPending, AgentStagingInput, AllocatingPending, Allocating, ExecutingPending, Executing, AgentStagingOutputPending, AgentStagingOutput, PendingOutputStaging, StagingOutput, Done

unit.000026, step_1, 1456691940.18, 1456691941.04, 1456691941.04, 1456691944.92, 1456691944.92, 1456691944.95, 1456691944.95,1456691944.98, 1456691946.35, 1456691946.44, 1456691946.46, 1456691947.32, 1456691947.42
unit.000027, step_2, 1456691950.03, 1456691950.9, 1456691950.9, 1456691951.33, 1456691951.39, 1456691951.4, 1456691951.4,1456691951.4, 1456691953.46, 1456691953.51, 1456691953.52, 1456691955.0, 1456691982.07
