uid, step, Scheduling, StagingInput, AgentStagingInputPending, AgentStagingInput, AllocatingPending, Allocating, ExecutingPending, Executing, AgentStagingOutputPending, AgentStagingOutput, PendingOutputStaging, StagingOutput, Done

unit.000010, step_1, 1456689644.32, 1456689645.9, 1456689645.9, 1456689649.37, 1456689649.37, 1456689649.4, 1456689649.4,1456689649.43, 1456689651.74, 1456689651.9, 1456689651.91, 1456689653.57, 1456689653.66
unit.000011, step_2, 1456689655.95, 1456689656.86, 1456689656.86, 1456689657.41, 1456689657.47, 1456689657.47, 1456689657.48,1456689657.48, 1456689660.66, 1456689660.73, 1456689660.74, 1456689662.76, 1456689683.84
