Cycle; Step; Start; Stop; Duration
cycle_1; pp_step; 2015-11-06 12:28:59.094417; 2015-11-06 12:28:59.094428; 1.1e-05
cycle_1; pp_step_enmd_overhead; 2015-11-06 12:28:59.094417; 2015-11-06 12:28:59.094428; 1.1e-05
cycle_1; ex_step; 2015-11-06 12:27:52.901945; 2015-11-06 12:28:59.093850; 66.191905
cycle_1; ex_step_enmd_overhead; 2015-11-06 12:27:52.901945; 2015-11-06 12:27:53.513294; 0.611349
cycle_1; md_step; 2015-11-06 12:26:22.206271; 2015-11-06 12:27:52.901421; 90.69515
cycle_1; md_step_enmd_overhead; 2015-11-06 12:26:22.206271; 2015-11-06 12:26:22.897310; 0.691039
CU_ID; Scheduling; StagingInput; Allocating; Executing; AgentStagingOutputPending; Done; Cycle; Step;
unit.000116; 1446812874.43; 1446812908.51; 1446812910.28; 1446812910.49; 1446812912.31; 1446812916.72; cycle_1; ex_step
unit.000111; 1446812874.42; 1446812906.4; 1446812908.05; 1446812908.27; 1446812910.11; 1446812913.53; cycle_1; ex_step
unit.000110; 1446812874.42; 1446812905.46; 1446812907.15; 1446812907.35; 1446812909.2; 1446812913.4; cycle_1; ex_step
unit.000113; 1446812874.42; 1446812907.44; 1446812908.98; 1446812909.18; 1446812911.01; 1446812914.62; cycle_1; ex_step
unit.000112; 1446812874.42; 1446812906.45; 1446812908.27; 1446812908.46; 1446812910.31; 1446812914.48; cycle_1; ex_step
unit.000119; 1446812874.43; 1446812910.53; 1446812912.18; 1446812912.38; 1446812914.22; 1446812917.89; cycle_1; ex_step
unit.000118; 1446812874.43; 1446812909.57; 1446812911.29; 1446812911.49; 1446812913.32; 1446812917.85; cycle_1; ex_step
unit.000191; 1446812874.55; 1446812898.06; 1446812899.69; 1446812899.89; 1446812901.77; 1446812904.76; cycle_1; ex_step
unit.000190; 1446812874.55; 1446812897.44; 1446812899.04; 1446812899.24; 1446812901.22; 1446812904.68; cycle_1; ex_step
unit.000128; 1446812874.45; 1446812914.95; 1446812916.67; 1446812916.87; 1446812918.74; 1446812923.31; cycle_1; ex_step
unit.000129; 1446812874.45; 1446812915.58; 1446812917.32; 1446812917.53; 1446812919.39; 1446812923.36; cycle_1; ex_step
unit.000120; 1446812874.43; 1446812910.64; 1446812912.38; 1446812912.59; 1446812914.42; 1446812918.94; cycle_1; ex_step
unit.000121; 1446812874.44; 1446812911.54; 1446812913.11; 1446812913.31; 1446812915.13; 1446812919.0; cycle_1; ex_step
unit.000122; 1446812874.44; 1446812911.72; 1446812913.42; 1446812913.62; 1446812915.43; 1446812920.03; cycle_1; ex_step
unit.000123; 1446812874.44; 1446812912.55; 1446812914.08; 1446812914.3; 1446812916.13; 1446812920.09; cycle_1; ex_step
unit.000124; 1446812874.44; 1446812912.8; 1446812914.39; 1446812914.59; 1446812916.43; 1446812921.13; cycle_1; ex_step
unit.000125; 1446812874.44; 1446812913.56; 1446812915.05; 1446812915.3; 1446812917.13; 1446812921.18; cycle_1; ex_step
unit.000126; 1446812874.44; 1446812913.87; 1446812915.53; 1446812915.73; 1446812917.54; 1446812922.22; cycle_1; ex_step
unit.000127; 1446812874.44; 1446812914.56; 1446812916.18; 1446812916.39; 1446812918.24; 1446812922.27; cycle_1; ex_step
unit.000139; 1446812874.46; 1446812920.78; 1446812922.4; 1446812922.6; 1446812924.47; 1446812928.83; cycle_1; ex_step
unit.000138; 1446812874.46; 1446812920.28; 1446812921.92; 1446812922.12; 1446812923.96; 1446812928.76; cycle_1; ex_step
unit.000137; 1446812874.46; 1446812919.78; 1446812921.26; 1446812921.46; 1446812923.36; 1446812927.73; cycle_1; ex_step
unit.000136; 1446812874.46; 1446812919.21; 1446812920.78; 1446812920.98; 1446812922.76; 1446812927.68; cycle_1; ex_step
unit.000135; 1446812874.46; 1446812918.78; 1446812920.42; 1446812920.6; 1446812922.48; 1446812926.64; cycle_1; ex_step
unit.000134; 1446812874.46; 1446812918.2; 1446812919.74; 1446812919.94; 1446812921.86; 1446812926.59; cycle_1; ex_step
unit.000133; 1446812874.45; 1446812917.76; 1446812919.43; 1446812919.63; 1446812921.45; 1446812925.55; cycle_1; ex_step
unit.000132; 1446812874.45; 1446812917.13; 1446812918.77; 1446812918.97; 1446812920.85; 1446812925.5; cycle_1; ex_step
unit.000131; 1446812874.45; 1446812916.67; 1446812918.31; 1446812918.49; 1446812920.35; 1446812924.46; cycle_1; ex_step
unit.000130; 1446812874.45; 1446812916.07; 1446812917.64; 1446812917.84; 1446812919.75; 1446812924.41; cycle_1; ex_step
