Cycle; Step; Start; Stop; Duration
cycle_1; pp_step; 2015-11-06 12:35:44.589790; 2015-11-06 12:35:44.589803; 1.3e-05
cycle_1; pp_step_enmd_overhead; 2015-11-06 12:35:44.589790; 2015-11-06 12:35:44.589803; 1.3e-05
cycle_1; ex_step; 2015-11-06 12:33:42.837302; 2015-11-06 12:35:44.588665; 121.751363
cycle_1; ex_step_enmd_overhead; 2015-11-06 12:33:42.837302; 2015-11-06 12:33:44.060635; 1.223333
cycle_1; md_step; 2015-11-06 12:30:57.450888; 2015-11-06 12:33:42.836229; 165.385341
cycle_1; md_step_enmd_overhead; 2015-11-06 12:30:57.450888; 2015-11-06 12:30:58.805582; 1.354694
CU_ID; Scheduling; StagingInput; Allocating; Executing; AgentStagingOutputPending; Done; Cycle; Step;
unit.000357; 1446813226.14; 1446813320.62; 1446813322.23; 1446813322.43; 1446813324.26; 1446813329.73; cycle_1; ex_step
unit.000356; 1446813226.14; 1446813319.73; 1446813321.56; 1446813321.76; 1446813323.56; 1446813329.19; cycle_1; ex_step
unit.000355; 1446813226.14; 1446813319.06; 1446813321.23; 1446813321.44; 1446813323.26; 1446813328.64; cycle_1; ex_step
unit.000354; 1446813226.14; 1446813318.35; 1446813320.22; 1446813320.43; 1446813322.26; 1446813328.09; cycle_1; ex_step
unit.000353; 1446813226.14; 1446813318.07; 1446813319.8; 1446813320.0; 1446813321.85; 1446813327.55; cycle_1; ex_step
unit.000352; 1446813226.13; 1446813317.29; 1446813318.9; 1446813319.1; 1446813321.45; 1446813326.95; cycle_1; ex_step
unit.000351; 1446813226.13; 1446813317.06; 1446813318.57; 1446813318.77; 1446813321.05; 1446813326.4; cycle_1; ex_step
unit.000350; 1446813226.13; 1446813316.23; 1446813317.91; 1446813318.11; 1446813319.95; 1446813325.85; cycle_1; ex_step
unit.000359; 1446813226.15; 1446813321.62; 1446813323.21; 1446813323.41; 1446813325.27; 1446813330.86; cycle_1; ex_step
unit.000358; 1446813226.14; 1446813320.86; 1446813322.55; 1446813322.75; 1446813324.56; 1446813330.28; cycle_1; ex_step
unit.000296; 1446813226.05; 1446813287.27; 1446813288.93; 1446813289.13; 1446813291.08; 1446813295.71; cycle_1; ex_step
unit.000297; 1446813226.05; 1446813287.97; 1446813289.59; 1446813289.79; 1446813291.64; 1446813296.49; cycle_1; ex_step
unit.000294; 1446813226.04; 1446813286.26; 1446813287.79; 1446813288.0; 1446813289.83; 1446813294.62; cycle_1; ex_step
unit.000295; 1446813226.05; 1446813286.9; 1446813288.62; 1446813288.82; 1446813290.63; 1446813295.41; cycle_1; ex_step
unit.000292; 1446813226.04; 1446813285.26; 1446813286.82; 1446813287.02; 1446813288.83; 1446813293.51; cycle_1; ex_step
unit.000293; 1446813226.04; 1446813285.82; 1446813287.47; 1446813287.68; 1446813289.53; 1446813294.32; cycle_1; ex_step
unit.000290; 1446813226.04; 1446813284.27; 1446813285.85; 1446813286.05; 1446813287.82; 1446813292.36; cycle_1; ex_step
unit.000291; 1446813226.04; 1446813284.72; 1446813286.33; 1446813286.53; 1446813288.43; 1446813293.24; cycle_1; ex_step
unit.000298; 1446813226.05; 1446813288.27; 1446813289.9; 1446813290.1; 1446813291.94; 1446813296.84; cycle_1; ex_step
unit.000299; 1446813226.05; 1446813289.04; 1446813290.73; 1446813290.93; 1446813292.84; 1446813297.58; cycle_1; ex_step
unit.000218; 1446813225.92; 1446813246.1; 1446813247.7; 1446813247.91; 1446813249.77; 1446813252.62; cycle_1; ex_step
unit.000219; 1446813225.92; 1446813246.63; 1446813248.36; 1446813248.56; 1446813250.48; 1446813252.72; cycle_1; ex_step
unit.000216; 1446813225.92; 1446813244.82; 1446813246.73; 1446813246.93; 1446813248.77; 1446813251.54; cycle_1; ex_step
unit.000217; 1446813225.92; 1446813245.47; 1446813247.22; 1446813247.42; 1446813249.27; 1446813251.63; cycle_1; ex_step
unit.000214; 1446813225.92; 1446813243.76; 1446813245.42; 1446813245.62; 1446813247.46; 1446813249.53; cycle_1; ex_step
unit.000215; 1446813225.92; 1446813244.4; 1446813246.08; 1446813246.28; 1446813248.17; 1446813250.44; cycle_1; ex_step
unit.000212; 1446813225.91; 1446813242.72; 1446813244.28; 1446813244.48; 1446813246.26; 1446813248.44; cycle_1; ex_step
unit.000213; 1446813225.92; 1446813243.33; 1446813244.93; 1446813245.13; 1446813246.96; 1446813249.36; cycle_1; ex_step
unit.000210; 1446813225.91; 1446813241.57; 1446813243.31; 1446813243.51; 1446813245.36; 1446813247.36; cycle_1; ex_step
unit.000211; 1446813225.91; 1446813242.03; 1446813243.96; 1446813244.16; 1446813246.06; 1446813248.27; cycle_1; ex_step
unit.000285; 1446813226.03; 1446813281.5; 1446813283.07; 1446813283.28; 1446813285.11; 1446813289.93; cycle_1; ex_step
unit.000284; 1446813226.03; 1446813281.2; 1446813282.76; 1446813282.96; 1446813284.85; 1446813289.04; cycle_1; ex_step
