uid, iter, step, Scheduling, StagingInput, Allocating, Executing, PendingAgentOutputStaging, Done

unit.000000, 0, pre_loop, 2015-09-22 19:39:04.843000, 2015-09-22 19:39:06.198000, 2015-09-22 19:39:16.146000, 2015-09-22 19:39:16.159000, 2015-09-22 19:39:18.325000, 2015-09-22 19:39:19.614000
unit.000001, 1, sim, 2015-09-22 19:39:40.128000, 2015-09-22 19:40:19.101000, 2015-09-22 19:40:19.864000, 2015-09-22 20:02:26.115000, 2015-09-22 20:05:36.524000, 2015-09-22 20:05:37.888000
unit.000002, 1, sim, 2015-09-22 19:39:40.136000, 2015-09-22 19:40:15.232000, 2015-09-22 19:40:16.154000, 2015-09-22 19:56:09.683000, 2015-09-22 19:59:21.694000, 2015-09-22 19:59:23.150000
unit.000003, 1, sim, 2015-09-22 19:39:40.141000, 2015-09-22 19:40:15.414000, 2015-09-22 19:40:16.160000, 2015-09-22 19:56:11.896000, 2015-09-22 19:59:28.627000, 2015-09-22 19:59:29.972000
unit.000004, 1, sim, 2015-09-22 19:39:40.150000, 2015-09-22 19:40:15.590000, 2015-09-22 19:40:16.167000, 2015-09-22 19:59:09.258000, 2015-09-22 20:02:19.969000, 2015-09-22 20:02:21.235000
unit.000005, 1, sim, 2015-09-22 19:39:40.152000, 2015-09-22 19:40:15.772000, 2015-09-22 19:40:16.919000, 2015-09-22 19:59:10.768000, 2015-09-22 20:02:20.977000, 2015-09-22 20:02:22.501000
unit.000006, 1, sim, 2015-09-22 19:39:40.153000, 2015-09-22 19:40:15.772000, 2015-09-22 19:40:16.923000, 2015-09-22 19:59:11.579000, 2015-09-22 20:02:22.393000, 2015-09-22 20:02:23.722000
unit.000007, 1, sim, 2015-09-22 19:39:40.161000, 2015-09-22 19:40:16.397000, 2015-09-22 19:40:17.684000, 2015-09-22 19:59:14.404000, 2015-09-22 20:02:26.822000, 2015-09-22 20:02:28.534000
unit.000008, 1, sim, 2015-09-22 19:39:40.163000, 2015-09-22 19:40:16.578000, 2015-09-22 19:40:17.693000, 2015-09-22 19:59:15.314000, 2015-09-22 20:02:27.226000, 2015-09-22 20:02:28.707000
unit.000009, 1, sim, 2015-09-22 19:39:40.165000, 2015-09-22 19:40:16.754000, 2015-09-22 19:40:17.700000, 2015-09-22 19:59:16.229000, 2015-09-22 20:02:26.718000, 2015-09-22 20:02:28.710000
unit.000010, 1, sim, 2015-09-22 19:39:40.178000, 2015-09-22 19:40:16.930000, 2015-09-22 19:40:17.707000, 2015-09-22 19:59:16.638000, 2015-09-22 20:02:28.738000, 2015-09-22 20:02:30.155000
unit.000011, 1, sim, 2015-09-22 19:39:40.180000, 2015-09-22 19:40:17.106000, 2015-09-22 19:40:18.452000, 2015-09-22 19:59:16.846000, 2015-09-22 20:02:28.945000, 2015-09-22 20:02:30.333000
unit.000012, 1, sim, 2015-09-22 19:39:40.187000, 2015-09-22 19:40:17.282000, 2015-09-22 19:40:18.464000, 2015-09-22 19:59:18.965000, 2015-09-22 20:02:29.660000, 2015-09-22 20:02:30.551000
unit.000013, 1, sim, 2015-09-22 19:39:40.188000, 2015-09-22 19:40:17.566000, 2015-09-22 19:40:18.470000, 2015-09-22 19:59:19.087000, 2015-09-22 20:02:34.618000, 2015-09-22 20:02:35.798000
unit.000014, 1, sim, 2015-09-22 19:39:40.198000, 2015-09-22 19:40:17.744000, 2015-09-22 19:40:18.477000, 2015-09-22 19:59:19.783000, 2015-09-22 20:02:34.013000, 2015-09-22 20:02:35.525000
unit.000015, 1, sim, 2015-09-22 19:39:40.200000, 2015-09-22 19:40:16.398000, 2015-09-22 19:40:17.690000, 2015-09-22 19:59:14.708000, 2015-09-22 20:02:28.534000, 2015-09-22 20:02:29.978000
unit.000016, 1, sim, 2015-09-22 19:39:40.202000, 2015-09-22 19:40:16.219000, 2015-09-22 19:40:16.937000, 2015-09-22 19:59:14.300000, 2015-09-22 20:02:26.313000, 2015-09-22 20:02:28.530000
unit.000017, 1, sim, 2015-09-22 19:39:40.211000, 2015-09-22 19:40:16.043000, 2015-09-22 19:40:16.927000, 2015-09-22 19:59:11.883000, 2015-09-22 20:02:22.290000, 2015-09-22 20:02:23.766000
