Cycle; Step; Start; Stop; Duration
cycle_1; pp_step; 2015-11-03 19:54:59.483842; 2015-11-03 19:54:59.483853; 1.1e-05
cycle_1; pp_step_enmd_overhead; 2015-11-03 19:54:59.483842; 2015-11-03 19:54:59.483853; 1.1e-05
cycle_1; ex_step; 2015-11-03 19:53:22.722255; 2015-11-03 19:54:59.483285; 96.76103
cycle_1; ex_step_enmd_overhead; 2015-11-03 19:53:22.722255; 2015-11-03 19:53:23.591197; 0.868942
cycle_1; md_step; 2015-11-03 19:51:01.925380; 2015-11-03 19:53:22.721703; 140.796323
cycle_1; md_step_enmd_overhead; 2015-11-03 19:51:01.925380; 2015-11-03 19:51:03.712866; 1.787486
CU_ID; Scheduling; StagingInput; Allocating; Executing; StagingOutput; Done; Cycle; Step;
unit.000168; 1446580404.82; 1446580476.65; 1446580478.71; 1446580478.98; 1446580495.6; 1446580496.69; cycle_1; ex_step
unit.000169; 1446580404.82; 1446580477.87; 1446580479.88; 1446580480.13; 1446580496.69; 1446580497.78; cycle_1; ex_step
unit.000164; 1446580404.81; 1446580475.23; 1446580477.33; 1446580477.53; 1446580493.5; 1446580494.6; cycle_1; ex_step
unit.000165; 1446580404.82; 1446580476.5; 1446580478.4; 1446580478.6; 1446580494.6; 1446580495.68; cycle_1; ex_step
unit.000166; 1446580404.82; 1446580415.62; 1446580417.74; 1446580417.94; 1446580435.03; 1446580436.13; cycle_1; ex_step
unit.000167; 1446580404.82; 1446580415.76; 1446580417.94; 1446580418.14; 1446580435.23; 1446580436.33; cycle_1; ex_step
unit.000160; 1446580404.81; 1446580475.09; 1446580477.13; 1446580477.37; 1446580493.5; 1446580494.6; cycle_1; ex_step
unit.000161; 1446580404.81; 1446580412.93; 1446580415.06; 1446580415.27; 1446580432.81; 1446580434.01; cycle_1; ex_step
unit.000162; 1446580404.81; 1446580414.21; 1446580416.23; 1446580416.48; 1446580433.86; 1446580435.02; cycle_1; ex_step
unit.000163; 1446580404.81; 1446580414.35; 1446580416.43; 1446580416.64; 1446580434.01; 1446580435.23; cycle_1; ex_step
unit.000173; 1446580404.83; 1446580418.58; 1446580420.63; 1446580420.83; 1446580437.99; 1446580439.08; cycle_1; ex_step
unit.000172; 1446580404.83; 1446580418.45; 1446580420.43; 1446580420.67; 1446580437.24; 1446580438.34; cycle_1; ex_step
unit.000171; 1446580404.83; 1446580417.14; 1446580419.26; 1446580419.46; 1446580436.33; 1446580437.99; cycle_1; ex_step
unit.000170; 1446580404.83; 1446580417.04; 1446580418.94; 1446580419.15; 1446580436.13; 1446580437.24; cycle_1; ex_step
unit.000177; 1446580404.84; 1446580421.25; 1446580423.14; 1446580423.34; 1446580439.46; 1446580440.55; cycle_1; ex_step
unit.000176; 1446580404.84; 1446580419.97; 1446580422.13; 1446580422.34; 1446580439.08; 1446580440.17; cycle_1; ex_step
unit.000175; 1446580404.83; 1446580478.1; 1446580480.2; 1446580480.4; 1446580496.69; 1446580497.78; cycle_1; ex_step
unit.000174; 1446580404.83; 1446580419.85; 1446580421.93; 1446580422.14; 1446580438.34; 1446580439.45; cycle_1; ex_step
unit.000179; 1446580404.84; 1446580422.65; 1446580424.76; 1446580424.96; 1446580441.26; 1446580442.7; cycle_1; ex_step
unit.000178; 1446580404.84; 1446580421.37; 1446580423.45; 1446580423.66; 1446580440.17; 1446580441.25; cycle_1; ex_step
unit.000106; 1446580404.72; 1446580439.63; 1446580441.65; 1446580441.85; 1446580458.72; 1446580459.82; cycle_1; ex_step
unit.000107; 1446580404.72; 1446580440.82; 1446580443.41; 1446580443.61; 1446580459.78; 1446580460.88; cycle_1; ex_step
unit.000104; 1446580404.71; 1446580438.05; 1446580440.27; 1446580440.47; 1446580456.59; 1446580457.71; cycle_1; ex_step
unit.000105; 1446580404.71; 1446580439.29; 1446580441.45; 1446580441.69; 1446580457.56; 1446580458.78; cycle_1; ex_step
unit.000102; 1446580404.71; 1446580436.65; 1446580438.78; 1446580438.99; 1446580455.49; 1446580456.59; cycle_1; ex_step
unit.000103; 1446580404.71; 1446580437.9; 1446580439.79; 1446580439.99; 1446580456.4; 1446580457.56; cycle_1; ex_step
unit.000100; 1446580404.71; 1446580435.27; 1446580437.28; 1446580437.48; 1446580454.17; 1446580455.29; cycle_1; ex_step
unit.000101; 1446580404.71; 1446580436.44; 1446580438.58; 1446580438.79; 1446580455.29; 1446580456.4; cycle_1; ex_step
unit.000108; 1446580404.72; 1446580441.01; 1446580443.73; 1446580443.93; 1446580460.82; 1446580461.93; cycle_1; ex_step
unit.000109; 1446580404.72; 1446580442.85; 1446580445.14; 1446580445.4; 1446580461.89; 1446580463.03; cycle_1; ex_step
unit.000188; 1446580404.86; 1446580429.78; 1446580431.79; 1446580431.99; 1446580448.51; 1446580449.68; cycle_1; ex_step
unit.000189; 1446580404.86; 1446580430.83; 1446580432.79; 1446580432.99; 1446580449.17; 1446580450.29; cycle_1; ex_step
unit.000186; 1446580404.85; 1446580428.13; 1446580430.31; 1446580430.51; 1446580447.41; 1446580448.51; cycle_1; ex_step
unit.000187; 1446580404.85; 1446580429.48; 1446580431.48; 1446580431.74; 1446580448.05; 1446580449.16; cycle_1; ex_step
unit.000184; 1446580404.85; 1446580425.6; 1446580428.65; 1446580428.86; 1446580444.32; 1446580445.41; cycle_1; ex_step
unit.000185; 1446580404.85; 1446580425.8; 1446580430.0; 1446580430.2; 1446580446.95; 1446580448.05; cycle_1; ex_step
unit.000182; 1446580404.85; 1446580424.22; 1446580426.45; 1446580426.65; 1446580443.18; 1446580444.32; cycle_1; ex_step
unit.000183; 1446580404.85; 1446580479.28; 1446580481.71; 1446580481.92; 1446580497.78; 1446580498.89; cycle_1; ex_step
unit.000180; 1446580404.84; 1446580422.75; 1446580424.96; 1446580425.16; 1446580441.55; 1446580443.15; cycle_1; ex_step
unit.000181; 1446580404.84; 1446580424.09; 1446580426.14; 1446580426.42; 1446580442.73; 1446580443.93; cycle_1; ex_step
unit.000115; 1446580404.73; 1446580447.43; 1446580449.54; 1446580449.74; 1446580466.29; 1446580467.43; cycle_1; ex_step
