Cycle; Step; Start; Stop; Duration
cycle_1; pp_step; 2015-11-06 13:28:26.244244; 2015-11-06 13:28:26.244254; 1e-05
cycle_1; pp_step_enmd_overhead; 2015-11-06 13:28:26.244244; 2015-11-06 13:28:26.244254; 1e-05
cycle_1; ex_step; 2015-11-06 13:27:45.659259; 2015-11-06 13:28:26.243933; 40.584674
cycle_1; ex_step_enmd_overhead; 2015-11-06 13:27:45.659259; 2015-11-06 13:27:45.972175; 0.312916
cycle_1; md_step; 2015-11-06 13:26:56.063356; 2015-11-06 13:27:45.658936; 49.59558
cycle_1; md_step_enmd_overhead; 2015-11-06 13:26:56.063356; 2015-11-06 13:26:56.417954; 0.354598
CU_ID; Scheduling; StagingInput; Allocating; Executing; AgentStagingOutputPending; Done; Cycle; Step;
unit.000049; 1446816466.41; 1446816466.82; 1446816469.61; 1446816469.81; 1446816471.66; 1446816476.45; cycle_1; ex_step
unit.000048; 1446816466.41; 1446816466.82; 1446816469.41; 1446816469.68; 1446816471.55; 1446816477.62; cycle_1; ex_step
unit.000074; 1446816466.45; 1446816485.67; 1446816487.32; 1446816487.47; 1446816489.42; 1446816491.78; cycle_1; ex_step
unit.000087; 1446816466.48; 1446816492.22; 1446816493.93; 1446816494.14; 1446816498.61; 1446816501.32; cycle_1; ex_step
unit.000086; 1446816466.48; 1446816492.06; 1446816493.73; 1446816493.94; 1446816497.61; 1446816500.29; cycle_1; ex_step
unit.000089; 1446816466.48; 1446816493.29; 1446816495.03; 1446816497.51; 1446816499.62; 1446816502.4; cycle_1; ex_step
unit.000092; 1446816466.49; 1446816497.29; 1446816499.55; 1446816499.79; 1446816501.52; 1446816504.57; cycle_1; ex_step
unit.000069; 1446816466.44; 1446816482.49; 1446816484.36; 1446816484.56; 1446816486.4; 1446816488.53; cycle_1; ex_step
unit.000068; 1446816466.44; 1446816482.06; 1446816484.16; 1446816484.41; 1446816486.3; 1446816488.51; cycle_1; ex_step
unit.000085; 1446816466.48; 1446816491.21; 1446816492.91; 1446816493.11; 1446816497.51; 1446816499.23; cycle_1; ex_step
unit.000084; 1446816466.48; 1446816491.0; 1446816492.6; 1446816492.8; 1446816496.04; 1446816498.2; cycle_1; ex_step
unit.000083; 1446816466.47; 1446816490.14; 1446816491.87; 1446816492.07; 1446816493.94; 1446816496.14; cycle_1; ex_step
unit.000082; 1446816466.47; 1446816489.94; 1446816491.56; 1446816491.76; 1446816493.63; 1446816496.12; cycle_1; ex_step
unit.000081; 1446816466.47; 1446816489.07; 1446816490.74; 1446816490.94; 1446816492.83; 1446816495.06; cycle_1; ex_step
unit.000080; 1446816466.47; 1446816488.87; 1446816490.42; 1446816490.63; 1446816492.47; 1446816495.04; cycle_1; ex_step
unit.000061; 1446816466.43; 1446816477.71; 1446816479.28; 1446816479.48; 1446816481.39; 1446816483.18; cycle_1; ex_step
unit.000060; 1446816466.43; 1446816476.63; 1446816478.28; 1446816478.48; 1446816480.38; 1446816483.07; cycle_1; ex_step
unit.000063; 1446816466.43; 1446816479.29; 1446816480.89; 1446816481.1; 1446816482.89; 1446816485.25; cycle_1; ex_step
unit.000062; 1446816466.43; 1446816478.78; 1446816480.41; 1446816480.61; 1446816482.49; 1446816484.27; cycle_1; ex_step
unit.000065; 1446816466.44; 1446816480.36; 1446816482.03; 1446816482.23; 1446816484.13; 1446816486.34; cycle_1; ex_step
unit.000064; 1446816466.44; 1446816479.85; 1446816481.55; 1446816481.75; 1446816483.6; 1446816485.36; cycle_1; ex_step
unit.000067; 1446816466.44; 1446816481.42; 1446816482.99; 1446816483.2; 1446816485.0; 1446816487.42; cycle_1; ex_step
unit.000066; 1446816466.44; 1446816480.92; 1446816482.68; 1446816482.88; 1446816484.7; 1446816486.45; cycle_1; ex_step
