Cycle; Step; Start; Stop; Duration
cycle_1; pp_step; 2015-11-03 19:04:39.347615; 2015-11-03 19:04:39.347624; 9e-06
cycle_1; pp_step_enmd_overhead; 2015-11-03 19:04:39.347615; 2015-11-03 19:04:39.347624; 9e-06
cycle_1; ex_step; 2015-11-03 19:03:10.387535; 2015-11-03 19:04:39.347327; 88.959792
cycle_1; ex_step_enmd_overhead; 2015-11-03 19:03:10.387535; 2015-11-03 19:03:10.673872; 0.286337
cycle_1; md_step; 2015-11-03 19:01:45.618094; 2015-11-03 19:03:10.387222; 84.769128
cycle_1; md_step_enmd_overhead; 2015-11-03 19:01:45.618094; 2015-11-03 19:01:45.940009; 0.321915
CU_ID; Scheduling; StagingInput; Allocating; Executing; StagingOutput; Done; Cycle; Step;
unit.000049; 1446577391.16; 1446577392.51; 1446577395.93; 1446577396.13; 1446577413.3; 1446577417.44; cycle_1; ex_step
unit.000048; 1446577391.16; 1446577392.51; 1446577396.24; 1446577396.44; 1446577413.33; 1446577418.38; cycle_1; ex_step
unit.000074; 1446577391.26; 1446577422.0; 1446577426.82; 1446577427.54; 1446577448.83; 1446577450.16; cycle_1; ex_step
unit.000087; 1446577391.31; 1446577438.0; 1446577441.34; 1446577441.81; 1446577460.92; 1446577462.01; cycle_1; ex_step
unit.000086; 1446577391.3; 1446577437.25; 1446577440.85; 1446577441.7; 1446577460.92; 1446577462.01; cycle_1; ex_step
unit.000089; 1446577391.31; 1446577440.75; 1446577445.27; 1446577451.47; 1446577471.04; 1446577472.14; cycle_1; ex_step
unit.000092; 1446577391.32; 1446577447.75; 1446577451.91; 1446577454.53; 1446577473.23; 1446577474.35; cycle_1; ex_step
unit.000069; 1446577391.24; 1446577414.79; 1446577417.76; 1446577417.96; 1446577437.95; 1446577439.04; cycle_1; ex_step
unit.000068; 1446577391.24; 1446577414.78; 1446577417.32; 1446577417.52; 1446577437.73; 1446577439.28; cycle_1; ex_step
unit.000085; 1446577391.3; 1446577435.25; 1446577438.64; 1446577441.59; 1446577458.82; 1446577459.92; cycle_1; ex_step
unit.000084; 1446577391.29; 1446577434.5; 1446577438.07; 1446577441.51; 1446577458.82; 1446577459.92; cycle_1; ex_step
unit.000083; 1446577391.29; 1446577433.0; 1446577435.82; 1446577438.22; 1446577457.72; 1446577458.81; cycle_1; ex_step
unit.000082; 1446577391.28; 1446577432.5; 1446577435.35; 1446577435.55; 1446577457.72; 1446577458.82; cycle_1; ex_step
unit.000081; 1446577391.28; 1446577430.96; 1446577433.61; 1446577433.82; 1446577454.52; 1446577455.72; cycle_1; ex_step
unit.000080; 1446577391.28; 1446577430.79; 1446577433.13; 1446577433.33; 1446577454.52; 1446577455.72; cycle_1; ex_step
unit.000061; 1446577391.22; 1446577403.31; 1446577406.61; 1446577407.47; 1446577429.28; 1446577430.36; cycle_1; ex_step
unit.000060; 1446577391.22; 1446577402.49; 1446577406.14; 1446577406.38; 1446577429.12; 1446577430.29; cycle_1; ex_step
unit.000063; 1446577391.22; 1446577406.07; 1446577410.67; 1446577410.87; 1446577430.36; 1446577431.46; cycle_1; ex_step
unit.000062; 1446577391.22; 1446577405.5; 1446577410.12; 1446577410.32; 1446577430.29; 1446577431.4; cycle_1; ex_step
unit.000065; 1446577391.23; 1446577410.05; 1446577412.92; 1446577413.12; 1446577431.46; 1446577432.54; cycle_1; ex_step
unit.000064; 1446577391.23; 1446577409.02; 1446577412.6; 1446577412.8; 1446577431.4; 1446577432.51; cycle_1; ex_step
unit.000067; 1446577391.23; 1446577412.32; 1446577415.52; 1446577415.72; 1446577433.55; 1446577434.73; cycle_1; ex_step
unit.000066; 1446577391.23; 1446577412.0; 1446577415.32; 1446577415.52; 1446577432.51; 1446577433.92; cycle_1; ex_step
unit.000088; 1446577391.31; 1446577440.31; 1446577445.07; 1446577445.27; 1446577471.04; 1446577472.14; cycle_1; ex_step
unit.000093; 1446577391.32; 1446577448.57; 1446577453.64; 1446577456.5; 1446577476.26; 1446577477.36; cycle_1; ex_step
