uid, iter, step, Scheduling, StagingInput, Allocating, Executing, PendingAgentOutputStaging, Done

unit.000000, 1, sim, 2015-10-09 18:19:04.956000, 2015-10-09 18:19:11.309000, 2015-10-09 18:19:11.698000, 2015-10-09 18:19:11.796000, 2015-10-09 18:19:23.282000, 2015-10-09 18:19:24.583000
unit.000001, 1, sim, 2015-10-09 18:19:04.957000, 2015-10-09 18:19:11.234000, 2015-10-09 18:19:11.676000, 2015-10-09 18:19:11.699000, 2015-10-09 18:19:21.836000, 2015-10-09 18:19:23.473000
unit.000002, 1, sim, 2015-10-09 18:19:04.960000, 2015-10-09 18:19:11.433000, 2015-10-09 18:19:11.733000, 2015-10-09 18:19:12.043000, 2015-10-09 18:19:22.764000, 2015-10-09 18:19:23.501000
unit.000003, 1, sim, 2015-10-09 18:19:04.962000, 2015-10-09 18:19:11.274000, 2015-10-09 18:19:11.690000, 2015-10-09 18:19:11.752000, 2015-10-09 18:19:21.842000, 2015-10-09 18:19:23.479000
unit.000004, 1, sim, 2015-10-09 18:19:04.963000, 2015-10-09 18:19:11.322000, 2015-10-09 18:19:11.702000, 2015-10-09 18:19:11.822000, 2015-10-09 18:19:23.283000, 2015-10-09 18:19:24.594000
unit.000005, 1, sim, 2015-10-09 18:19:04.965000, 2015-10-09 18:19:11.162000, 2015-10-09 18:19:11.430000, 2015-10-09 18:19:11.522000, 2015-10-09 18:19:21.946000, 2015-10-09 18:19:23.484000
unit.000006, 1, sim, 2015-10-09 18:19:04.967000, 2015-10-09 18:19:11.405000, 2015-10-09 18:19:11.724000, 2015-10-09 18:19:11.978000, 2015-10-09 18:19:22.768000, 2015-10-09 18:19:23.504000
unit.000007, 1, sim, 2015-10-09 18:19:04.968000, 2015-10-09 18:19:11.430000, 2015-10-09 18:19:11.732000, 2015-10-09 18:19:12.022000, 2015-10-09 18:19:23.075000, 2015-10-09 18:19:24.515000
unit.000008, 1, sim, 2015-10-09 18:19:04.975000, 2015-10-09 18:19:11.374000, 2015-10-09 18:19:11.717000, 2015-10-09 18:19:11.908000, 2015-10-09 18:19:23.388000, 2015-10-09 18:19:24.621000
unit.000009, 1, sim, 2015-10-09 18:19:04.977000, 2015-10-09 18:19:11.398000, 2015-10-09 18:19:11.721000, 2015-10-09 18:19:11.935000, 2015-10-09 18:19:23.176000, 2015-10-09 18:19:24.535000
unit.000010, 1, sim, 2015-10-09 18:19:04.981000, 2015-10-09 18:19:11.174000, 2015-10-09 18:19:11.434000, 2015-10-09 18:19:11.540000, 2015-10-09 18:19:21.949000, 2015-10-09 18:19:23.487000
unit.000011, 1, sim, 2015-10-09 18:19:04.983000, 2015-10-09 18:19:11.107000, 2015-10-09 18:19:11.415000, 2015-10-09 18:19:11.450000, 2015-10-09 18:19:21.944000, 2015-10-09 18:19:23.481000
unit.000012, 1, sim, 2015-10-09 18:19:04.984000, 2015-10-09 18:19:11.341000, 2015-10-09 18:19:11.708000, 2015-10-09 18:19:11.855000, 2015-10-09 18:19:23.284000, 2015-10-09 18:19:24.598000
unit.000013, 1, sim, 2015-10-09 18:19:04.991000, 2015-10-09 18:19:11.357000, 2015-10-09 18:19:11.712000, 2015-10-09 18:19:11.881000, 2015-10-09 18:19:23.279000, 2015-10-09 18:19:24.560000
unit.000014, 1, sim, 2015-10-09 18:19:04.993000, 2015-10-09 18:19:11.206000, 2015-10-09 18:19:11.442000, 2015-10-09 18:19:11.585000, 2015-10-09 18:19:22.354000, 2015-10-09 18:19:23.491000
unit.000015, 1, sim, 2015-10-09 18:19:04.996000, 2015-10-09 18:19:11.224000, 2015-10-09 18:19:11.447000, 2015-10-09 18:19:11.612000, 2015-10-09 18:19:22.759000, 2015-10-09 18:19:23.495000
unit.000016, 1, sim, 2015-10-09 18:19:04.998000, 2015-10-09 18:19:11.222000, 2015-10-09 18:19:11.445000, 2015-10-09 18:19:11.603000, 2015-10-09 18:19:22.972000, 2015-10-09 18:19:24.512000
unit.000017, 1, sim, 2015-10-09 18:19:05.007000, 2015-10-09 18:19:11.266000, 2015-10-09 18:19:11.687000, 2015-10-09 18:19:11.734000, 2015-10-09 18:19:22.870000, 2015-10-09 18:19:24.510000
unit.000018, 1, sim, 2015-10-09 18:19:05.009000, 2015-10-09 18:19:11.264000, 2015-10-09 18:19:11.686000, 2015-10-09 18:19:11.725000, 2015-10-09 18:19:22.760000, 2015-10-09 18:19:23.495000
unit.000019, 1, sim, 2015-10-09 18:19:05.015000, 2015-10-09 18:19:11.332000, 2015-10-09 18:19:11.705000, 2015-10-09 18:19:11.838000, 2015-10-09 18:19:23.389000, 2015-10-09 18:19:24.624000
unit.000020, 1, sim, 2015-10-09 18:19:05.016000, 2015-10-09 18:19:11.250000, 2015-10-09 18:19:11.682000, 2015-10-09 18:19:11.716000, 2015-10-09 18:19:21.836000, 2015-10-09 18:19:23.473000
unit.000021, 1, sim, 2015-10-09 18:19:05.025000, 2015-10-09 18:19:11.348000, 2015-10-09 18:19:11.709000, 2015-10-09 18:19:11.863000, 2015-10-09 18:19:23.286000, 2015-10-09 18:19:24.604000
unit.000022, 1, sim, 2015-10-09 18:19:05.026000, 2015-10-09 18:19:11.305000, 2015-10-09 18:19:11.697000, 2015-10-09 18:19:11.788000, 2015-10-09 18:19:23.388000, 2015-10-09 18:19:24.618000
