Cycle; Step; Start; Stop; Duration
cycle_1; pp_step; 2015-11-06 11:48:48.600483; 2015-11-06 11:48:48.600492; 9e-06
cycle_1; pp_step_enmd_overhead; 2015-11-06 11:48:48.600483; 2015-11-06 11:48:48.600492; 9e-06
cycle_1; ex_step; 2015-11-06 11:48:24.062041; 2015-11-06 11:48:48.600285; 24.538244
cycle_1; ex_step_enmd_overhead; 2015-11-06 11:48:24.062041; 2015-11-06 11:48:24.205425; 0.143384
cycle_1; md_step; 2015-11-06 11:47:53.960691; 2015-11-06 11:48:24.061782; 30.101091
cycle_1; md_step_enmd_overhead; 2015-11-06 11:47:53.960691; 2015-11-06 11:47:54.128274; 0.167583
CU_ID; Scheduling; StagingInput; Allocating; Executing; AgentStagingOutputPending; Done; Cycle; Step;
unit.000025; 1446810504.43; 1446810509.83; 1446810512.69; 1446810512.9; 1446810514.8; 1446810519.03; cycle_1; ex_step
unit.000024; 1446810504.43; 1446810509.13; 1446810510.85; 1446810511.05; 1446810512.9; 1446810518.8; cycle_1; ex_step
unit.000027; 1446810504.43; 1446810512.07; 1446810517.8; 1446810518.0; 1446810519.82; 1446810522.06; cycle_1; ex_step
unit.000026; 1446810504.43; 1446810510.2; 1446810512.9; 1446810513.1; 1446810514.9; 1446810519.89; cycle_1; ex_step
unit.000047; 1446810504.47; 1446810508.82; 1446810510.36; 1446810510.57; 1446810512.46; 1446810517.95; cycle_1; ex_step
unit.000046; 1446810504.46; 1446810508.07; 1446810509.71; 1446810509.91; 1446810511.79; 1446810517.72; cycle_1; ex_step
unit.000045; 1446810504.46; 1446810507.83; 1446810509.4; 1446810509.6; 1446810511.49; 1446810516.87; cycle_1; ex_step
unit.000042; 1446810504.46; 1446810504.91; 1446810507.4; 1446810507.61; 1446810509.49; 1446810515.78; cycle_1; ex_step
unit.000029; 1446810504.44; 1446810514.66; 1446810516.32; 1446810516.52; 1446810518.31; 1446810520.98; cycle_1; ex_step
unit.000028; 1446810504.44; 1446810512.07; 1446810515.16; 1446810515.41; 1446810517.31; 1446810520.12; cycle_1; ex_step
unit.000040; 1446810504.45; 1446810521.57; 1446810523.2; 1446810523.4; 1446810525.34; 1446810527.7; cycle_1; ex_step
unit.000044; 1446810504.46; 1446810507.0; 1446810508.68; 1446810508.88; 1446810510.79; 1446810516.64; cycle_1; ex_step
unit.000043; 1446810504.46; 1446810506.83; 1446810508.37; 1446810508.57; 1446810510.39; 1446810515.55; cycle_1; ex_step
unit.000036; 1446810504.45; 1446810519.45; 1446810521.1; 1446810521.3; 1446810523.13; 1446810525.54; cycle_1; ex_step
unit.000037; 1446810504.45; 1446810520.09; 1446810521.75; 1446810521.96; 1446810523.83; 1446810526.32; cycle_1; ex_step
unit.000034; 1446810504.45; 1446810518.39; 1446810519.96; 1446810520.17; 1446810522.03; 1446810524.45; cycle_1; ex_step
unit.000035; 1446810504.45; 1446810518.9; 1446810520.62; 1446810520.82; 1446810522.73; 1446810525.22; cycle_1; ex_step
unit.000032; 1446810504.44; 1446810517.29; 1446810518.93; 1446810519.13; 1446810521.02; 1446810523.37; cycle_1; ex_step
unit.000033; 1446810504.44; 1446810517.85; 1446810519.48; 1446810519.68; 1446810521.52; 1446810524.14; cycle_1; ex_step
unit.000030; 1446810504.44; 1446810515.72; 1446810517.31; 1446810517.52; 1446810519.42; 1446810521.2; cycle_1; ex_step
unit.000031; 1446810504.44; 1446810516.78; 1446810518.45; 1446810518.65; 1446810520.52; 1446810522.28; cycle_1; ex_step
unit.000038; 1446810504.45; 1446810520.51; 1446810522.07; 1446810522.27; 1446810524.13; 1446810526.62; cycle_1; ex_step
unit.000039; 1446810504.45; 1446810521.16; 1446810522.72; 1446810522.92; 1446810524.84; 1446810527.4; cycle_1; ex_step
unit.000041; 1446810504.46; 1446810504.91; 1446810507.71; 1446810507.92; 1446810509.79; 1446810514.46; cycle_1; ex_step
unit.000021; 1446810474.38; 1446810474.83; 1446810479.46; 1446810479.66; 1446810480.31; 1446810486.84; cycle_1; md_step
unit.000020; 1446810474.37; 1446810474.83; 1446810481.49; 1446810481.69; 1446810482.32; 1446810494.91; cycle_1; md_step
unit.000009; 1446810474.35; 1446810474.84; 1446810483.11; 1446810483.31; 1446810483.93; 1446810501.22; cycle_1; md_step
unit.000008; 1446810474.35; 1446810474.84; 1446810482.71; 1446810482.91; 1446810483.63; 1446810499.64; cycle_1; md_step
unit.000007; 1446810474.35; 1446810474.84; 1446810482.3; 1446810482.5; 1446810483.13; 1446810498.07; cycle_1; md_step
