Pilot wait= 2015-08-21 10:10:17.977444
Pilot active= 2015-08-21 10:14:38.506088
Preloop wait= 2015-08-21 10:14:39.004039
Preloop done= 2015-08-21 10:14:49.815801
Sims-1 wait= 2015-08-21 10:15:54.413332
Sims-1 done= 2015-08-21 10:19:31.833593
Sims-2 wait= 2015-08-21 10:20:45.738308
Sims-2 done= 2015-08-21 10:45:44.826205
Ana-1 wait= 2015-08-21 10:45:46.731998
Ana-1 done= 2015-08-21 11:26:16.419749
Ana-2 wait= 2015-08-21 11:26:18.143491
Ana-2 done= 2015-08-21 11:29:37.842228
Iter done= 2015-08-21 11:29:37.844407
Start= 2015-08-21 10:10:12.486663
Allocating= 2015-08-21 10:10:12.512070
Allocated= 2015-08-21 10:10:17.975907
Executing= 2015-08-21 10:10:17.976069
Deallocating= 2015-08-21 11:29:37.851904
Done= 2015-08-21 11:29:57.081216
