Cycle; Step; Start; Stop; Duration
cycle_1; pp_step; 2015-11-06 12:17:59.885282; 2015-11-06 12:17:59.885294; 1.2e-05
cycle_1; pp_step_enmd_overhead; 2015-11-06 12:17:59.885282; 2015-11-06 12:17:59.885294; 1.2e-05
cycle_1; ex_step; 2015-11-06 12:15:57.247600; 2015-11-06 12:17:59.883100; 122.6355
cycle_1; ex_step_enmd_overhead; 2015-11-06 12:15:57.247600; 2015-11-06 12:15:58.489488; 1.241888
cycle_1; md_step; 2015-11-06 12:13:12.806483; 2015-11-06 12:15:57.246598; 164.440115
cycle_1; md_step_enmd_overhead; 2015-11-06 12:13:12.806483; 2015-11-06 12:13:14.138624; 1.332141
CU_ID; Scheduling; StagingInput; Allocating; Executing; AgentStagingOutputPending; Done; Cycle; Step;
unit.000357; 1446812160.6; 1446812256.34; 1446812257.97; 1446812258.17; 1446812260.02; 1446812264.55; cycle_1; ex_step
unit.000356; 1446812160.6; 1446812255.65; 1446812257.31; 1446812257.51; 1446812259.41; 1446812263.44; cycle_1; ex_step
unit.000355; 1446812160.6; 1446812255.27; 1446812257.0; 1446812257.2; 1446812259.11; 1446812263.42; cycle_1; ex_step
unit.000354; 1446812160.6; 1446812254.58; 1446812256.16; 1446812256.37; 1446812258.21; 1446812262.35; cycle_1; ex_step
unit.000353; 1446812160.59; 1446812254.12; 1446812255.85; 1446812256.05; 1446812257.91; 1446812262.3; cycle_1; ex_step
unit.000352; 1446812160.59; 1446812253.52; 1446812255.19; 1446812255.39; 1446812257.31; 1446812261.26; cycle_1; ex_step
unit.000351; 1446812160.59; 1446812253.01; 1446812254.71; 1446812254.91; 1446812256.7; 1446812261.2; cycle_1; ex_step
unit.000350; 1446812160.59; 1446812252.43; 1446812254.05; 1446812254.25; 1446812256.1; 1446812260.17; cycle_1; ex_step
unit.000359; 1446812160.6; 1446812257.41; 1446812259.11; 1446812259.31; 1446812261.12; 1446812265.66; cycle_1; ex_step
unit.000358; 1446812160.6; 1446812256.71; 1446812258.28; 1446812258.48; 1446812260.32; 1446812264.55; cycle_1; ex_step
unit.000296; 1446812160.5; 1446812223.12; 1446812224.82; 1446812225.02; 1446812226.89; 1446812230.48; cycle_1; ex_step
