uid, iter, step, Scheduling, StagingInput, Allocating, Executing, PendingAgentOutputStaging, Done

unit.000002, 1, sim, 2015-09-29 11:51:47.320000, 2015-09-29 11:51:50.682000, 2015-09-29 11:51:53.070000, 2015-09-29 11:51:53.364000, 2015-09-29 11:52:02.647000, 2015-09-29 11:52:03.654000
unit.000003, 1, sim, 2015-09-29 11:51:47.321000, 2015-09-29 11:51:50.635000, 2015-09-29 11:51:53.039000, 2015-09-29 11:51:53.073000, 2015-09-29 11:52:01.938000, 2015-09-29 11:52:03.625000
unit.000004, 1, sim, 2015-09-29 11:51:47.323000, 2015-09-29 11:51:50.675000, 2015-09-29 11:51:53.066000, 2015-09-29 11:51:53.327000, 2015-09-29 11:52:02.646000, 2015-09-29 11:52:03.642000
unit.000005, 1, sim, 2015-09-29 11:51:47.325000, 2015-09-29 11:51:50.672000, 2015-09-29 11:51:53.064000, 2015-09-29 11:51:53.307000, 2015-09-29 11:52:02.645000, 2015-09-29 11:52:03.640000
unit.000006, 1, sim, 2015-09-29 11:51:47.331000, 2015-09-29 11:51:50.652000, 2015-09-29 11:51:53.049000, 2015-09-29 11:51:53.154000, 2015-09-29 11:52:02.342000, 2015-09-29 11:52:03.630000
unit.000007, 1, sim, 2015-09-29 11:51:47.333000, 2015-09-29 11:51:50.668000, 2015-09-29 11:51:53.061000, 2015-09-29 11:51:53.266000, 2015-09-29 11:52:02.645000, 2015-09-29 11:52:03.634000
unit.000008, 1, sim, 2015-09-29 11:51:47.339000, 2015-09-29 11:51:50.656000, 2015-09-29 11:51:53.053000, 2015-09-29 11:51:53.171000, 2015-09-29 11:52:01.936000, 2015-09-29 11:52:03.623000
unit.000009, 1, sim, 2015-09-29 11:51:47.346000, 2015-09-29 11:51:50.660000, 2015-09-29 11:51:53.055000, 2015-09-29 11:51:53.188000, 2015-09-29 11:52:02.951000, 2015-09-29 11:52:04.669000
unit.000010, 1, sim, 2015-09-29 11:51:47.347000, 2015-09-29 11:51:50.654000, 2015-09-29 11:51:53.051000, 2015-09-29 11:51:53.163000, 2015-09-29 11:52:02.240000, 2015-09-29 11:52:03.628000
unit.000011, 1, sim, 2015-09-29 11:51:47.350000, 2015-09-29 11:51:50.645000, 2015-09-29 11:51:53.045000, 2015-09-29 11:51:53.122000, 2015-09-29 11:52:02.342000, 2015-09-29 11:52:03.631000
