uid, iter, step, uid, step, Scheduling, StagingInput, AgentStagingInputPending, AgentStagingInput, AllocatingPending, Allocating, ExecutingPending, Executing, AgentStagingOutputPending, AgentStagingOutput, PendingOutputStaging, StagingOutput, Done

unit.000000, 0, pre_loop, 1453289812.59, 1453289813.6, 1453289823.54, 1453289823.76, 1453289823.86, 1453289824.0, 1453289824.1,1453289824.27, 1453289832.72, 1453289832.93, 1453289833.06, 1453289834.56, 1453289834.65
unit.000001, 1, sim, 1453289851.78, 1453289929.7, 1453289949.73, 1453290106.47, 1453290106.6, 1453290106.7, 1453290106.8,1453290106.9, 1453290116.6, 1453290118.01, 1453290118.24, 1453290119.18, 1453290119.27
unit.000002, 1, sim, 1453289851.78, 1453289870.51, 1453289876.46, 1453289895.46, 1453289895.54, 1453289895.63, 1453289895.73,1453289895.83, 1453289901.0, 1453289901.76, 1453289901.84, 1453289903.15, 1453289903.25
unit.000003, 1, sim, 1453289851.78, 1453289934.51, 1453289957.23, 1453290127.55, 1453290127.9, 1453290127.95, 1453290128.05,1453290128.15, 1453290138.27, 1453290138.37, 1453290138.5, 1453290139.44, 1453290139.54
unit.000004, 1, sim, 1453289851.79, 1453289926.81, 1453289946.51, 1453290097.08, 1453290097.09, 1453290097.17, 1453290097.27,1453290097.37, 1453290103.1, 1453290104.91, 1453290105.03, 1453290105.47, 1453290105.58
unit.000005, 1, sim, 1453289851.79, 1453289936.98, 1453289959.94, 1453290137.05, 1453290137.33, 1453290137.43, 1453290137.53,1453290137.63, 1453290144.58, 1453290146.75, 1453290146.87, 1453290147.66, 1453290147.75
unit.000006, 1, sim, 1453289851.79, 1453289871.65, 1453289877.77, 1453289899.61, 1453289899.86, 1453289899.96, 1453289900.06,1453289900.17, 1453289905.43, 1453289905.69, 1453289905.88, 1453289906.78, 1453289906.88
unit.000007, 1, sim, 1453289851.79, 1453289872.0, 1453289878.22, 1453289900.88, 1453289901.13, 1453289901.23, 1453289901.33,1453289901.43, 1453289906.94, 1453289907.04, 1453289907.18, 1453289908.51, 1453289908.61
unit.000008, 1, sim, 1453289851.79, 1453289872.18, 1453289878.37, 1453289901.73, 1453289901.75, 1453289901.78, 1453289901.88,1453289901.98, 1453289907.67, 1453289907.87, 1453289908.01, 1453289908.8, 1453289908.89
unit.000009, 1, sim, 1453289851.79, 1453289872.62, 1453289880.03, 1453289903.03, 1453289903.26, 1453289903.37, 1453289903.46,1453289903.61, 1453289908.85, 1453289909.03, 1453289909.16, 1453289910.33, 1453289910.42
