uid, step, Scheduling, StagingInput, Allocating, Executing, AgentStagingOutputPending, Done
unit.000071, step_2, 1446641763.29, 1446641779.94, 1446641763.29, 1446641781.9, 1446641783.73, 1446641788.04
unit.000072, step_2, 1446641763.29, 1446641780.99, 1446641763.29, 1446641782.79, 1446641784.63, 1446641788.15
unit.000073, step_2, 1446641763.29, 1446641781.0, 1446641763.29, 1446641783.0, 1446641784.83, 1446641789.13
unit.000074, step_2, 1446641763.29, 1446641782.05, 1446641763.29, 1446641783.89, 1446641785.73, 1446641789.23
unit.000075, step_2, 1446641763.3, 1446641782.07, 1446641763.3, 1446641784.09, 1446641785.93, 1446641790.23
unit.000076, step_2, 1446641763.3, 1446641783.12, 1446641763.3, 1446641784.99, 1446641786.84, 1446641790.32
unit.000077, step_2, 1446641763.3, 1446641783.13, 1446641763.3, 1446641785.19, 1446641786.94, 1446641791.31
unit.000078, step_2, 1446641763.3, 1446641784.18, 1446641763.3, 1446641786.08, 1446641787.94, 1446641791.4
unit.000079, step_2, 1446641763.3, 1446641784.19, 1446641763.3, 1446641786.29, 1446641788.14, 1446641792.4
unit.000080, step_2, 1446641763.3, 1446641785.24, 1446641763.3, 1446641787.01, 1446641788.84, 1446641792.48
unit.000081, step_2, 1446641763.31, 1446641785.26, 1446641763.31, 1446641787.21, 1446641789.04, 1446641793.48
unit.000082, step_2, 1446641763.31, 1446641786.31, 1446641763.31, 1446641788.17, 1446641790.05, 1446641793.57
unit.000083, step_2, 1446641763.31, 1446641786.32, 1446641763.31, 1446641788.38, 1446641790.25, 1446641794.57
unit.000084, step_2, 1446641763.31, 1446641787.38, 1446641763.31, 1446641789.27, 1446641791.15, 1446641794.65
unit.000085, step_2, 1446641763.31, 1446641787.38, 1446641763.31, 1446641789.47, 1446641791.25, 1446641795.65
unit.000086, step_2, 1446641763.31, 1446641788.44, 1446641763.31, 1446641790.19, 1446641792.06, 1446641795.74
unit.000087, step_2, 1446641763.31, 1446641788.46, 1446641763.31, 1446641790.4, 1446641792.26, 1446641796.74
unit.000088, step_2, 1446641763.32, 1446641789.51, 1446641763.32, 1446641791.29, 1446641793.16, 1446641796.83
unit.000089, step_2, 1446641763.32, 1446641789.52, 1446641763.32, 1446641791.5, 1446641793.36, 1446641797.83
unit.000090, step_2, 1446641763.32, 1446641790.57, 1446641763.32, 1446641792.39, 1446641794.46, 1446641797.92
unit.000091, step_2, 1446641763.32, 1446641790.57, 1446641763.32, 1446641792.59, 1446641795.17, 1446641798.92
unit.000092, step_2, 1446641763.32, 1446641791.63, 1446641763.32, 1446641793.65, 1446641795.57, 1446641799.0
unit.000093, step_2, 1446641763.32, 1446641791.64, 1446641763.32, 1446641793.96, 1446641795.87, 1446641800.0
unit.000094, step_2, 1446641763.32, 1446641792.88, 1446641763.32, 1446641794.79, 1446641796.67, 1446641800.08
unit.000095, step_2, 1446641763.33, 1446641793.13, 1446641763.33, 1446641795.1, 1446641796.87, 1446641801.09
