uid, iter, step, Scheduling, StagingInput, AgentStagingInputPending, AgentStagingInput, AllocatingPending, Allocating, ExecutingPending, Executing, AgentStagingOutputPending, AgentStagingOutput, PendingOutputStaging, StagingOutput, Done

unit.000000, 1, sim, 1463792949.14, 1463793612.99, 1463793612.99, 1463793613.37, 1463793613.38, 1463793694.85, 1463793694.86,1463795104.82, 1463796963.06, 1463796963.07, 1463796963.3, 1463796964.69, 1463796964.81
unit.000001, 1, sim, 1463792949.14, 1463793227.7, 1463793227.7, 1463793228.05, 1463793228.06, 1463793253.02, 1463793253.03,1463793770.07, 1463795663.79, 1463795664.33, 1463795664.34, 1463795668.32, 1463795668.44
unit.000002, 1, sim, 1463792949.14, 1463793843.21, 1463793843.21, 1463793843.65, 1463793843.66, 1463794029.38, 1463794029.4,1463795972.62, 1463797827.31, 1463797827.4, 1463797827.45, 1463797829.53, 1463797829.62
unit.000003, 1, sim, 1463792949.14, 1463793232.82, 1463793232.82, 1463793233.18, 1463793233.19, 1463793258.95, 1463793258.96,1463793788.22, 1463795694.73, 1463795694.86, 1463795694.87, 1463795698.49, 1463795698.58
unit.000004, 1, sim, 1463792949.14, 1463793650.79, 1463793650.79, 1463793651.19, 1463793651.2, 1463793761.58, 1463793761.61,1463795246.1, 1463797100.14, 1463797100.16, 1463797100.21, 1463797101.25, 1463797101.35
unit.000005, 1, sim, 1463792949.14, 1463793651.39, 1463793651.39, 1463793651.7, 1463793651.72, 1463793762.77, 1463793762.79,1463795248.36, 1463797105.34, 1463797105.37, 1463797105.45, 1463797107.1, 1463797107.19
unit.000006, 1, sim, 1463792949.15, 1463793652.47, 1463793652.47, 1463793652.94, 1463793652.95, 1463793764.64, 1463793764.65,1463795252.75, 1463797110.61, 1463797110.71, 1463797110.75, 1463797113.08, 1463797113.17
unit.000007, 1, sim, 1463792949.15, 1463793653.53, 1463793653.53, 1463793653.94, 1463793653.95, 1463793766.68, 1463793766.69,1463795257.62, 1463797115.6, 1463797115.61, 1463797116.33, 1463797117.27, 1463797117.37
unit.000008, 1, sim, 1463792949.15, 1463793844.52, 1463793844.52, 1463793844.97, 1463793844.98, 1463794032.06, 1463794032.09,1463795977.38, 1463797842.73, 1463797842.82, 1463797842.9, 1463797843.74, 1463797843.84
unit.000009, 1, sim, 1463792949.15, 1463793844.93, 1463793844.93, 1463793845.32, 1463793845.33, 1463794032.76, 1463794032.77,1463795978.84, 1463797833.6, 1463797834.33, 1463797834.39, 1463797835.56, 1463797835.66
unit.000010, 1, sim, 1463792949.15, 1463793845.33, 1463793845.33, 1463793845.77, 1463793845.79, 1463794033.63, 1463794033.64,1463795980.34, 1463797841.52, 1463797841.53, 1463797841.67, 1463797841.79, 1463797841.89
unit.000011, 1, sim, 1463792949.15, 1463793845.74, 1463793845.74, 1463793846.09, 1463793846.11, 1463794034.51, 1463794034.7,1463795982.23, 1463797836.79, 1463797836.8, 1463797836.91, 1463797837.25, 1463797837.34
