# spupermic, 640, 20

Cycle; Step; Start; Stop; Duration
cycle_1; pp_step; 2015-10-04 22:58:03.891381; 2015-10-04 22:58:03.940071; 0.04869
cycle_1; pp_step_enmd_overhead; 2015-10-04 22:58:03.891381; 2015-10-04 22:58:03.940071; 0.04869
cycle_1; ex_step; 2015-10-04 22:57:54.226282; 2015-10-04 22:58:03.891318; 9.665036
cycle_1; ex_step_enmd_overhead; 2015-10-04 22:57:54.226282; 2015-10-04 22:57:54.229490; 0.003208
cycle_1; md_step; 2015-10-04 21:44:21.086269; 2015-10-04 22:57:54.223893; 4413.137624
cycle_1; md_step_enmd_overhead; 2015-10-04 21:44:21.086269; 2015-10-04 21:44:23.506470; 2.420201
CU_ID; Scheduling; StagingInput; Allocating; Executing; StagingOutput; Done; Cycle; Step;
unit.000640; 2015-10-04 22:57:54.234000; 2015-10-04 22:57:55.254000; 2015-10-04 22:57:55.553000; 2015-10-04 22:57:55.561000; 2015-10-04 22:57:58.487000; 2015-10-04 22:58:03.015000; cycle_1; ex_step
unit.000357; 2015-10-04 21:44:27.416000; 2015-10-04 21:44:38.564000; 2015-10-04 21:44:38.911000; 2015-10-04 21:55:54.472000; 2015-10-04 21:58:12.786000; 2015-10-04 21:58:12.928000; cycle_1; md_step
unit.000356; 2015-10-04 21:44:27.415000; 2015-10-04 21:44:37.551000; 2015-10-04 21:44:37.878000; 2015-10-04 21:53:41.168000; 2015-10-04 21:55:59.951000; 2015-10-04 21:56:00.006000; cycle_1; md_step
unit.000355; 2015-10-04 21:44:27.414000; 2015-10-04 21:44:36.541000; 2015-10-04 21:44:36.837000; 2015-10-04 21:51:25.075000; 2015-10-04 21:53:41.944000; 2015-10-04 21:53:41.988000; cycle_1; md_step
unit.000354; 2015-10-04 21:44:27.413000; 2015-10-04 21:44:33.562000; 2015-10-04 21:44:33.857000; 2015-10-04 21:46:51.077000; 2015-10-04 21:49:08.904000; 2015-10-04 21:49:08.942000; cycle_1; md_step
unit.000353; 2015-10-04 21:44:27.413000; 2015-10-04 21:44:44.418000; 2015-10-04 21:44:44.837000; 2015-10-04 22:02:50.285000; 2015-10-04 22:05:10.092000; 2015-10-04 22:05:10.127000; cycle_1; md_step
unit.000352; 2015-10-04 21:44:27.412000; 2015-10-04 21:44:39.239000; 2015-10-04 21:44:39.563000; 2015-10-04 21:55:58.167000; 2015-10-04 21:58:15.265000; 2015-10-04 21:58:15.300000; cycle_1; md_step
unit.000351; 2015-10-04 21:44:27.411000; 2015-10-04 21:44:33.183000; 2015-10-04 21:44:33.643000; 2015-10-04 21:46:50.181000; 2015-10-04 21:49:07.635000; 2015-10-04 21:49:07.670000; cycle_1; md_step
unit.000350; 2015-10-04 21:44:27.410000; 2015-10-04 21:45:17.602000; 2015-10-04 21:45:24.897000; 2015-10-04 22:50:33.119000; 2015-10-04 22:52:50.342000; 2015-10-04 22:52:50.388000; cycle_1; md_step
unit.000359; 2015-10-04 21:44:27.418000; 2015-10-04 21:44:41.034000; 2015-10-04 21:44:41.492000; 2015-10-04 21:58:16.677000; 2015-10-04 22:00:34.568000; 2015-10-04 22:00:34.656000; cycle_1; md_step
unit.000358; 2015-10-04 21:44:27.417000; 2015-10-04 21:44:39.616000; 2015-10-04 21:44:40.171000; 2015-10-04 21:56:00.719000; 2015-10-04 21:58:18.892000; 2015-10-04 21:58:19.097000; cycle_1; md_step
unit.000409; 2015-10-04 21:44:27.459000; 2015-10-04 21:44:45.200000; 2015-10-04 21:44:45.672000; 2015-10-04 22:05:05.251000; 2015-10-04 22:07:23.616000; 2015-10-04 22:07:23.656000; cycle_1; md_step
