# 640 cores, 2560 replicas, smic temp 6000 steps

allocate,start_time,2015-11-16 23:42:13.083922
allocate,stop_time,2015-11-16 23:42:20.839845
deallocate,start_time,2015-11-17 03:35:37.669451
deallocate,stop_time,2015-11-17 03:36:38.344091





Cycle; Step; Start; Stop; Duration
cycle_4; pp_step; 2015-11-17 08:35:36.281431; 2015-11-17 08:35:37.177242; 0.895811
cycle_4; pp_step_enmd_overhead; 2015-11-17 08:35:36.281431; 2015-11-17 08:35:37.177242; 0.895811
cycle_4; ex_step; 2015-11-17 08:34:36.464971; 2015-11-17 08:35:36.281375; 59.816404
cycle_4; ex_step_enmd_overhead; 2015-11-17 08:34:36.464971; 2015-11-17 08:34:36.468832; 0.003861
cycle_4; md_step; 2015-11-17 08:20:12.980273; 2015-11-17 08:34:32.843331; 859.863058
cycle_4; md_step_enmd_overhead; 2015-11-17 08:20:12.980273; 2015-11-17 08:20:22.533625; 9.553352
cycle_1; pp_step; 2015-11-17 07:48:33.109484; 2015-11-17 07:48:34.013840; 0.904356
cycle_1; pp_step_enmd_overhead; 2015-11-17 07:48:33.109484; 2015-11-17 07:48:34.013840; 0.904356
cycle_1; ex_step; 2015-11-17 07:47:52.957669; 2015-11-17 07:48:33.109418; 40.151749
cycle_1; ex_step_enmd_overhead; 2015-11-17 07:47:52.957669; 2015-11-17 07:47:52.962991; 0.005322
cycle_1; md_step; 2015-11-17 07:32:33.898886; 2015-11-17 07:47:52.942852; 919.043966
cycle_1; md_step_enmd_overhead; 2015-11-17 07:32:33.898886; 2015-11-17 07:32:41.085093; 7.186207
cycle_2; pp_step; 2015-11-17 08:04:03.426741; 2015-11-17 08:04:04.360802; 0.934061
cycle_2; pp_step_enmd_overhead; 2015-11-17 08:04:03.426741; 2015-11-17 08:04:04.360802; 0.934061
cycle_2; ex_step; 2015-11-17 08:03:10.793916; 2015-11-17 08:04:03.426677; 52.632761
cycle_2; ex_step_enmd_overhead; 2015-11-17 08:03:10.793916; 2015-11-17 08:03:10.803747; 0.009831
cycle_2; md_step; 2015-11-17 07:48:34.013862; 2015-11-17 08:02:58.405668; 864.391806
cycle_2; md_step_enmd_overhead; 2015-11-17 07:48:34.013862; 2015-11-17 07:48:43.906633; 9.892771
cycle_3; pp_step; 2015-11-17 08:20:12.052258; 2015-11-17 08:20:12.980245; 0.927987
cycle_3; pp_step_enmd_overhead; 2015-11-17 08:20:12.052258; 2015-11-17 08:20:12.980245; 0.927987
cycle_3; ex_step; 2015-11-17 08:19:15.052563; 2015-11-17 08:20:12.052172; 56.999609
cycle_3; ex_step_enmd_overhead; 2015-11-17 08:19:15.052563; 2015-11-17 08:19:15.055990; 0.003427
cycle_3; md_step; 2015-11-17 08:04:04.360823; 2015-11-17 08:19:03.437835; 899.077012
cycle_3; md_step_enmd_overhead; 2015-11-17 08:04:04.360823; 2015-11-17 08:04:14.502304; 10.141481
CU_ID; Scheduling; StagingInput; Allocating; Executing; StagingOutput; Done; Cycle; Step;
unit.010243; 2015-11-17 08:34:36.473000; 2015-11-17 08:34:36.702000; 2015-11-17 08:34:36.914000; 2015-11-17 08:34:36.927000; 2015-11-17 08:35:19.252000; 2015-11-17 08:35:23.312000; cycle_4; ex_step
unit.010208; 2015-11-17 08:20:39.699000; 2015-11-17 08:22:24.352000; 2015-11-17 08:22:25.138000; 2015-11-17 08:28:34.008000; 2015-11-17 08:30:48.948000; 2015-11-17 08:30:49.007000; cycle_4; md_step
unit.010209; 2015-11-17 08:20:39.700000; 2015-11-17 08:23:02.689000; 2015-11-17 08:23:03.706000; 2015-11-17 08:30:42.787000; 2015-11-17 08:32:59.633000; 2015-11-17 08:32:59.697000; cycle_4; md_step
unit.010204; 2015-11-17 08:20:39.696000; 2015-11-17 08:22:11.919000; 2015-11-17 08:22:13.113000; 2015-11-17 08:24:32.302000; 2015-11-17 08:27:03.723000; 2015-11-17 08:27:03.776000; cycle_4; md_step
unit.010205; 2015-11-17 08:20:39.696000; 2015-11-17 08:22:11.736000; 2015-11-17 08:22:12.376000; 2015-11-17 08:24:32.287000; 2015-11-17 08:27:03.555000; 2015-11-17 08:27:03.614000; cycle_4; md_step
unit.008436; 2015-11-17 08:20:38.163000; 2015-11-17 08:22:18.791000; 2015-11-17 08:22:19.533000; 2015-11-17 08:28:11.388000; 2015-11-17 08:30:30.983000; 2015-11-17 08:30:31.043000; cycle_4; md_step
unit.010207; 2015-11-17 08:20:39.698000; 2015-11-17 08:22:11.401000; 2015-11-17 08:22:12.071000; 2015-11-17 08:24:32.259000; 2015-11-17 08:27:03.309000; 2015-11-17 08:27:03.356000; cycle_4; md_step
unit.010200; 2015-11-17 08:20:39.692000; 2015-11-17 08:21:43.642000; 2015-11-17 08:21:44.134000; 2015-11-17 08:21:44.195000; 2015-11-17 08:24:09.501000; 2015-11-17 08:24:09.548000; cycle_4; md_step
unit.010201; 2015-11-17 08:20:39.693000; 2015-11-17 08:21:39.675000; 2015-11-17 08:21:40.617000; 2015-11-17 08:21:40.667000; 2015-11-17 08:24:04.716000; 2015-11-17 08:24:04.776000; cycle_4; md_step
unit.010202; 2015-11-17 08:20:39.694000; 2015-11-17 08:22:13.084000; 2015-11-17 08:22:13.654000; 2015-11-17 08:24:32.337000; 2015-11-17 08:27:04.073000; 2015-11-17 08:27:04.123000; cycle_4; md_step
unit.010203; 2015-11-17 08:20:39.695000; 2015-11-17 08:22:12.798000; 2015-11-17 08:22:13.132000; 2015-11-17 08:24:32.320000; 2015-11-17 08:27:03.819000; 2015-11-17 08:27:03.873000; cycle_4; md_step
unit.008946; 2015-11-17 08:20:38.598000; 2015-11-17 08:23:25.258000; 2015-11-17 08:23:25.957000; 2015-11-17 08:31:44.193000; 2015-11-17 08:33:59.149000; 2015-11-17 08:33:59.219000; cycle_4; md_step
unit.008037; 2015-11-17 08:20:37.792000; 2015-11-17 08:22:00.139000; 2015-11-17 08:22:00.759000; 2015-11-17 08:24:29.931000; 2015-11-17 08:26:51.156000; 2015-11-17 08:26:51.241000; cycle_4; md_step
unit.008034; 2015-11-17 08:20:37.789000; 2015-11-17 08:21:59.740000; 2015-11-17 08:22:00.251000; 2015-11-17 08:24:29.913000; 2015-11-17 08:26:48.988000; 2015-11-17 08:26:49.036000; cycle_4; md_step
