smic 20/640


##############

allocate,start_time,2015-10-09 16:38:59.325816
allocate,stop_time,2015-10-09 16:39:05.568385
deallocate,start_time,2015-10-09 21:34:31.585011
deallocate,stop_time,2015-10-09 21:34:48.754024

##############

ENMD-core-t-inside cluster.run() call: 2015-10-09 20:39:05.571472
ENMD-core-timing-1: 6.371597
ENMD-appl-timing-0: 0.000390
ENMD-appl-timing-1: 0.002765
ENMD-core-t-before cluster.run() call: 2015-10-09 20:39:05.571298

##############

Cycle; Step; Start; Stop; Duration
cycle_1; pp_step; 2015-10-09 21:53:43.422600; 2015-10-09 21:53:43.481765; 0.059165
cycle_1; pp_step_enmd_overhead; 2015-10-09 21:53:43.422600; 2015-10-09 21:53:43.481765; 0.059165
cycle_1; ex_step; 2015-10-09 21:53:34.528530; 2015-10-09 21:53:43.422529; 8.893999
cycle_1; ex_step_enmd_overhead; 2015-10-09 21:53:34.528530; 2015-10-09 21:53:34.532214; 0.003684
cycle_1; md_step; 2015-10-09 20:39:59.579905; 2015-10-09 21:53:34.525322; 4414.945417
cycle_1; md_step_enmd_overhead; 2015-10-09 20:39:59.579905; 2015-10-09 20:40:01.403678; 1.823773
CU_ID; Scheduling; StagingInput; Allocating; Executing; StagingOutput; Done; Cycle; Step;
unit.000640; 2015-10-09 21:53:34.537000; 2015-10-09 21:53:34.749000; 2015-10-09 21:53:35.195000; 2015-10-09 21:53:35.204000; 2015-10-09 21:53:38.296000; 2015-10-09 21:53:42.525000; cycle_1; ex_step
unit.000357; 2015-10-09 20:40:05.304000; 2015-10-09 20:40:22.294000; 2015-10-09 20:40:22.718000; 2015-10-09 21:16:37.602000; 2015-10-09 21:18:55.991000; 2015-10-09 21:18:56.095000; cycle_1; md_step
unit.000356; 2015-10-09 20:40:05.303000; 2015-10-09 20:40:22.015000; 2015-10-09 20:40:22.317000; 2015-10-09 21:14:32.172000; 2015-10-09 21:16:49.079000; 2015-10-09 21:16:49.113000; cycle_1; md_step
unit.000355; 2015-10-09 20:40:05.303000; 2015-10-09 20:40:08.874000; 2015-10-09 20:40:09.182000; 2015-10-09 20:40:09.220000; 2015-10-09 20:42:27.412000; 2015-10-09 20:42:27.457000; cycle_1; md_step
unit.000354; 2015-10-09 20:40:05.302000; 2015-10-09 20:40:21.925000; 2015-10-09 20:40:22.305000; 2015-10-09 21:14:30.652000; 2015-10-09 21:16:49.011000; 2015-10-09 21:16:49.046000; cycle_1; md_step
unit.000353; 2015-10-09 20:40:05.301000; 2015-10-09 20:40:21.841000; 2015-10-09 20:40:22.125000; 2015-10-09 21:14:27.641000; 2015-10-09 21:16:46.704000; 2015-10-09 21:16:46.831000; cycle_1; md_step
unit.000352; 2015-10-09 20:40:05.300000; 2015-10-09 20:40:21.841000; 2015-10-09 20:40:22.122000; 2015-10-09 21:14:27.430000; 2015-10-09 21:16:45.594000; 2015-10-09 21:16:45.629000; cycle_1; md_step
unit.000351; 2015-10-09 20:40:05.299000; 2015-10-09 20:40:21.746000; 2015-10-09 20:40:22.122000; 2015-10-09 21:14:27.238000; 2015-10-09 21:16:46.670000; 2015-10-09 21:16:46.706000; cycle_1; md_step
unit.000350; 2015-10-09 20:40:05.298000; 2015-10-09 20:40:21.668000; 2015-10-09 20:40:22.110000; 2015-10-09 21:14:26.678000; 2015-10-09 21:16:45.522000; 2015-10-09 21:16:45.561000; cycle_1; md_step
unit.000359; 2015-10-09 20:40:05.306000; 2015-10-09 20:40:26.569000; 2015-10-09 20:40:26.824000; 2015-10-09 21:25:49.414000; 2015-10-09 21:28:08.773000; 2015-10-09 21:28:08.838000; cycle_1; md_step
unit.000358; 2015-10-09 20:40:05.305000; 2015-10-09 20:40:22.120000; 2015-10-09 20:40:22.521000; 2015-10-09 21:16:37.498000; 2015-10-09 21:18:55.990000; 2015-10-09 21:18:56.092000; cycle_1; md_step
unit.000409; 2015-10-09 20:40:05.347000; 2015-10-09 20:40:21.098000; 2015-10-09 20:40:21.463000; 2015-10-09 21:12:24.067000; 2015-10-09 21:14:43.604000; 2015-10-09 21:14:43.692000; cycle_1; md_step
unit.000408; 2015-10-09 20:40:05.346000; 2015-10-09 20:40:15.652000; 2015-10-09 20:40:16.045000; 2015-10-09 20:58:27.896000; 2015-10-09 21:00:46.773000; 2015-10-09 21:00:46.810000; cycle_1; md_step
unit.000403; 2015-10-09 20:40:05.342000; 2015-10-09 20:40:24.068000; 2015-10-09 20:40:24.437000; 2015-10-09 21:19:04.925000; 2015-10-09 21:21:25.605000; 2015-10-09 21:21:25.648000; cycle_1; md_step
unit.000402; 2015-10-09 20:40:05.341000; 2015-10-09 20:40:23.813000; 2015-10-09 20:40:24.204000; 2015-10-09 21:19:02.663000; 2015-10-09 21:21:21.219000; 2015-10-09 21:21:21.258000; cycle_1; md_step
unit.000401; 2015-10-09 20:40:05.341000; 2015-10-09 20:40:23.693000; 2015-10-09 20:40:24.002000; 2015-10-09 21:19:00.614000; 2015-10-09 21:21:18.911000; 2015-10-09 21:21:19.013000; cycle_1; md_step
unit.000400; 2015-10-09 20:40:05.340000; 2015-10-09 20:40:23.327000; 2015-10-09 20:40:23.599000; 2015-10-09 21:18:58.819000; 2015-10-09 21:21:15.610000; 2015-10-09 21:21:15.650000; cycle_1; md_step
unit.000407; 2015-10-09 20:40:05.346000; 2015-10-09 20:40:24.706000; 2015-10-09 20:40:25.093000; 2015-10-09 21:21:20.544000; 2015-10-09 21:23:43.440000; 2015-10-09 21:23:43.475000; cycle_1; md_step
unit.000406; 2015-10-09 20:40:05.345000; 2015-10-09 20:40:24.568000; 2015-10-09 20:40:24.891000; 2015-10-09 21:21:17.035000; 2015-10-09 21:23:36.390000; 2015-10-09 21:23:36.424000; cycle_1; md_step
unit.000405; 2015-10-09 20:40:05.344000; 2015-10-09 20:40:24.373000; 2015-10-09 20:40:24.652000; 2015-10-09 21:21:11.012000; 2015-10-09 21:23:29.269000; 2015-10-09 21:23:29.312000; cycle_1; md_step
unit.000404; 2015-10-09 20:40:05.343000; 2015-10-09 20:40:24.260000; 2015-10-09 20:40:24.647000; 2015-10-09 21:19:17.856000; 2015-10-09 21:21:38.816000; 2015-10-09 21:21:38.969000; cycle_1; md_step
unit.000560; 2015-10-09 20:40:05.476000; 2015-10-09 20:40:10.070000; 2015-10-09 20:40:10.521000; 2015-10-09 20:42:29.974000; 2015-10-09 20:44:49.626000; 2015-10-09 20:44:49.753000; cycle_1; md_step
unit.000561; 2015-10-09 20:40:05.477000; 2015-10-09 20:40:17.785000; 2015-10-09 20:40:18.180000; 2015-10-09 21:03:13.701000; 2015-10-09 21:05:33.495000; 2015-10-09 21:05:33.564000; cycle_1; md_step
unit.000562; 2015-10-09 20:40:05.478000; 2015-10-09 20:40:10.435000; 2015-10-09 20:40:10.733000; 2015-10-09 20:44:43.480000; 2015-10-09 20:47:02.414000; 2015-10-09 20:47:02.448000; cycle_1; md_step
unit.000563; 2015-10-09 20:40:05.479000; 2015-10-09 20:40:19.264000; 2015-10-09 20:40:19.508000; 2015-10-09 21:07:38.688000; 2015-10-09 21:10:08.230000; 2015-10-09 21:10:08.265000; cycle_1; md_step
unit.000564; 2015-10-09 20:40:05.479000; 2015-10-09 20:40:10.683000; 2015-10-09 20:40:10.943000; 2015-10-09 20:44:44.444000; 2015-10-09 20:47:03.720000; 2015-10-09 20:47:03.754000; cycle_1; md_step
unit.000565; 2015-10-09 20:40:05.480000; 2015-10-09 20:40:20.323000; 2015-10-09 20:40:20.633000; 2015-10-09 21:10:07.539000; 2015-10-09 21:12:26.589000; 2015-10-09 21:12:26.625000; cycle_1; md_step
unit.000218; 2015-10-09 20:40:05.176000; 2015-10-09 20:40:33.135000; 2015-10-09 20:40:33.593000; 2015-10-09 21:41:49.049000; 2015-10-09 21:44:04.630000; 2015-10-09 21:44:04.675000; cycle_1; md_step
unit.000219; 2015-10-09 20:40:05.176000; 2015-10-09 20:40:27.414000; 2015-10-09 20:40:27.873000; 2015-10-09 21:28:08.775000; 2015-10-09 21:30:26.534000; 2015-10-09 21:30:26.569000; cycle_1; md_step
unit.000216; 2015-10-09 20:40:05.174000; 2015-10-09 20:40:35.246000; 2015-10-09 20:40:35.674000; 2015-10-09 21:46:27.993000; 2015-10-09 21:48:46.006000; 2015-10-09 21:48:46.043000; cycle_1; md_step
