# 80/640 smic, 6000 steps

ENMD-core-t-inside cluster.run() call: 2015-10-03 18:24:23.381234
ENMD-core-timing-1: 3.337836
ENMD-appl-timing-0: 0.000353
ENMD-appl-timing-1: 0.002271
ENMD-core-t-before cluster.run() call: 2015-10-03 18:24:23.381020

#####

step,probe,timestamp

allocate,start_time,2015-10-03 14:24:20.050102
allocate,stop_time,2015-10-03 14:24:23.378524
deallocate,start_time,2015-10-03 15:35:23.911598
deallocate,stop_time,2015-10-03 15:35:42.901527

#####

Cycle; Step; Start; Stop; Duration
cycle_1; pp_step; 2015-10-03 18:44:10.672006; 2015-10-03 18:44:10.714376; 0.04237
cycle_1; pp_step_enmd_overhead; 2015-10-03 18:44:10.672006; 2015-10-03 18:44:10.714376; 0.04237
cycle_1; ex_step; 2015-10-03 18:44:00.763209; 2015-10-03 18:44:10.671931; 9.908722
cycle_1; ex_step_enmd_overhead; 2015-10-03 18:44:00.763209; 2015-10-03 18:44:00.766807; 0.003598
cycle_1; md_step; 2015-10-03 18:25:22.611798; 2015-10-03 18:44:00.760085; 1118.148287
cycle_1; md_step_enmd_overhead; 2015-10-03 18:25:22.611798; 2015-10-03 18:25:24.528377; 1.916579
CU_ID; Scheduling; StagingInput; Allocating; Executing; StagingOutput; Done; Cycle; Step;
unit.000640; 2015-10-03 18:44:00.771000; 2015-10-03 18:44:01.063000; 2015-10-03 18:44:01.466000; 2015-10-03 18:44:01.475000; 2015-10-03 18:44:05.461000; 2015-10-03 18:44:09.760000; cycle_1; ex_step
unit.000357; 2015-10-03 18:25:27.823000; 2015-10-03 18:25:45.203000; 2015-10-03 18:25:45.504000; 2015-10-03 18:30:09.686000; 2015-10-03 18:32:28.393000; 2015-10-03 18:32:28.427000; cycle_1; md_step
unit.000356; 2015-10-03 18:25:27.822000; 2015-10-03 18:25:51.326000; 2015-10-03 18:25:51.597000; 2015-10-03 18:34:37.503000; 2015-10-03 18:36:54.891000; 2015-10-03 18:36:54.925000; cycle_1; md_step
unit.000355; 2015-10-03 18:25:27.821000; 2015-10-03 18:25:50.165000; 2015-10-03 18:25:50.554000; 2015-10-03 18:32:26.889000; 2015-10-03 18:34:45.469000; 2015-10-03 18:34:45.504000; cycle_1; md_step
unit.000354; 2015-10-03 18:25:27.820000; 2015-10-03 18:25:48.938000; 2015-10-03 18:25:49.277000; 2015-10-03 18:32:24.339000; 2015-10-03 18:34:42.190000; 2015-10-03 18:34:42.226000; cycle_1; md_step
unit.000353; 2015-10-03 18:25:27.820000; 2015-10-03 18:25:47.574000; 2015-10-03 18:25:48.028000; 2015-10-03 18:32:23.004000; 2015-10-03 18:34:43.293000; 2015-10-03 18:34:43.329000; cycle_1; md_step
unit.000352; 2015-10-03 18:25:27.819000; 2015-10-03 18:25:46.469000; 2015-10-03 18:25:46.776000; 2015-10-03 18:32:20.959000; 2015-10-03 18:34:39.312000; 2015-10-03 18:34:39.351000; cycle_1; md_step
unit.000351; 2015-10-03 18:25:27.818000; 2015-10-03 18:25:44.874000; 2015-10-03 18:25:45.088000; 2015-10-03 18:30:09.009000; 2015-10-03 18:32:28.609000; 2015-10-03 18:32:28.643000; cycle_1; md_step
unit.000350; 2015-10-03 18:25:27.817000; 2015-10-03 18:25:43.590000; 2015-10-03 18:25:43.841000; 2015-10-03 18:30:07.499000; 2015-10-03 18:32:28.530000; 2015-10-03 18:32:28.576000; cycle_1; md_step
unit.000359; 2015-10-03 18:25:27.825000; 2015-10-03 18:25:57.129000; 2015-10-03 18:25:57.418000; 2015-10-03 18:36:55.163000; 2015-10-03 18:39:12.963000; 2015-10-03 18:39:12.998000; cycle_1; md_step
unit.000358; 2015-10-03 18:25:27.824000; 2015-10-03 18:25:51.613000; 2015-10-03 18:25:51.999000; 2015-10-03 18:34:37.827000; 2015-10-03 18:36:54.959000; 2015-10-03 18:36:54.995000; cycle_1; md_step
