uid, iter, step, Scheduling, StagingInput, Allocating, Executing, AgentStagingOutputPending, Done

unit.000000, 0, pre_loop, 1445636018.48, 1445636018.89, 1445636029.0, 1445636029.02, 1445636030.62, 1445636031.47
unit.000001, 1, sim, 1445636037.26, 1445636048.45, 1445636049.14, 1445636049.24, 1445636247.34, 1445636249.39
unit.000002, 1, sim, 1445636037.26, 1445636051.7, 1445636052.3, 1445636052.35, 1445636249.86, 1445636253.66
unit.000003, 1, sim, 1445636037.26, 1445636047.04, 1445636047.81, 1445636047.82, 1445636247.03, 1445636248.32
unit.000004, 1, sim, 1445636037.26, 1445636047.21, 1445636047.85, 1445636047.9, 1445636247.05, 1445636248.49
unit.000005, 1, sim, 1445636037.27, 1445636043.8, 1445636044.75, 1445636044.76, 1445636285.57, 1445636286.26
unit.000006, 1, sim, 1445636037.27, 1445636046.21, 1445636046.93, 1445636047.01, 1445636246.63, 1445636248.14
unit.000007, 1, sim, 1445636037.27, 1445636047.62, 1445636048.32, 1445636048.38, 1445636244.91, 1445636248.86
unit.000008, 1, sim, 1445636037.27, 1445636047.92, 1445636048.65, 1445636048.67, 1445636247.23, 1445636249.02
unit.000009, 1, sim, 1445636037.27, 1445636047.74, 1445636048.33, 1445636048.39, 1445636248.84, 1445636249.73
unit.000010, 1, sim, 1445636037.27, 1445636048.15, 1445636048.76, 1445636048.78, 1445636247.34, 1445636249.21
unit.000011, 1, sim, 1445636037.28, 1445636047.97, 1445636048.7, 1445636048.77, 1445636247.33, 1445636249.03
unit.000012, 1, sim, 1445636037.28, 1445636044.71, 1445636045.19, 1445636045.21, 1445636280.96, 1445636281.19
unit.000013, 1, sim, 1445636037.28, 1445636044.16, 1445636044.83, 1445636044.85, 1445636262.21, 1445636263.95
unit.000014, 1, sim, 1445636037.28, 1445636043.6, 1445636044.53, 1445636044.57, 1445636283.67, 1445636284.98
unit.000015, 1, sim, 1445636037.29, 1445636048.33, 1445636049.12, 1445636049.23, 1445636249.96, 1445636251.36
unit.000016, 1, sim, 1445636037.29, 1445636045.45, 1445636046.07, 1445636046.11, 1445636244.9, 1445636245.99
unit.000017, 1, sim, 1445636037.29, 1445636049.21, 1445636050.03, 1445636050.2, 1445636253.29, 1445636253.84
unit.000018, 1, sim, 1445636037.29, 1445636049.33, 1445636050.07, 1445636050.2, 1445636251.48, 1445636251.89
unit.000019, 1, sim, 1445636037.29, 1445636048.62, 1445636049.18, 1445636049.26, 1445636247.05, 1445636249.56
unit.000020, 1, sim, 1445636037.31, 1445636049.5, 1445636050.15, 1445636050.22, 1445636250.97, 1445636252.06
unit.000021, 1, sim, 1445636037.31, 1445636049.74, 1445636050.43, 1445636050.7, 1445636250.77, 1445636252.24
