uid, step, Scheduling, StagingInput, Allocating, Executing, PendingAgentOutputStaging, Done

unit.002280, step_1, 2015-09-29 03:57:59.111000, 2015-09-29 03:58:00.599000, 2015-09-29 03:58:00.935000, 2015-09-29 03:58:01.117000, 2015-09-29 03:58:03.753000, 2015-09-29 03:58:04.689000
unit.002281, step_1, 2015-09-29 03:57:59.113000, 2015-09-29 03:58:00.686000, 2015-09-29 03:58:01.148000, 2015-09-29 03:58:01.562000, 2015-09-29 03:58:04.173000, 2015-09-29 03:58:05.726000
unit.002282, step_1, 2015-09-29 03:57:59.114000, 2015-09-29 03:58:00.667000, 2015-09-29 03:58:00.961000, 2015-09-29 03:58:01.427000, 2015-09-29 03:58:04.171000, 2015-09-29 03:58:05.719000
unit.002283, step_1, 2015-09-29 03:57:59.116000, 2015-09-29 03:58:00.601000, 2015-09-29 03:58:00.936000, 2015-09-29 03:58:01.125000, 2015-09-29 03:58:03.759000, 2015-09-29 03:58:04.699000
unit.002284, step_1, 2015-09-29 03:57:59.117000, 2015-09-29 03:58:00.568000, 2015-09-29 03:58:00.918000, 2015-09-29 03:58:00.975000, 2015-09-29 03:58:02.944000, 2015-09-29 03:58:03.679000
unit.002285, step_1, 2015-09-29 03:57:59.119000, 2015-09-29 03:58:00.588000, 2015-09-29 03:58:00.929000, 2015-09-29 03:58:01.062000, 2015-09-29 03:58:03.758000, 2015-09-29 03:58:04.697000
unit.002286, step_1, 2015-09-29 03:57:59.120000, 2015-09-29 03:58:00.695000, 2015-09-29 03:58:01.153000, 2015-09-29 03:58:01.630000, 2015-09-29 03:58:04.174000, 2015-09-29 03:58:05.734000
unit.002287, step_1, 2015-09-29 03:57:59.122000, 2015-09-29 03:58:00.562000, 2015-09-29 03:58:00.913000, 2015-09-29 03:58:00.950000, 2015-09-29 03:58:02.838000, 2015-09-29 03:58:03.670000
unit.002288, step_1, 2015-09-29 03:57:59.124000, 2015-09-29 03:58:00.681000, 2015-09-29 03:58:01.146000, 2015-09-29 03:58:01.534000, 2015-09-29 03:58:04.172000, 2015-09-29 03:58:05.724000
unit.002289, step_1, 2015-09-29 03:57:59.125000, 2015-09-29 03:58:00.595000, 2015-09-29 03:58:00.933000, 2015-09-29 03:58:01.095000, 2015-09-29 03:58:03.759000, 2015-09-29 03:58:04.698000
unit.002290, step_1, 2015-09-29 03:57:59.127000, 2015-09-29 03:58:00.575000, 2015-09-29 03:58:00.922000, 2015-09-29 03:58:01.007000, 2015-09-29 03:58:02.945000, 2015-09-29 03:58:03.680000
unit.002291, step_1, 2015-09-29 03:57:59.128000, 2015-09-29 03:58:00.602000, 2015-09-29 03:58:00.937000, 2015-09-29 03:58:01.133000, 2015-09-29 03:58:03.754000, 2015-09-29 03:58:04.690000
unit.002292, step_1, 2015-09-29 03:57:59.130000, 2015-09-29 03:58:00.555000, 2015-09-29 03:58:00.911000, 2015-09-29 03:58:00.933000, 2015-09-29 03:58:02.842000, 2015-09-29 03:58:03.675000
unit.002293, step_1, 2015-09-29 03:57:59.131000, 2015-09-29 03:58:00.649000, 2015-09-29 03:58:00.955000, 2015-09-29 03:58:01.342000, 2015-09-29 03:58:03.866000, 2015-09-29 03:58:04.711000
unit.002294, step_1, 2015-09-29 03:57:59.133000, 2015-09-29 03:58:00.583000, 2015-09-29 03:58:00.926000, 2015-09-29 03:58:01.038000, 2015-09-29 03:58:02.841000, 2015-09-29 03:58:03.675000
