uid, step, Scheduling, StagingInput, Allocating, Executing, PendingAgentOutputStaging, Done

unit.000002, step_1, 2015-09-29 03:06:23.304000, 2015-09-29 03:06:27.377000, 2015-09-29 03:06:27.738000, 2015-09-29 03:06:27.788000, 2015-09-29 03:06:30.234000, 2015-09-29 03:06:31.165000
unit.000003, step_1, 2015-09-29 03:06:23.306000, 2015-09-29 03:06:27.362000, 2015-09-29 03:06:27.553000, 2015-09-29 03:06:27.738000, 2015-09-29 03:06:30.337000, 2015-09-29 03:06:31.173000
unit.000004, step_1, 2015-09-29 03:06:23.308000, 2015-09-29 03:06:27.364000, 2015-09-29 03:06:27.555000, 2015-09-29 03:06:27.747000, 2015-09-29 03:06:30.339000, 2015-09-29 03:06:31.189000
unit.000005, step_1, 2015-09-29 03:06:23.309000, 2015-09-29 03:06:27.358000, 2015-09-29 03:06:27.551000, 2015-09-29 03:06:27.711000, 2015-09-29 03:06:30.233000, 2015-09-29 03:06:31.155000
unit.000006, step_1, 2015-09-29 03:06:23.323000, 2015-09-29 03:06:27.373000, 2015-09-29 03:06:27.736000, 2015-09-29 03:06:27.772000, 2015-09-29 03:06:30.233000, 2015-09-29 03:06:31.156000
unit.000007, step_1, 2015-09-29 03:06:23.325000, 2015-09-29 03:06:27.360000, 2015-09-29 03:06:27.552000, 2015-09-29 03:06:27.719000, 2015-09-29 03:06:30.338000, 2015-09-29 03:06:31.186000
unit.000008, step_1, 2015-09-29 03:06:23.326000, 2015-09-29 03:06:27.357000, 2015-09-29 03:06:27.550000, 2015-09-29 03:06:27.704000, 2015-09-29 03:06:30.336000, 2015-09-29 03:06:31.172000
unit.000009, step_1, 2015-09-29 03:06:23.328000, 2015-09-29 03:06:27.353000, 2015-09-29 03:06:27.548000, 2015-09-29 03:06:27.687000, 2015-09-29 03:06:30.232000, 2015-09-29 03:06:31.153000
unit.000010, step_1, 2015-09-29 03:06:23.330000, 2015-09-29 03:06:27.348000, 2015-09-29 03:06:27.545000, 2015-09-29 03:06:27.660000, 2015-09-29 03:06:29.530000, 2015-09-29 03:06:31.151000
unit.000011, step_1, 2015-09-29 03:06:23.332000, 2015-09-29 03:06:27.342000, 2015-09-29 03:06:27.542000, 2015-09-29 03:06:27.637000, 2015-09-29 03:06:29.528000, 2015-09-29 03:06:31.146000
