uid, step, Scheduling, StagingInput, Allocating, Executing, PendingAgentOutputStaging, Done

unit.001158, step_1, 2015-09-29 03:38:25.469000, 2015-09-29 03:38:26.231000, 2015-09-29 03:38:29.987000, 2015-09-29 03:38:30.001000, 2015-09-29 03:38:31.959000, 2015-09-29 03:38:32.252000
unit.001159, step_1, 2015-09-29 03:38:25.471000, 2015-09-29 03:38:29.814000, 2015-09-29 03:38:30.013000, 2015-09-29 03:38:30.205000, 2015-09-29 03:38:32.773000, 2015-09-29 03:38:33.287000
unit.001160, step_1, 2015-09-29 03:38:25.472000, 2015-09-29 03:38:29.796000, 2015-09-29 03:38:30.005000, 2015-09-29 03:38:30.135000, 2015-09-29 03:38:32.768000, 2015-09-29 03:38:33.269000
unit.001161, step_1, 2015-09-29 03:38:25.474000, 2015-09-29 03:38:29.812000, 2015-09-29 03:38:30.012000, 2015-09-29 03:38:30.197000, 2015-09-29 03:38:32.770000, 2015-09-29 03:38:33.283000
unit.001162, step_1, 2015-09-29 03:38:25.475000, 2015-09-29 03:38:29.817000, 2015-09-29 03:38:30.014000, 2015-09-29 03:38:30.214000, 2015-09-29 03:38:32.775000, 2015-09-29 03:38:33.291000
unit.001163, step_1, 2015-09-29 03:38:25.477000, 2015-09-29 03:38:29.804000, 2015-09-29 03:38:30.009000, 2015-09-29 03:38:30.166000, 2015-09-29 03:38:32.769000, 2015-09-29 03:38:33.271000
unit.001164, step_1, 2015-09-29 03:38:25.478000, 2015-09-29 03:38:29.800000, 2015-09-29 03:38:30.007000, 2015-09-29 03:38:30.151000, 2015-09-29 03:38:32.769000, 2015-09-29 03:38:33.271000
unit.001165, step_1, 2015-09-29 03:38:25.480000, 2015-09-29 03:38:29.802000, 2015-09-29 03:38:30.008000, 2015-09-29 03:38:30.158000, 2015-09-29 03:38:32.774000, 2015-09-29 03:38:33.289000
unit.001166, step_1, 2015-09-29 03:38:25.482000, 2015-09-29 03:38:29.806000, 2015-09-29 03:38:30.009000, 2015-09-29 03:38:30.174000, 2015-09-29 03:38:32.772000, 2015-09-29 03:38:33.286000
