uid, step, Scheduling, StagingInput, Allocating, Executing, PendingAgentOutputStaging, Done

unit.001224, step_1, 2015-09-29 03:41:58.088000, 2015-09-29 03:42:03.541000, 2015-09-29 03:42:03.920000, 2015-09-29 03:42:04.370000, 2015-09-29 03:42:06.764000, 2015-09-29 03:42:08.569000
unit.001225, step_1, 2015-09-29 03:41:58.090000, 2015-09-29 03:42:03.409000, 2015-09-29 03:42:03.624000, 2015-09-29 03:42:03.652000, 2015-09-29 03:42:05.629000, 2015-09-29 03:42:06.501000
unit.001226, step_1, 2015-09-29 03:41:58.091000, 2015-09-29 03:42:03.407000, 2015-09-29 03:42:03.622000, 2015-09-29 03:42:03.644000, 2015-09-29 03:42:05.633000, 2015-09-29 03:42:06.511000
unit.001227, step_1, 2015-09-29 03:41:58.093000, 2015-09-29 03:42:03.415000, 2015-09-29 03:42:03.628000, 2015-09-29 03:42:03.675000, 2015-09-29 03:42:05.633000, 2015-09-29 03:42:06.512000
unit.001228, step_1, 2015-09-29 03:41:58.094000, 2015-09-29 03:42:03.438000, 2015-09-29 03:42:03.642000, 2015-09-29 03:42:03.778000, 2015-09-29 03:42:06.441000, 2015-09-29 03:42:07.522000
unit.001229, step_1, 2015-09-29 03:41:58.096000, 2015-09-29 03:42:03.427000, 2015-09-29 03:42:03.636000, 2015-09-29 03:42:03.731000, 2015-09-29 03:42:05.632000, 2015-09-29 03:42:06.509000
unit.001230, step_1, 2015-09-29 03:41:58.098000, 2015-09-29 03:42:03.434000, 2015-09-29 03:42:03.640000, 2015-09-29 03:42:03.762000, 2015-09-29 03:42:06.440000, 2015-09-29 03:42:07.521000
unit.001231, step_1, 2015-09-29 03:41:58.099000, 2015-09-29 03:42:03.441000, 2015-09-29 03:42:03.644000, 2015-09-29 03:42:03.794000, 2015-09-29 03:42:06.441000, 2015-09-29 03:42:07.523000
unit.001232, step_1, 2015-09-29 03:41:58.101000, 2015-09-29 03:42:03.461000, 2015-09-29 03:42:03.877000, 2015-09-29 03:42:03.920000, 2015-09-29 03:42:06.452000, 2015-09-29 03:42:07.543000
unit.001233, step_1, 2015-09-29 03:41:58.103000, 2015-09-29 03:42:03.470000, 2015-09-29 03:42:03.883000, 2015-09-29 03:42:03.962000, 2015-09-29 03:42:06.444000, 2015-09-29 03:42:07.528000
unit.001234, step_1, 2015-09-29 03:41:58.104000, 2015-09-29 03:42:03.482000, 2015-09-29 03:42:03.900000, 2015-09-29 03:42:04.083000, 2015-09-29 03:42:06.446000, 2015-09-29 03:42:07.531000
unit.001235, step_1, 2015-09-29 03:41:58.106000, 2015-09-29 03:42:03.495000, 2015-09-29 03:42:03.901000, 2015-09-29 03:42:04.107000, 2015-09-29 03:42:06.453000, 2015-09-29 03:42:07.544000
unit.001236, step_1, 2015-09-29 03:41:58.107000, 2015-09-29 03:42:03.506000, 2015-09-29 03:42:03.903000, 2015-09-29 03:42:04.147000, 2015-09-29 03:42:06.455000, 2015-09-29 03:42:07.548000
unit.001237, step_1, 2015-09-29 03:41:58.109000, 2015-09-29 03:42:03.513000, 2015-09-29 03:42:03.907000, 2015-09-29 03:42:04.187000, 2015-09-29 03:42:06.756000, 2015-09-29 03:42:08.552000
unit.001238, step_1, 2015-09-29 03:41:58.111000, 2015-09-29 03:42:03.522000, 2015-09-29 03:42:03.912000, 2015-09-29 03:42:04.270000, 2015-09-29 03:42:06.763000, 2015-09-29 03:42:08.565000
unit.001239, step_1, 2015-09-29 03:41:58.112000, 2015-09-29 03:42:03.529000, 2015-09-29 03:42:03.916000, 2015-09-29 03:42:04.330000, 2015-09-29 03:42:06.762000, 2015-09-29 03:42:08.563000
unit.001240, step_1, 2015-09-29 03:41:58.114000, 2015-09-29 03:42:03.524000, 2015-09-29 03:42:03.914000, 2015-09-29 03:42:04.278000, 2015-09-29 03:42:06.758000, 2015-09-29 03:42:08.556000
unit.001241, step_1, 2015-09-29 03:41:58.115000, 2015-09-29 03:42:03.413000, 2015-09-29 03:42:03.627000, 2015-09-29 03:42:03.668000, 2015-09-29 03:42:05.630000, 2015-09-29 03:42:06.503000
unit.001242, step_1, 2015-09-29 03:41:58.117000, 2015-09-29 03:42:03.445000, 2015-09-29 03:42:03.645000, 2015-09-29 03:42:03.810000, 2015-09-29 03:42:06.442000, 2015-09-29 03:42:07.524000
unit.001243, step_1, 2015-09-29 03:41:58.118000, 2015-09-29 03:42:03.422000, 2015-09-29 03:42:03.633000, 2015-09-29 03:42:03.707000, 2015-09-29 03:42:05.634000, 2015-09-29 03:42:06.513000
unit.001244, step_1, 2015-09-29 03:41:58.120000, 2015-09-29 03:42:03.424000, 2015-09-29 03:42:03.633000, 2015-09-29 03:42:03.715000, 2015-09-29 03:42:05.631000, 2015-09-29 03:42:06.508000
unit.001245, step_1, 2015-09-29 03:41:58.122000, 2015-09-29 03:42:03.507000, 2015-09-29 03:42:03.904000, 2015-09-29 03:42:04.162000, 2015-09-29 03:42:06.448000, 2015-09-29 03:42:07.534000
unit.001246, step_1, 2015-09-29 03:41:58.127000, 2015-09-29 03:42:03.436000, 2015-09-29 03:42:03.641000, 2015-09-29 03:42:03.770000, 2015-09-29 03:42:06.449000, 2015-09-29 03:42:07.535000
unit.001247, step_1, 2015-09-29 03:41:58.130000, 2015-09-29 03:42:03.439000, 2015-09-29 03:42:03.643000, 2015-09-29 03:42:03.786000, 2015-09-29 03:42:06.452000, 2015-09-29 03:42:07.542000
unit.001248, step_1, 2015-09-29 03:41:58.131000, 2015-09-29 03:42:03.466000, 2015-09-29 03:42:03.881000, 2015-09-29 03:42:03.946000, 2015-09-29 03:42:06.444000, 2015-09-29 03:42:07.527000
