# 20/20 supermic, 6000 steps

ENMD-core-t-inside cluster.run() call: 2015-10-02 16:12:34.331804
ENMD-core-timing-1: 4.098642
ENMD-appl-timing-0: 0.000301
ENMD-appl-timing-1: 0.000247
ENMD-core-t-before cluster.run() call: 2015-10-02 16:12:34.331557

###

step,probe,timestamp

allocate,start_time,2015-10-02 12:12:30.242022
allocate,stop_time,2015-10-02 12:12:34.330909
deallocate,start_time,2015-10-02 12:23:20.665624
deallocate,stop_time,2015-10-02 12:23:34.621995

###

Cycle; Step; Start; Stop; Duration
cycle_1; pp_step; 2015-10-02 16:15:54.452314; 2015-10-02 16:15:54.452454; 0.00014
cycle_1; pp_step_enmd_overhead; 2015-10-02 16:15:54.452314; 2015-10-02 16:15:54.452454; 0.00014
cycle_1; ex_step; 2015-10-02 16:15:50.818823; 2015-10-02 16:15:54.452229; 3.633406
cycle_1; ex_step_enmd_overhead; 2015-10-02 16:15:50.818823; 2015-10-02 16:15:50.823238; 0.004415
cycle_1; md_step; 2015-10-02 16:13:26.085330; 2015-10-02 16:15:50.818680; 144.73335
cycle_1; md_step_enmd_overhead; 2015-10-02 16:13:26.085330; 2015-10-02 16:13:26.153606; 0.068276
CU_ID; Scheduling; StagingInput; Allocating; Executing; StagingOutput; Done; Cycle; Step;
unit.000020; 2015-10-02 16:15:50.828000; 2015-10-02 16:15:51.257000; 2015-10-02 16:15:50.419000; 2015-10-02 16:15:50.428000; 2015-10-02 16:15:52.753000; 2015-10-02 16:15:54.196000; cycle_1; ex_step
unit.000018; 2015-10-02 16:13:26.272000; 2015-10-02 16:13:28.248000; 2015-10-02 16:13:27.540000; 2015-10-02 16:13:27.562000; 2015-10-02 16:15:48.630000; 2015-10-02 16:15:48.652000; cycle_1; md_step
unit.000019; 2015-10-02 16:13:26.273000; 2015-10-02 16:13:28.250000; 2015-10-02 16:13:27.533000; 2015-10-02 16:13:27.555000; 2015-10-02 16:15:47.478000; 2015-10-02 16:15:47.503000; cycle_1; md_step
unit.000013; 2015-10-02 16:13:26.266000; 2015-10-02 16:13:28.074000; 2015-10-02 16:13:27.269000; 2015-10-02 16:13:27.285000; 2015-10-02 16:15:48.589000; 2015-10-02 16:15:48.612000; cycle_1; md_step
unit.000009; 2015-10-02 16:13:26.261000; 2015-10-02 16:13:27.992000; 2015-10-02 16:13:27.267000; 2015-10-02 16:13:27.284000; 2015-10-02 16:15:45.184000; 2015-10-02 16:15:45.209000; cycle_1; md_step
unit.000008; 2015-10-02 16:13:26.260000; 2015-10-02 16:13:28.387000; 2015-10-02 16:13:27.699000; 2015-10-02 16:13:27.711000; 2015-10-02 16:15:46.417000; 2015-10-02 16:15:46.437000; cycle_1; md_step
unit.000007; 2015-10-02 16:13:26.258000; 2015-10-02 16:13:28.156000; 2015-10-02 16:13:27.526000; 2015-10-02 16:13:27.544000; 2015-10-02 16:15:46.337000; 2015-10-02 16:15:46.358000; cycle_1; md_step
unit.000006; 2015-10-02 16:13:26.258000; 2015-10-02 16:13:28.202000; 2015-10-02 16:13:27.529000; 2015-10-02 16:13:27.551000; 2015-10-02 16:15:46.372000; 2015-10-02 16:15:46.394000; cycle_1; md_step
unit.000005; 2015-10-02 16:13:26.257000; 2015-10-02 16:13:28.296000; 2015-10-02 16:13:27.541000; 2015-10-02 16:13:27.563000; 2015-10-02 16:15:46.413000; 2015-10-02 16:15:46.434000; cycle_1; md_step
unit.000004; 2015-10-02 16:13:26.255000; 2015-10-02 16:13:28.154000; 2015-10-02 16:13:27.522000; 2015-10-02 16:13:27.539000; 2015-10-02 16:15:45.233000; 2015-10-02 16:15:45.254000; cycle_1; md_step
unit.000003; 2015-10-02 16:13:26.254000; 2015-10-02 16:13:28.032000; 2015-10-02 16:13:27.270000; 2015-10-02 16:13:27.288000; 2015-10-02 16:15:45.188000; 2015-10-02 16:15:45.212000; cycle_1; md_step
unit.000002; 2015-10-02 16:13:26.253000; 2015-10-02 16:13:28.368000; 2015-10-02 16:13:27.571000; 2015-10-02 16:13:27.582000; 2015-10-02 16:15:45.270000; 2015-10-02 16:15:45.292000; cycle_1; md_step
