# 320/320 smic , 6000 steps

step,probe,timestamp

allocate,start_time,2015-10-02 16:55:04.710087
allocate,stop_time,2015-10-02 16:55:10.029943
deallocate,start_time,2015-10-02 17:08:13.012704
deallocate,stop_time,2015-10-02 17:08:41.857910

#####

ENMD-core-t-inside cluster.run() call: 2015-10-02 20:55:10.032995
ENMD-core-timing-1: 5.331350
ENMD-appl-timing-0: 0.000380
ENMD-appl-timing-1: 0.002318
ENMD-core-t-before cluster.run() call: 2015-10-02 20:55:10.032708

####

Cycle; Step; Start; Stop; Duration
cycle_1; pp_step; 2015-10-02 20:59:18.771588; 2015-10-02 20:59:18.785364; 0.013776
cycle_1; pp_step_enmd_overhead; 2015-10-02 20:59:18.771588; 2015-10-02 20:59:18.785364; 0.013776
cycle_1; ex_step; 2015-10-02 20:59:07.547327; 2015-10-02 20:59:18.771453; 11.224126
cycle_1; ex_step_enmd_overhead; 2015-10-02 20:59:07.547327; 2015-10-02 20:59:07.551085; 0.003758
cycle_1; md_step; 2015-10-02 20:56:19.275975; 2015-10-02 20:59:07.545911; 168.269936
cycle_1; md_step_enmd_overhead; 2015-10-02 20:56:19.275975; 2015-10-02 20:56:20.509437; 1.233462
CU_ID; Scheduling; StagingInput; Allocating; Executing; StagingOutput; Done; Cycle; Step;
unit.000320; 2015-10-02 20:59:07.556000; 2015-10-02 20:59:08.148000; 2015-10-02 20:59:07.199000; 2015-10-02 20:59:07.210000; 2015-10-02 20:59:15.309000; 2015-10-02 20:59:16.831000; cycle_1; ex_step
unit.000277; 2015-10-02 20:56:22.350000; 2015-10-02 20:56:33.589000; 2015-10-02 20:56:32.715000; 2015-10-02 20:56:32.747000; 2015-10-02 20:58:53.513000; 2015-10-02 20:58:53.536000; cycle_1; md_step
unit.000128; 2015-10-02 20:56:22.234000; 2015-10-02 20:56:31.354000; 2015-10-02 20:56:30.457000; 2015-10-02 20:56:30.490000; 2015-10-02 20:58:50.409000; 2015-10-02 20:58:50.436000; cycle_1; md_step
unit.000009; 2015-10-02 20:56:22.150000; 2015-10-02 20:56:31.378000; 2015-10-02 20:56:30.468000; 2015-10-02 20:56:30.532000; 2015-10-02 20:58:48.184000; 2015-10-02 20:58:48.209000; cycle_1; md_step
unit.000008; 2015-10-02 20:56:22.149000; 2015-10-02 20:56:31.231000; 2015-10-02 20:56:30.259000; 2015-10-02 20:56:30.289000; 2015-10-02 20:58:50.366000; 2015-10-02 20:58:50.389000; cycle_1; md_step
unit.000007; 2015-10-02 20:56:22.149000; 2015-10-02 20:56:31.022000; 2015-10-02 20:56:30.048000; 2015-10-02 20:56:30.069000; 2015-10-02 20:58:48.093000; 2015-10-02 20:58:48.118000; cycle_1; md_step
unit.000006; 2015-10-02 20:56:22.148000; 2015-10-02 20:56:30.895000; 2015-10-02 20:56:30.044000; 2015-10-02 20:56:30.071000; 2015-10-02 20:58:50.115000; 2015-10-02 20:58:50.150000; cycle_1; md_step
unit.000005; 2015-10-02 20:56:22.147000; 2015-10-02 20:56:30.783000; 2015-10-02 20:56:29.843000; 2015-10-02 20:56:29.891000; 2015-10-02 20:58:48.090000; 2015-10-02 20:58:48.116000; cycle_1; md_step
unit.000004; 2015-10-02 20:56:22.147000; 2015-10-02 20:56:30.641000; 2015-10-02 20:56:29.829000; 2015-10-02 20:56:29.851000; 2015-10-02 20:58:48.028000; 2015-10-02 20:58:48.065000; cycle_1; md_step
unit.000003; 2015-10-02 20:56:22.146000; 2015-10-02 20:56:30.534000; 2015-10-02 20:56:29.619000; 2015-10-02 20:56:29.637000; 2015-10-02 20:58:47.977000; 2015-10-02 20:58:48.001000; cycle_1; md_step
unit.000002; 2015-10-02 20:56:22.145000; 2015-10-02 20:56:30.374000; 2015-10-02 20:56:29.388000; 2015-10-02 20:56:29.417000; 2015-10-02 20:58:47.931000; 2015-10-02 20:58:47.955000; cycle_1; md_step
