CU_ID; Scheduling; StagingInput; Allocating; Executing; AgentStagingOutputPending; Done; Cycle; Step;
unit.000324; 1446814240.38; 1446814317.8; 1446814319.36; 1446814319.56; 1446814321.44; 1446814327.79; cycle_1; ex_step
unit.000325; 1446814240.39; 1446814318.17; 1446814319.85; 1446814320.05; 1446814321.84; 1446814328.77; cycle_1; ex_step
unit.000205; 1446814240.19; 1446814253.12; 1446814254.65; 1446814254.86; 1446814256.74; 1446814260.81; cycle_1; ex_step
unit.000204; 1446814240.19; 1446814252.16; 1446814253.93; 1446814254.13; 1446814255.99; 1446814259.75; cycle_1; ex_step
unit.000207; 1446814240.19; 1446814254.12; 1446814255.62; 1446814255.83; 1446814257.7; 1446814262.24; cycle_1; ex_step
unit.000206; 1446814240.19; 1446814253.25; 1446814254.97; 1446814255.17; 1446814256.99; 1446814260.83; cycle_1; ex_step
unit.000201; 1446814240.19; 1446814247.75; 1446814252.63; 1446814252.83; 1446814254.69; 1446814258.65; cycle_1; ex_step
unit.000200; 1446814240.18; 1446814247.75; 1446814251.62; 1446814251.83; 1446814253.68; 1446814257.58; cycle_1; ex_step
unit.000203; 1446814240.19; 1446814252.12; 1446814253.73; 1446814253.93; 1446814255.79; 1446814259.73; cycle_1; ex_step
unit.000202; 1446814240.19; 1446814251.03; 1446814252.83; 1446814253.03; 1446814254.89; 1446814258.67; cycle_1; ex_step
unit.000230; 1446814240.23; 1446814266.82; 1446814268.42; 1446814268.62; 1446814270.44; 1446814274.62; cycle_1; ex_step
unit.000231; 1446814240.23; 1446814267.13; 1446814268.73; 1446814268.94; 1446814270.85; 1446814275.63; cycle_1; ex_step
unit.000232; 1446814240.23; 1446814267.9; 1446814269.82; 1446814270.02; 1446814271.95; 1446814275.73; cycle_1; ex_step
unit.000233; 1446814240.24; 1446814268.2; 1446814270.02; 1446814270.22; 1446814272.15; 1446814276.74; cycle_1; ex_step
unit.000234; 1446814240.24; 1446814269.18; 1446814270.74; 1446814270.95; 1446814272.85; 1446814276.82; cycle_1; ex_step
unit.000235; 1446814240.24; 1446814269.27; 1446814271.06; 1446814271.26; 1446814273.15; 1446814277.82; cycle_1; ex_step
