Pilot wait= 2015-08-24 19:17:15.782119
Pilot active= 2015-08-24 19:20:59.257554
Preloop wait= 2015-08-24 19:20:59.744862
Preloop done= 2015-08-24 19:21:05.060905
Sims-1 wait= 2015-08-24 19:21:23.009145
Sims-1 done= 2015-08-24 19:21:30.174225
Sims-2 wait= 2015-08-24 19:21:48.836743
Sims-2 done= 2015-08-24 19:21:58.006735
Ana-1 wait= 2015-08-24 19:21:58.578595
Ana-1 done= 2015-08-24 19:22:05.728953
Ana-2 wait= 2015-08-24 19:22:06.206320
Ana-2 done= 2015-08-24 19:22:09.850963
Iter done= 2015-08-24 19:22:09.856250
Start= 2015-08-24 19:17:11.607461
Allocating= 2015-08-24 19:17:11.659270
Allocated= 2015-08-24 19:17:15.780702
Executing= 2015-08-24 19:17:15.780843
Deallocating= 2015-08-24 19:22:09.866035
Done= 2015-08-24 19:22:26.363205
