uid, step, Scheduling, StagingInput, Allocating, Executing, AgentStagingOutputPending, Done

unit.000000, step_1, 1446310063.47, 1446310064.1, 1446310063.47, 1446310083.31, 1446310084.1, 1446310136.08
unit.000001, step_1, 1446310063.47, 1446310064.05, 1446310063.47, 1446310078.47, 1446310079.2, 1446310118.65
unit.000002, step_1, 1446310063.48, 1446310063.94, 1446310063.48, 1446310067.52, 1446310068.23, 1446310072.9
unit.000003, step_1, 1446310063.48, 1446310063.94, 1446310063.48, 1446310067.32, 1446310068.13, 1446310074.56
unit.000004, step_1, 1446310063.48, 1446310063.95, 1446310063.48, 1446310067.72, 1446310068.43, 1446310074.42
unit.000005, step_1, 1446310063.48, 1446310063.95, 1446310063.48, 1446310067.92, 1446310068.63, 1446310075.94
unit.000006, step_1, 1446310063.48, 1446310063.95, 1446310063.48, 1446310068.12, 1446310068.9, 1446310076.22
unit.000007, step_1, 1446310063.49, 1446310063.95, 1446310063.49, 1446310068.53, 1446310069.24, 1446310077.87
unit.000008, step_1, 1446310063.49, 1446310064.06, 1446310063.49, 1446310078.95, 1446310079.6, 1446310120.23
unit.000009, step_1, 1446310063.49, 1446310063.96, 1446310063.49, 1446310068.94, 1446310069.74, 1446310079.45
unit.000010, step_1, 1446310063.49, 1446310063.96, 1446310063.49, 1446310069.14, 1446310069.9, 1446310081.12
unit.000011, step_1, 1446310063.49, 1446310063.96, 1446310063.49, 1446310069.55, 1446310070.25, 1446310082.62
unit.000012, step_1, 1446310063.5, 1446310064.13, 1446310063.5, 1446310086.77, 1446310087.48, 1446310149.96
unit.000013, step_1, 1446310063.5, 1446310064.11, 1446310063.5, 1446310084.33, 1446310085.11, 1446310140.82
unit.000014, step_1, 1446310063.5, 1446310064.11, 1446310063.5, 1446310083.92, 1446310084.67, 1446310139.24
unit.000015, step_1, 1446310063.5, 1446310064.13, 1446310063.5, 1446310086.97, 1446310087.69, 1446310150.35
unit.000016, step_1, 1446310063.5, 1446310063.97, 1446310063.5, 1446310070.36, 1446310071.15, 1446310086.05
unit.000017, step_1, 1446310063.51, 1446310063.98, 1446310063.51, 1446310070.77, 1446310071.55, 1446310088.26
unit.000018, step_1, 1446310063.51, 1446310063.98, 1446310063.51, 1446310071.17, 1446310071.96, 1446310089.36
unit.000019, step_1, 1446310063.51, 1446310063.98, 1446310063.51, 1446310071.58, 1446310072.36, 1446310091.41
unit.000020, step_1, 1446310063.51, 1446310063.99, 1446310063.51, 1446310072.19, 1446310072.96, 1446310093.0
unit.000021, step_1, 1446310063.51, 1446310064.0, 1446310063.51, 1446310072.59, 1446310073.36, 1446310094.68
unit.000022, step_1, 1446310063.51, 1446310064.01, 1446310063.51, 1446310073.0, 1446310073.77, 1446310096.72
unit.000023, step_1, 1446310063.52, 1446310064.01, 1446310063.52, 1446310073.41, 1446310074.17, 1446310098.3
unit.000024, step_1, 1446310063.52, 1446310064.02, 1446310063.52, 1446310073.81, 1446310074.57, 1446310099.82
unit.000025, step_1, 1446310063.52, 1446310064.02, 1446310063.52, 1446310074.21, 1446310074.97, 1446310101.96
unit.000026, step_1, 1446310063.52, 1446310064.02, 1446310063.52, 1446310074.82, 1446310075.58, 1446310104.1
unit.000027, step_1, 1446310063.52, 1446310064.03, 1446310063.52, 1446310075.23, 1446310075.98, 1446310105.68
unit.000028, step_1, 1446310063.52, 1446310064.03, 1446310063.52, 1446310075.63, 1446310076.38, 1446310107.26
unit.000029, step_1, 1446310063.53, 1446310064.03, 1446310063.53, 1446310076.04, 1446310076.78, 1446310108.84
unit.000030, step_1, 1446310063.53, 1446310064.03, 1446310063.53, 1446310076.44, 1446310077.19, 1446310110.36
unit.000031, step_1, 1446310063.53, 1446310064.04, 1446310063.53, 1446310076.93, 1446310077.59, 1446310111.94
unit.000032, step_1, 1446310063.53, 1446310064.05, 1446310063.53, 1446310077.46, 1446310078.19, 1446310115.47
unit.000033, step_1, 1446310063.53, 1446310064.05, 1446310063.53, 1446310077.94, 1446310078.6, 1446310117.05
unit.000034, step_1, 1446310063.54, 1446310064.05, 1446310063.54, 1446310078.27, 1446310079.0, 1446310118.57
unit.000035, step_1, 1446310063.54, 1446310064.06, 1446310063.54, 1446310078.67, 1446310079.4, 1446310120.09
unit.000036, step_1, 1446310063.54, 1446310063.95, 1446310063.54, 1446310068.33, 1446310069.04, 1446310077.46
unit.000037, step_1, 1446310063.54, 1446310063.96, 1446310063.54, 1446310069.75, 1446310070.45, 1446310082.64
unit.000038, step_1, 1446310063.54, 1446310063.98, 1446310063.54, 1446310071.98, 1446310072.76, 1446310093.09
unit.000039, step_1, 1446310063.54, 1446310064.02, 1446310063.54, 1446310074.62, 1446310075.38, 1446310103.54
