Pilot wait= 2015-08-24 19:06:55.333854
Pilot active= 2015-08-24 19:16:09.593245
Preloop wait= 2015-08-24 19:16:10.086849
Preloop done= 2015-08-24 19:16:15.585767
Sims-1 wait= 2015-08-24 19:16:24.554499
Sims-1 done= 2015-08-24 19:16:30.089521
Sims-2 wait= 2015-08-24 19:16:39.072173
Sims-2 done= 2015-08-24 19:16:45.298192
Ana-1 wait= 2015-08-24 19:16:45.841804
Ana-1 done= 2015-08-24 19:16:50.262519
Ana-2 wait= 2015-08-24 19:16:50.750889
Ana-2 done= 2015-08-24 19:16:54.851795
Iter done= 2015-08-24 19:16:54.854238
Start= 2015-08-24 19:06:50.195294
Allocating= 2015-08-24 19:06:50.276113
Allocated= 2015-08-24 19:06:55.332220
Executing= 2015-08-24 19:06:55.332416
Deallocating= 2015-08-24 19:16:54.855194
Done= 2015-08-24 19:17:10.557593
