Pilot wait= 2015-08-21 11:30:03.446996
Pilot active= 2015-08-21 11:36:43.221459
Preloop wait= 2015-08-21 11:36:43.713479
Preloop done= 2015-08-21 11:36:56.123003
Sims-1 wait= 2015-08-21 11:38:01.564217
Sims-1 done= 2015-08-21 11:41:37.885411
Sims-2 wait= 2015-08-21 11:42:49.054101
Sims-2 done= 2015-08-21 12:07:03.917424
Ana-1 wait= 2015-08-21 12:07:05.630907
Ana-1 done= 2015-08-21 12:47:48.565817
Ana-2 wait= 2015-08-21 12:47:52.404620
Ana-2 done= 2015-08-21 12:51:06.476264
Iter done= 2015-08-21 12:51:06.478410
Start= 2015-08-21 11:29:58.400818
Allocating= 2015-08-21 11:29:58.428221
Allocated= 2015-08-21 11:30:03.445364
Executing= 2015-08-21 11:30:03.445522
Deallocating= 2015-08-21 12:51:06.485874
Done= 2015-08-21 12:51:26.619735
