uid, iter, step, Scheduling, StagingInput, Allocating, Executing, PendingAgentOutputStaging, Done

unit.000000, 0, pre_loop, 2015-10-07 14:44:11.790000, 2015-10-07 14:44:13.086000, 2015-10-07 14:44:23.624000, 2015-10-07 14:44:23.637000, 2015-10-07 14:44:26.217000, 2015-10-07 14:44:28.451000
unit.000001, 1, sim, 2015-10-07 14:44:30.579000, 2015-10-07 14:44:32.737000, 2015-10-07 14:44:34.895000, 2015-10-07 14:44:34.907000, 2015-10-07 14:49:26.722000, 2015-10-07 14:49:28.138000
unit.000002, 1, sim, 2015-10-07 14:44:30.581000, 2015-10-07 14:44:34.595000, 2015-10-07 14:44:35.427000, 2015-10-07 14:44:35.466000, 2015-10-07 14:49:24.702000, 2015-10-07 14:49:26.520000
unit.000003, 1, sim, 2015-10-07 14:44:30.595000, 2015-10-07 14:44:32.900000, 2015-10-07 14:44:33.734000, 2015-10-07 14:44:33.746000, 2015-10-07 14:49:27.229000, 2015-10-07 14:49:28.462000
unit.000004, 1, sim, 2015-10-07 14:44:30.596000, 2015-10-07 14:44:34.510000, 2015-10-07 14:44:35.422000, 2015-10-07 14:44:35.452000, 2015-10-07 14:49:27.936000, 2015-10-07 14:49:29.758000
unit.000005, 1, sim, 2015-10-07 14:44:30.618000, 2015-10-07 14:44:34.243000, 2015-10-07 14:44:34.914000, 2015-10-07 14:44:34.955000, 2015-10-07 14:49:27.632000, 2015-10-07 14:49:29.581000
unit.000006, 1, sim, 2015-10-07 14:44:30.628000, 2015-10-07 14:44:33.178000, 2015-10-07 14:44:33.738000, 2015-10-07 14:44:33.755000, 2015-10-07 14:49:24.498000, 2015-10-07 14:49:26.343000
unit.000007, 1, sim, 2015-10-07 14:44:30.630000, 2015-10-07 14:44:34.062000, 2015-10-07 14:44:34.907000, 2015-10-07 14:44:34.934000, 2015-10-07 14:49:24.700000, 2015-10-07 14:49:26.491000
unit.000008, 1, sim, 2015-10-07 14:44:30.632000, 2015-10-07 14:44:34.334000, 2015-10-07 14:44:35.412000, 2015-10-07 14:44:35.426000, 2015-10-07 14:49:25.110000, 2015-10-07 14:49:26.697000
unit.000009, 1, sim, 2015-10-07 14:44:30.652000, 2015-10-07 14:44:34.685000, 2015-10-07 14:44:35.435000, 2015-10-07 14:44:35.481000, 2015-10-07 14:49:27.634000, 2015-10-07 14:49:29.726000
unit.000010, 1, sim, 2015-10-07 14:44:30.656000, 2015-10-07 14:44:34.419000, 2015-10-07 14:44:35.416000, 2015-10-07 14:44:35.442000, 2015-10-07 14:49:25.516000, 2015-10-07 14:49:26.873000
unit.000011, 1, sim, 2015-10-07 14:44:30.665000, 2015-10-07 14:44:33.982000, 2015-10-07 14:44:34.903000, 2015-10-07 14:44:34.925000, 2015-10-07 14:49:26.925000, 2015-10-07 14:49:28.286000
unit.000012, 1, sim, 2015-10-07 14:44:30.673000, 2015-10-07 14:44:33.709000, 2015-10-07 14:44:34.263000, 2015-10-07 14:44:34.285000, 2015-10-07 14:49:27.127000, 2015-10-07 14:49:28.314000
unit.000013, 1, sim, 2015-10-07 14:44:30.682000, 2015-10-07 14:44:33.885000, 2015-10-07 14:44:34.900000, 2015-10-07 14:44:34.916000, 2015-10-07 14:49:25.214000, 2015-10-07 14:49:26.844000
unit.000014, 1, sim, 2015-10-07 14:44:30.687000, 2015-10-07 14:44:33.533000, 2015-10-07 14:44:34.259000, 2015-10-07 14:44:34.275000, 2015-10-07 14:49:28.038000, 2015-10-07 14:49:29.944000
unit.000015, 1, sim, 2015-10-07 14:44:30.697000, 2015-10-07 14:44:33.354000, 2015-10-07 14:44:34.255000, 2015-10-07 14:44:34.266000, 2015-10-07 14:49:25.008000, 2015-10-07 14:49:26.667000
unit.000016, 1, sim, 2015-10-07 14:44:30.706000, 2015-10-07 14:44:34.158000, 2015-10-07 14:44:34.911000, 2015-10-07 14:44:34.945000, 2015-10-07 14:49:26.620000, 2015-10-07 14:49:28.110000
unit.000017, 1, ana, 2015-10-07 14:49:33.037000, 2015-10-07 14:49:33.700000, 2015-10-07 14:49:34.482000, 2015-10-07 14:49:34.493000, 2015-10-07 14:49:35.654000, 2015-10-07 14:49:36.693000
unit.000018, 1, ana, 2015-10-07 14:49:38.367000, 2015-10-07 14:49:39.357000, 2015-10-07 14:49:40.086000, 2015-10-07 14:49:40.097000, 2015-10-07 14:49:47.880000, 2015-10-07 14:49:49.634000
unit.000019, 1, ana, 2015-10-07 14:49:50.309000, 2015-10-07 14:49:51.431000, 2015-10-07 14:49:52.148000, 2015-10-07 14:49:52.159000, 2015-10-07 14:49:55.194000, 2015-10-07 14:49:56.589000
