uid, step, Scheduling, StagingInput, Allocating, Executing, PendingAgentOutputStaging, Done

unit.000000, step_1, 2015-10-09 18:47:42.826000, 2015-10-09 18:47:51.029000, 2015-10-09 18:47:51.381000, 2015-10-09 18:47:51.512000, 2015-10-09 18:48:02.323000, 2015-10-09 18:48:04.163000
unit.000001, step_1, 2015-10-09 18:47:42.828000, 2015-10-09 18:47:51.054000, 2015-10-09 18:47:51.387000, 2015-10-09 18:47:51.573000, 2015-10-09 18:48:01.889000, 2015-10-09 18:48:04.013000
unit.000002, step_1, 2015-10-09 18:47:42.842000, 2015-10-09 18:47:51.066000, 2015-10-09 18:47:51.391000, 2015-10-09 18:47:51.600000, 2015-10-09 18:48:01.787000, 2015-10-09 18:48:03.007000
unit.000003, step_1, 2015-10-09 18:47:42.844000, 2015-10-09 18:47:51.118000, 2015-10-09 18:47:51.396000, 2015-10-09 18:47:51.635000, 2015-10-09 18:48:01.890000, 2015-10-09 18:48:04.015000
unit.000004, step_1, 2015-10-09 18:47:42.847000, 2015-10-09 18:47:51.125000, 2015-10-09 18:47:51.399000, 2015-10-09 18:47:51.653000, 2015-10-09 18:48:01.785000, 2015-10-09 18:48:02.998000
unit.000005, step_1, 2015-10-09 18:47:42.848000, 2015-10-09 18:47:50.968000, 2015-10-09 18:47:51.348000, 2015-10-09 18:47:51.412000, 2015-10-09 18:48:02.324000, 2015-10-09 18:48:04.170000
unit.000006, step_1, 2015-10-09 18:47:42.862000, 2015-10-09 18:47:51.140000, 2015-10-09 18:47:51.405000, 2015-10-09 18:47:51.766000, 2015-10-09 18:48:02.105000, 2015-10-09 18:48:04.058000
unit.000007, step_1, 2015-10-09 18:47:42.864000, 2015-10-09 18:47:51.151000, 2015-10-09 18:47:51.408000, 2015-10-09 18:47:51.791000, 2015-10-09 18:48:02.105000, 2015-10-09 18:48:04.058000
unit.000008, step_1, 2015-10-09 18:47:42.869000, 2015-10-09 18:47:51.162000, 2015-10-09 18:47:51.411000, 2015-10-09 18:47:51.844000, 2015-10-09 18:48:02.533000, 2015-10-09 18:48:04.193000
unit.000009, step_1, 2015-10-09 18:47:42.871000, 2015-10-09 18:47:51.164000, 2015-10-09 18:47:51.413000, 2015-10-09 18:47:51.874000, 2015-10-09 18:48:02.635000, 2015-10-09 18:48:04.197000
unit.000010, step_1, 2015-10-09 18:47:42.873000, 2015-10-09 18:47:51.178000, 2015-10-09 18:47:51.601000, 2015-10-09 18:47:51.913000, 2015-10-09 18:48:02.107000, 2015-10-09 18:48:04.075000
unit.000011, step_1, 2015-10-09 18:47:42.883000, 2015-10-09 18:47:51.184000, 2015-10-09 18:47:51.603000, 2015-10-09 18:47:51.937000, 2015-10-09 18:48:02.533000, 2015-10-09 18:48:04.194000
unit.000012, step_1, 2015-10-09 18:47:42.884000, 2015-10-09 18:47:51.189000, 2015-10-09 18:47:51.606000, 2015-10-09 18:47:51.963000, 2015-10-09 18:48:02.111000, 2015-10-09 18:48:04.106000
unit.000013, step_1, 2015-10-09 18:47:42.886000, 2015-10-09 18:47:51.210000, 2015-10-09 18:47:51.611000, 2015-10-09 18:47:51.990000, 2015-10-09 18:48:02.637000, 2015-10-09 18:48:04.205000
