uid, iter, step, Scheduling, StagingInput, Allocating, Executing, AgentStagingOutputPending, Done

unit.000000, 1, sim, 1446804608.83, 1446804609.61, 1446804617.21, 1446804617.41, 1446804618.0, 1446804632.63
unit.000001, 1, sim, 1446804608.83, 1446804609.62, 1446804618.42, 1446804618.62, 1446804619.2, 1446804637.58
unit.000002, 1, sim, 1446804608.84, 1446804609.62, 1446804618.82, 1446804619.03, 1446804619.6, 1446804639.09
unit.000003, 1, sim, 1446804608.84, 1446804609.61, 1446804618.22, 1446804618.42, 1446804619.0, 1446804637.29
unit.000004, 1, sim, 1446804608.84, 1446804609.62, 1446804619.03, 1446804619.23, 1446804619.81, 1446804640.15
unit.000005, 1, sim, 1446804608.84, 1446804609.62, 1446804620.24, 1446804620.45, 1446804621.11, 1446804644.4
unit.000006, 1, sim, 1446804608.84, 1446804609.63, 1446804620.65, 1446804620.85, 1446804621.51, 1446804645.78
unit.000007, 1, sim, 1446804608.84, 1446804609.63, 1446804621.46, 1446804621.66, 1446804622.32, 1446804649.64
unit.000008, 1, sim, 1446804608.84, 1446804609.64, 1446804621.66, 1446804621.86, 1446804622.52, 1446804650.21
unit.000009, 1, sim, 1446804608.85, 1446804609.64, 1446804622.27, 1446804622.47, 1446804623.12, 1446804653.12
unit.000010, 1, sim, 1446804608.85, 1446804609.64, 1446804622.68, 1446804622.88, 1446804623.53, 1446804654.56
unit.000011, 1, sim, 1446804608.85, 1446804609.59, 1446804613.34, 1446804613.55, 1446804614.27, 1446804618.99
unit.000012, 1, sim, 1446804608.85, 1446804609.59, 1446804614.96, 1446804615.16, 1446804615.78, 1446804624.26
unit.000013, 1, sim, 1446804608.85, 1446804609.6, 1446804615.57, 1446804615.77, 1446804616.39, 1446804626.22
unit.000014, 1, sim, 1446804608.85, 1446804609.6, 1446804616.18, 1446804616.38, 1446804616.99, 1446804629.06
unit.000015, 1, sim, 1446804608.86, 1446804609.61, 1446804617.0, 1446804617.2, 1446804617.79, 1446804632.27
unit.000016, 1, sim, 1446804608.86, 1446804609.61, 1446804617.61, 1446804617.81, 1446804618.4, 1446804634.1
unit.000017, 1, sim, 1446804608.86, 1446804609.59, 1446804613.54, 1446804613.75, 1446804614.37, 1446804618.47
unit.000018, 1, sim, 1446804608.86, 1446804609.61, 1446804617.41, 1446804617.61, 1446804618.2, 1446804633.75
unit.000019, 1, sim, 1446804608.86, 1446804609.62, 1446804619.84, 1446804620.04, 1446804620.71, 1446804642.96
unit.000020, 1, sim, 1446804608.86, 1446804609.63, 1446804620.45, 1446804620.65, 1446804621.31, 1446804644.84
unit.000021, 1, sim, 1446804608.87, 1446804609.64, 1446804622.07, 1446804622.27, 1446804622.92, 1446804651.65
unit.000022, 1, sim, 1446804608.87, 1446804609.59, 1446804614.15, 1446804614.35, 1446804614.97, 1446804621.41
unit.000023, 1, sim, 1446804608.87, 1446804609.63, 1446804621.05, 1446804621.26, 1446804621.92, 1446804648.2
unit.000024, 1, sim, 1446804608.87, 1446804609.64, 1446804622.47, 1446804622.68, 1446804623.33, 1446804653.62
