uid, iter, step, uid, step, Scheduling, StagingInput, AgentStagingInputPending, AgentStagingInput, AllocatingPending, Allocating, ExecutingPending, Executing, AgentStagingOutputPending, AgentStagingOutput, PendingOutputStaging, StagingOutput, Done

unit.000608, 1, sim, 1456348778.42, 1456348788.29, 1456348788.29, 1456348788.66, 1456348788.67, 1456348788.67, 1456348788.67,1456348788.69, 1456348797.92, 1456348797.94, 1456348797.94, 1456348801.19, 1456348801.28
unit.000609, 1, sim, 1456348778.43, 1456348788.85, 1456348788.85, 1456348789.25, 1456348789.25, 1456348789.25, 1456348789.25,1456348789.26, 1456348797.92, 1456348797.94, 1456348797.94, 1456348801.77, 1456348801.87
unit.000610, 1, sim, 1456348778.43, 1456348798.34, 1456348798.34, 1456348798.93, 1456348798.93, 1456348798.93, 1456348798.93,1456348798.94, 1456348804.99, 1456348804.99, 1456348804.99, 1456348809.56, 1456348809.65
unit.000611, 1, sim, 1456348778.43, 1456348787.14, 1456348787.14, 1456348788.36, 1456348788.41, 1456348788.42, 1456348788.42,1456348788.42, 1456348797.7, 1456348797.7, 1456348797.71, 1456348801.0, 1456348801.09
unit.000612, 1, sim, 1456348778.43, 1456348791.89, 1456348791.89, 1456348792.19, 1456348792.19, 1456348792.19, 1456348792.2,1456348792.21, 1456348799.69, 1456348799.71, 1456348799.71, 1456348805.76, 1456348805.86
unit.000613, 1, sim, 1456348778.43, 1456348795.05, 1456348795.05, 1456348797.63, 1456348797.64, 1456348797.64, 1456348797.64,1456348797.64, 1456348797.71, 1456348797.71, 1456348797.72, 1456348808.14, 1456348808.24
unit.000614, 1, sim, 1456348778.43, 1456348791.09, 1456348791.09, 1456348791.36, 1456348791.37, 1456348791.37, 1456348791.37,1456348791.39, 1456348799.13, 1456348799.14, 1456348799.15, 1456348805.01, 1456348805.1
unit.000615, 1, sim, 1456348778.43, 1456348792.26, 1456348792.26, 1456348794.16, 1456348794.16, 1456348794.16, 1456348794.17,1456348794.18, 1456348801.54, 1456348801.55, 1456348801.55, 1456348807.17, 1456348807.26
unit.000616, 1, sim, 1456348778.43, 1456348791.28, 1456348791.28, 1456348791.65, 1456348791.65, 1456348791.66, 1456348791.66,1456348791.67, 1456348799.23, 1456348799.23, 1456348799.23, 1456348805.19, 1456348805.29
unit.000617, 1, sim, 1456348778.43, 1456348788.29, 1456348788.29, 1456348788.66, 1456348788.66, 1456348788.66, 1456348788.66,1456348788.67, 1456348797.91, 1456348797.92, 1456348797.93, 1456348801.18, 1456348801.28
unit.000618, 1, sim, 1456348778.43, 1456348789.26, 1456348789.26, 1456348791.21, 1456348791.21, 1456348791.22, 1456348791.22,1456348791.23, 1456348799.03, 1456348799.03, 1456348799.03, 1456348802.15, 1456348804.91
unit.000619, 1, sim, 1456348778.43, 1456348780.41, 1456348780.41, 1456348786.38, 1456348786.38, 1456348786.38, 1456348786.38,1456348786.39, 1456348797.65, 1456348797.66, 1456348797.66, 1456348799.12, 1456348799.22
unit.000620, 1, sim, 1456348778.43, 1456348798.39, 1456348798.39, 1456348798.93, 1456348798.94, 1456348798.94, 1456348798.94,1456348798.96, 1456348804.99, 1456348804.99, 1456348804.99, 1456348809.56, 1456348809.66
unit.000621, 1, sim, 1456348778.43, 1456348797.82, 1456348797.82, 1456348798.11, 1456348798.12, 1456348798.12, 1456348798.12,1456348798.13, 1456348804.96, 1456348804.96, 1456348804.96, 1456348809.0, 1456348809.09
unit.000622, 1, sim, 1456348778.43, 1456348788.48, 1456348788.48, 1456348788.81, 1456348788.81, 1456348788.82, 1456348788.82,1456348788.83, 1456348797.93, 1456348797.95, 1456348797.95, 1456348801.4, 1456348801.5
unit.000623, 1, sim, 1456348778.43, 1456348791.47, 1456348791.47, 1456348791.86, 1456348791.87, 1456348791.87, 1456348791.87,1456348791.88, 1456348799.69, 1456348799.7, 1456348799.7, 1456348805.38, 1456348805.48
unit.000624, 1, sim, 1456348778.43, 1456348789.07, 1456348789.07, 1456348791.07, 1456348791.12, 1456348791.12, 1456348791.13,1456348791.13, 1456348798.94, 1456348798.94, 1456348798.95, 1456348801.96, 1456348802.06
unit.000625, 1, sim, 1456348778.44, 1456348786.44, 1456348786.44, 1456348786.82, 1456348786.83, 1456348786.83, 1456348786.83,1456348786.83, 1456348795.2, 1456348795.21, 1456348795.21, 1456348799.5, 1456348799.6
unit.000626, 1, sim, 1456348778.44, 1456348786.63, 1456348786.63, 1456348786.97, 1456348786.97, 1456348786.98, 1456348786.98,1456348786.98, 1456348797.65, 1456348797.67, 1456348797.67, 1456348799.69, 1456348799.79
unit.000627, 1, sim, 1456348778.44, 1456348791.7, 1456348791.7, 1456348792.01, 1456348792.01, 1456348792.01, 1456348792.02,1456348792.03, 1456348799.69, 1456348799.71, 1456348799.71, 1456348805.58, 1456348805.67
