uid, iter, step, Scheduling, StagingInput, Allocating, Executing, PendingAgentOutputStaging, Done

unit.000024, step_1, 2015-10-09 16:43:20.057000, 2015-10-09 16:43:24.328000, 2015-10-09 16:43:24.709000, 2015-10-09 16:43:24.776000, 2015-10-09 16:43:35.734000, 2015-10-09 16:43:37.365000
unit.000025, step_1, 2015-10-09 16:43:20.070000, 2015-10-09 16:43:24.294000, 2015-10-09 16:43:24.515000, 2015-10-09 16:43:24.688000, 2015-10-09 16:43:35.729000, 2015-10-09 16:43:37.345000
unit.000026, step_1, 2015-10-09 16:43:20.082000, 2015-10-09 16:43:24.303000, 2015-10-09 16:43:24.519000, 2015-10-09 16:43:24.705000, 2015-10-09 16:43:35.730000, 2015-10-09 16:43:37.345000
unit.000027, step_1, 2015-10-09 16:43:20.083000, 2015-10-09 16:43:21.204000, 2015-10-09 16:43:24.701000, 2015-10-09 16:43:24.724000, 2015-10-09 16:43:35.730000, 2015-10-09 16:43:37.351000
unit.000028, step_1, 2015-10-09 16:43:20.093000, 2015-10-09 16:43:24.226000, 2015-10-09 16:43:24.485000, 2015-10-09 16:43:24.526000, 2015-10-09 16:43:34.722000, 2015-10-09 16:43:36.321000
unit.000029, step_1, 2015-10-09 16:43:20.103000, 2015-10-09 16:43:24.323000, 2015-10-09 16:43:24.707000, 2015-10-09 16:43:24.767000, 2015-10-09 16:43:35.732000, 2015-10-09 16:43:37.354000
unit.000030, step_1, 2015-10-09 16:43:20.104000, 2015-10-09 16:43:24.237000, 2015-10-09 16:43:24.491000, 2015-10-09 16:43:24.551000, 2015-10-09 16:43:33.710000, 2015-10-09 16:43:35.280000
unit.000031, step_1, 2015-10-09 16:43:20.114000, 2015-10-09 16:43:24.218000, 2015-10-09 16:43:24.479000, 2015-10-09 16:43:24.498000, 2015-10-09 16:43:34.114000, 2015-10-09 16:43:35.297000
unit.000032, step_2, 2015-10-09 16:43:40.132000, 2015-10-09 16:43:41.481000, 2015-10-09 16:43:41.819000, 2015-10-09 16:43:42.032000, 2015-10-09 16:44:01.459000, 2015-10-09 16:44:15.289000
unit.000033, step_2, 2015-10-09 16:43:40.139000, 2015-10-09 16:43:41.485000, 2015-10-09 16:43:41.821000, 2015-10-09 16:43:42.049000, 2015-10-09 16:44:01.666000, 2015-10-09 16:44:15.917000
