uid, iter, step, Scheduling, StagingInput, Allocating, Executing, PendingAgentOutputStaging, Done

unit.000000, 0, pre_loop, 2015-10-07 15:21:20.704000, 2015-10-07 15:21:21.416000, 2015-10-07 15:21:31.802000, 2015-10-07 15:21:31.814000, 2015-10-07 15:21:33.980000, 2015-10-07 15:21:35.670000
unit.000001, 1, sim, 2015-10-07 15:21:37.661000, 2015-10-07 15:21:39.827000, 2015-10-07 15:21:40.342000, 2015-10-07 15:21:40.364000, 2015-10-07 15:26:35.481000, 2015-10-07 15:26:36.797000
unit.000002, 1, sim, 2015-10-07 15:21:37.668000, 2015-10-07 15:21:38.850000, 2015-10-07 15:21:40.975000, 2015-10-07 15:21:40.986000, 2015-10-07 15:26:35.379000, 2015-10-07 15:26:36.620000
unit.000003, 1, sim, 2015-10-07 15:21:37.678000, 2015-10-07 15:21:40.533000, 2015-10-07 15:21:41.623000, 2015-10-07 15:21:41.643000, 2015-10-07 15:26:33.366000, 2015-10-07 15:26:34.992000
unit.000004, 1, sim, 2015-10-07 15:21:37.684000, 2015-10-07 15:21:40.649000, 2015-10-07 15:21:41.627000, 2015-10-07 15:21:41.653000, 2015-10-07 15:26:33.264000, 2015-10-07 15:26:34.839000
unit.000005, 1, sim, 2015-10-07 15:21:37.686000, 2015-10-07 15:21:39.280000, 2015-10-07 15:21:39.825000, 2015-10-07 15:21:39.842000, 2015-10-07 15:26:34.069000, 2015-10-07 15:26:35.016000
unit.000006, 1, sim, 2015-10-07 15:21:37.688000, 2015-10-07 15:21:40.293000, 2015-10-07 15:21:40.992000, 2015-10-07 15:21:41.024000, 2015-10-07 15:26:30.254000, 2015-10-07 15:26:31.381000
unit.000007, 1, sim, 2015-10-07 15:21:37.689000, 2015-10-07 15:21:40.826000, 2015-10-07 15:21:41.638000, 2015-10-07 15:21:41.680000, 2015-10-07 15:26:29.751000, 2015-10-07 15:26:31.373000
unit.000008, 1, sim, 2015-10-07 15:21:37.707000, 2015-10-07 15:21:39.648000, 2015-10-07 15:21:40.338000, 2015-10-07 15:21:40.355000, 2015-10-07 15:26:29.048000, 2015-10-07 15:26:31.193000
unit.000009, 1, sim, 2015-10-07 15:21:37.709000, 2015-10-07 15:21:40.473000, 2015-10-07 15:21:41.619000, 2015-10-07 15:21:41.629000, 2015-10-07 15:26:36.390000, 2015-10-07 15:26:37.552000
unit.000010, 1, sim, 2015-10-07 15:21:37.711000, 2015-10-07 15:21:40.116000, 2015-10-07 15:21:40.984000, 2015-10-07 15:21:41.006000, 2015-10-07 15:26:34.873000, 2015-10-07 15:26:36.258000
unit.000011, 1, sim, 2015-10-07 15:21:37.713000, 2015-10-07 15:21:40.357000, 2015-10-07 15:21:40.996000, 2015-10-07 15:21:41.034000, 2015-10-07 15:26:34.875000, 2015-10-07 15:26:36.281000
unit.000012, 1, sim, 2015-10-07 15:21:37.714000, 2015-10-07 15:21:39.468000, 2015-10-07 15:21:40.335000, 2015-10-07 15:21:40.345000, 2015-10-07 15:26:28.945000, 2015-10-07 15:26:31.192000
unit.000013, 1, sim, 2015-10-07 15:21:37.716000, 2015-10-07 15:21:40.180000, 2015-10-07 15:21:40.988000, 2015-10-07 15:21:41.015000, 2015-10-07 15:26:31.860000, 2015-10-07 15:26:32.639000
unit.000014, 1, sim, 2015-10-07 15:21:37.726000, 2015-10-07 15:21:39.084000, 2015-10-07 15:21:39.821000, 2015-10-07 15:21:39.832000, 2015-10-07 15:26:35.583000, 2015-10-07 15:26:36.974000
unit.000015, 1, sim, 2015-10-07 15:21:37.728000, 2015-10-07 15:21:40.004000, 2015-10-07 15:21:40.980000, 2015-10-07 15:21:40.996000, 2015-10-07 15:26:35.177000, 2015-10-07 15:26:36.435000
unit.000016, 1, sim, 2015-10-07 15:21:37.735000, 2015-10-07 15:21:40.710000, 2015-10-07 15:21:41.633000, 2015-10-07 15:21:41.671000, 2015-10-07 15:26:36.186000, 2015-10-07 15:26:37.154000
unit.000017, 1, ana, 2015-10-07 15:26:38.576000, 2015-10-07 15:26:39.409000, 2015-10-07 15:26:40.076000, 2015-10-07 15:26:40.088000, 2015-10-07 15:26:41.301000, 2015-10-07 15:26:42.818000
unit.000018, 1, ana, 2015-10-07 15:26:43.431000, 2015-10-07 15:26:43.914000, 2015-10-07 15:26:44.779000, 2015-10-07 15:26:44.790000, 2015-10-07 15:26:53.025000, 2015-10-07 15:26:54.978000
unit.000019, 1, ana, 2015-10-07 15:26:55.597000, 2015-10-07 15:26:56.072000, 2015-10-07 15:26:56.668000, 2015-10-07 15:26:56.679000, 2015-10-07 15:26:59.741000, 2015-10-07 15:27:01.695000
