Cycle; Step; Start; Stop; Duration
cycle_1; pp_step; 2015-11-06 12:41:42.174528; 2015-11-06 12:41:42.174537; 9e-06
cycle_1; pp_step_enmd_overhead; 2015-11-06 12:41:42.174528; 2015-11-06 12:41:42.174537; 9e-06
cycle_1; ex_step; 2015-11-06 12:41:02.500918; 2015-11-06 12:41:42.174231; 39.673313
cycle_1; ex_step_enmd_overhead; 2015-11-06 12:41:02.500918; 2015-11-06 12:41:02.903538; 0.40262
cycle_1; md_step; 2015-11-06 12:40:13.914876; 2015-11-06 12:41:02.500605; 48.585729
cycle_1; md_step_enmd_overhead; 2015-11-06 12:40:13.914876; 2015-11-06 12:40:14.269225; 0.354349
CU_ID; Scheduling; StagingInput; Allocating; Executing; AgentStagingOutputPending; Done; Cycle; Step;
unit.000049; 1446813663.34; 1446813663.7; 1446813666.47; 1446813666.67; 1446813668.54; 1446813675.95; cycle_1; ex_step
unit.000048; 1446813663.34; 1446813663.7; 1446813666.16; 1446813666.36; 1446813668.24; 1446813674.81; cycle_1; ex_step
unit.000074; 1446813663.38; 1446813681.47; 1446813683.16; 1446813683.36; 1446813685.19; 1446813688.99; cycle_1; ex_step
unit.000087; 1446813663.4; 1446813688.42; 1446813690.02; 1446813690.22; 1446813692.32; 1446813696.63; cycle_1; ex_step
unit.000086; 1446813663.4; 1446813687.98; 1446813689.64; 1446813689.89; 1446813691.72; 1446813695.68; cycle_1; ex_step
unit.000089; 1446813663.41; 1446813689.48; 1446813691.16; 1446813691.36; 1446813693.12; 1446813697.71; cycle_1; ex_step
unit.000092; 1446813663.41; 1446813691.42; 1446813693.11; 1446813693.32; 1446813695.23; 1446813698.93; cycle_1; ex_step
unit.000069; 1446813663.37; 1446813678.73; 1446813680.41; 1446813680.61; 1446813682.48; 1446813686.77; cycle_1; ex_step
unit.000068; 1446813663.37; 1446813678.28; 1446813679.93; 1446813680.13; 1446813681.98; 1446813685.69; cycle_1; ex_step
unit.000085; 1446813663.4; 1446813687.27; 1446813688.98; 1446813689.19; 1446813691.02; 1446813695.54; cycle_1; ex_step
unit.000084; 1446813663.4; 1446813686.82; 1446813688.5; 1446813688.7; 1446813690.61; 1446813694.59; cycle_1; ex_step
