uid, step, Scheduling, StagingInput, Allocating, Executing, PendingAgentOutputStaging, Done

unit.000226, step_1, 2015-09-29 03:14:23.576000, 2015-09-29 03:14:28.367000, 2015-09-29 03:14:28.573000, 2015-09-29 03:14:28.643000, 2015-09-29 03:14:30.731000, 2015-09-29 03:14:32.481000
unit.000227, step_1, 2015-09-29 03:14:23.578000, 2015-09-29 03:14:28.426000, 2015-09-29 03:14:28.777000, 2015-09-29 03:14:28.901000, 2015-09-29 03:14:31.346000, 2015-09-29 03:14:32.537000
unit.000228, step_1, 2015-09-29 03:14:23.580000, 2015-09-29 03:14:28.422000, 2015-09-29 03:14:28.775000, 2015-09-29 03:14:28.853000, 2015-09-29 03:14:31.344000, 2015-09-29 03:14:32.532000
unit.000229, step_1, 2015-09-29 03:14:23.581000, 2015-09-29 03:14:28.405000, 2015-09-29 03:14:28.771000, 2015-09-29 03:14:28.821000, 2015-09-29 03:14:31.343000, 2015-09-29 03:14:32.527000
unit.000230, step_1, 2015-09-29 03:14:23.583000, 2015-09-29 03:14:28.403000, 2015-09-29 03:14:28.770000, 2015-09-29 03:14:28.796000, 2015-09-29 03:14:31.341000, 2015-09-29 03:14:32.516000
unit.000231, step_1, 2015-09-29 03:14:23.584000, 2015-09-29 03:14:28.373000, 2015-09-29 03:14:28.577000, 2015-09-29 03:14:28.666000, 2015-09-29 03:14:30.736000, 2015-09-29 03:14:32.504000
unit.000232, step_1, 2015-09-29 03:14:23.586000, 2015-09-29 03:14:28.364000, 2015-09-29 03:14:28.572000, 2015-09-29 03:14:28.627000, 2015-09-29 03:14:30.730000, 2015-09-29 03:14:32.479000
unit.000233, step_1, 2015-09-29 03:14:23.587000, 2015-09-29 03:14:28.386000, 2015-09-29 03:14:28.580000, 2015-09-29 03:14:28.690000, 2015-09-29 03:14:30.733000, 2015-09-29 03:14:32.492000
unit.000234, step_1, 2015-09-29 03:14:23.589000, 2015-09-29 03:14:28.374000, 2015-09-29 03:14:28.578000, 2015-09-29 03:14:28.674000, 2015-09-29 03:14:30.732000, 2015-09-29 03:14:32.492000
unit.000235, step_1, 2015-09-29 03:14:23.591000, 2015-09-29 03:14:28.371000, 2015-09-29 03:14:28.576000, 2015-09-29 03:14:28.658000, 2015-09-29 03:14:30.731000, 2015-09-29 03:14:32.481000
unit.000236, step_1, 2015-09-29 03:14:23.592000, 2015-09-29 03:14:28.365000, 2015-09-29 03:14:28.573000, 2015-09-29 03:14:28.635000, 2015-09-29 03:14:30.736000, 2015-09-29 03:14:32.506000
unit.000237, step_1, 2015-09-29 03:14:23.594000, 2015-09-29 03:14:28.362000, 2015-09-29 03:14:28.570000, 2015-09-29 03:14:28.619000, 2015-09-29 03:14:30.734000, 2015-09-29 03:14:32.499000
unit.000238, step_1, 2015-09-29 03:14:23.596000, 2015-09-29 03:14:28.357000, 2015-09-29 03:14:28.566000, 2015-09-29 03:14:28.594000, 2015-09-29 03:14:30.729000, 2015-09-29 03:14:32.477000
unit.000239, step_1, 2015-09-29 03:14:23.597000, 2015-09-29 03:14:28.354000, 2015-09-29 03:14:28.564000, 2015-09-29 03:14:28.586000, 2015-09-29 03:14:30.733000, 2015-09-29 03:14:32.499000
unit.000240, step_1, 2015-09-29 03:14:23.599000, 2015-09-29 03:14:24.452000, 2015-09-29 03:14:28.563000, 2015-09-29 03:14:28.577000, 2015-09-29 03:14:30.728000, 2015-09-29 03:14:32.477000
unit.000241, step_1, 2015-09-29 03:14:23.600000, 2015-09-29 03:14:28.388000, 2015-09-29 03:14:28.581000, 2015-09-29 03:14:28.697000, 2015-09-29 03:14:30.737000, 2015-09-29 03:14:32.508000
unit.000242, step_1, 2015-09-29 03:14:23.602000, 2015-09-29 03:14:28.419000, 2015-09-29 03:14:28.773000, 2015-09-29 03:14:28.838000, 2015-09-29 03:14:31.345000, 2015-09-29 03:14:32.535000
unit.000243, step_1, 2015-09-29 03:14:23.603000, 2015-09-29 03:14:28.392000, 2015-09-29 03:14:28.583000, 2015-09-29 03:14:28.714000, 2015-09-29 03:14:31.342000, 2015-09-29 03:14:32.524000
unit.000244, step_1, 2015-09-29 03:14:23.605000, 2015-09-29 03:14:28.399000, 2015-09-29 03:14:28.587000, 2015-09-29 03:14:28.746000, 2015-09-29 03:14:31.343000, 2015-09-29 03:14:32.525000
unit.000245, step_1, 2015-09-29 03:14:23.606000, 2015-09-29 03:14:28.398000, 2015-09-29 03:14:28.586000, 2015-09-29 03:14:28.738000, 2015-09-29 03:14:31.340000, 2015-09-29 03:14:32.514000
unit.000246, step_1, 2015-09-29 03:14:23.608000, 2015-09-29 03:14:28.390000, 2015-09-29 03:14:28.582000, 2015-09-29 03:14:28.706000, 2015-09-29 03:14:31.339000, 2015-09-29 03:14:32.512000
unit.000247, step_1, 2015-09-29 03:14:23.610000, 2015-09-29 03:14:28.420000, 2015-09-29 03:14:28.774000, 2015-09-29 03:14:28.845000, 2015-09-29 03:14:31.342000, 2015-09-29 03:14:32.522000
unit.000248, step_1, 2015-09-29 03:14:23.611000, 2015-09-29 03:14:28.369000, 2015-09-29 03:14:28.575000, 2015-09-29 03:14:28.651000, 2015-09-29 03:14:30.734000, 2015-09-29 03:14:32.500000
unit.000249, step_1, 2015-09-29 03:14:23.613000, 2015-09-29 03:14:28.360000, 2015-09-29 03:14:28.568000, 2015-09-29 03:14:28.611000, 2015-09-29 03:14:30.730000, 2015-09-29 03:14:32.479000
unit.000250, step_1, 2015-09-29 03:14:23.614000, 2015-09-29 03:14:28.406000, 2015-09-29 03:14:28.772000, 2015-09-29 03:14:28.829000, 2015-09-29 03:14:31.341000, 2015-09-29 03:14:32.517000
unit.000251, step_1, 2015-09-29 03:14:23.616000, 2015-09-29 03:14:28.394000, 2015-09-29 03:14:28.584000, 2015-09-29 03:14:28.722000, 2015-09-29 03:14:31.339000, 2015-09-29 03:14:32.513000
unit.000252, step_1, 2015-09-29 03:14:23.618000, 2015-09-29 03:14:24.453000, 2015-09-29 03:14:28.768000, 2015-09-29 03:14:28.778000, 2015-09-29 03:14:31.340000, 2015-09-29 03:14:32.514000
unit.000253, step_1, 2015-09-29 03:14:23.619000, 2015-09-29 03:14:28.358000, 2015-09-29 03:14:28.567000, 2015-09-29 03:14:28.603000, 2015-09-29 03:14:30.735000, 2015-09-29 03:14:32.502000
unit.000254, step_1, 2015-09-29 03:14:23.621000, 2015-09-29 03:14:28.376000, 2015-09-29 03:14:28.579000, 2015-09-29 03:14:28.682000, 2015-09-29 03:14:30.735000, 2015-09-29 03:14:32.501000
unit.000255, step_1, 2015-09-29 03:14:23.622000, 2015-09-29 03:14:28.401000, 2015-09-29 03:14:28.769000, 2015-09-29 03:14:28.788000, 2015-09-29 03:14:31.345000, 2015-09-29 03:14:32.536000
unit.000256, step_1, 2015-09-29 03:14:23.624000, 2015-09-29 03:14:28.396000, 2015-09-29 03:14:28.585000, 2015-09-29 03:14:28.730000, 2015-09-29 03:14:31.344000, 2015-09-29 03:14:32.534000
unit.000257, step_1, 2015-09-29 03:14:23.625000, 2015-09-29 03:14:28.424000, 2015-09-29 03:14:28.776000, 2015-09-29 03:14:28.863000, 2015-09-29 03:14:31.342000, 2015-09-29 03:14:32.523000
unit.000258, step_2, 2015-09-29 03:14:33.344000, 2015-09-29 03:14:34.488000, 2015-09-29 03:14:34.686000, 2015-09-29 03:14:34.806000, 2015-09-29 03:14:37.179000, 2015-09-29 03:14:46.767000
