uid, step, Scheduling, StagingInput, Allocating, Executing, PendingAgentOutputStaging, Done

unit.000290, step_1, 2015-09-29 03:16:25.671000, 2015-09-29 03:16:27.340000, 2015-09-29 03:16:27.749000, 2015-09-29 03:16:27.829000, 2015-09-29 03:16:29.711000, 2015-09-29 03:16:30.609000
unit.000291, step_1, 2015-09-29 03:16:25.673000, 2015-09-29 03:16:27.349000, 2015-09-29 03:16:27.754000, 2015-09-29 03:16:27.871000, 2015-09-29 03:16:29.605000, 2015-09-29 03:16:30.603000
unit.000292, step_1, 2015-09-29 03:16:25.675000, 2015-09-29 03:16:27.524000, 2015-09-29 03:16:28.070000, 2015-09-29 03:16:29.171000, 2015-09-29 03:16:31.882000, 2015-09-29 03:16:33.765000
unit.000293, step_1, 2015-09-29 03:16:25.676000, 2015-09-29 03:16:27.531000, 2015-09-29 03:16:28.076000, 2015-09-29 03:16:29.311000, 2015-09-29 03:16:31.883000, 2015-09-29 03:16:33.769000
unit.000294, step_1, 2015-09-29 03:16:25.678000, 2015-09-29 03:16:27.540000, 2015-09-29 03:16:28.086000, 2015-09-29 03:16:29.504000, 2015-09-29 03:16:31.889000, 2015-09-29 03:16:33.781000
unit.000295, step_1, 2015-09-29 03:16:25.679000, 2015-09-29 03:16:27.551000, 2015-09-29 03:16:28.093000, 2015-09-29 03:16:29.624000, 2015-09-29 03:16:31.885000, 2015-09-29 03:16:33.774000
unit.000296, step_1, 2015-09-29 03:16:25.681000, 2015-09-29 03:16:27.376000, 2015-09-29 03:16:27.769000, 2015-09-29 03:16:28, 2015-09-29 03:16:30.643000, 2015-09-29 03:16:31.668000
unit.000297, step_1, 2015-09-29 03:16:25.683000, 2015-09-29 03:16:27.363000, 2015-09-29 03:16:27.762000, 2015-09-29 03:16:27.934000, 2015-09-29 03:16:30.527000, 2015-09-29 03:16:31.621000
unit.000298, step_1, 2015-09-29 03:16:25.684000, 2015-09-29 03:16:27.401000, 2015-09-29 03:16:27.779000, 2015-09-29 03:16:28.097000, 2015-09-29 03:16:30.531000, 2015-09-29 03:16:31.638000
unit.000299, step_1, 2015-09-29 03:16:25.686000, 2015-09-29 03:16:27.443000, 2015-09-29 03:16:27.796000, 2015-09-29 03:16:28.428000, 2015-09-29 03:16:30.852000, 2015-09-29 03:16:32.695000
unit.000300, step_1, 2015-09-29 03:16:25.687000, 2015-09-29 03:16:27.477000, 2015-09-29 03:16:28.042000, 2015-09-29 03:16:28.680000, 2015-09-29 03:16:31.364000, 2015-09-29 03:16:32.727000
unit.000301, step_1, 2015-09-29 03:16:25.689000, 2015-09-29 03:16:27.408000, 2015-09-29 03:16:27.783000, 2015-09-29 03:16:28.156000, 2015-09-29 03:16:30.641000, 2015-09-29 03:16:31.662000
unit.000302, step_1, 2015-09-29 03:16:25.690000, 2015-09-29 03:16:27.416000, 2015-09-29 03:16:27.786000, 2015-09-29 03:16:28.198000, 2015-09-29 03:16:30.848000, 2015-09-29 03:16:32.681000
unit.000303, step_1, 2015-09-29 03:16:25.692000, 2015-09-29 03:16:27.524000, 2015-09-29 03:16:28.071000, 2015-09-29 03:16:29.189000, 2015-09-29 03:16:31.887000, 2015-09-29 03:16:33.777000
unit.000304, step_1, 2015-09-29 03:16:25.694000, 2015-09-29 03:16:27.427000, 2015-09-29 03:16:27.791000, 2015-09-29 03:16:28.334000, 2015-09-29 03:16:30.850000, 2015-09-29 03:16:32.684000
unit.000305, step_1, 2015-09-29 03:16:25.695000, 2015-09-29 03:16:27.418000, 2015-09-29 03:16:27.787000, 2015-09-29 03:16:28.205000, 2015-09-29 03:16:30.853000, 2015-09-29 03:16:32.697000
unit.000306, step_1, 2015-09-29 03:16:25.697000, 2015-09-29 03:16:27.445000, 2015-09-29 03:16:27.797000, 2015-09-29 03:16:28.445000, 2015-09-29 03:16:30.855000, 2015-09-29 03:16:32.700000
