uid, iter, step, Scheduling, StagingInput, Allocating, Executing, PendingAgentOutputStaging, Done

unit.001480, step_1, 2015-09-29 03:46:59.002000, 2015-09-29 03:47:01.574000, 2015-09-29 03:47:02.063000, 2015-09-29 03:47:02.380000, 2015-09-29 03:47:04.959000, 2015-09-29 03:47:06.687000
unit.001481, step_1, 2015-09-29 03:46:59.003000, 2015-09-29 03:47:01.723000, 2015-09-29 03:47:02.108000, 2015-09-29 03:47:02.804000, 2015-09-29 03:47:05.583000, 2015-09-29 03:47:06.817000
unit.001482, step_1, 2015-09-29 03:46:59.005000, 2015-09-29 03:47:01.583000, 2015-09-29 03:47:02.067000, 2015-09-29 03:47:02.417000, 2015-09-29 03:47:04.960000, 2015-09-29 03:47:06.692000
unit.001483, step_1, 2015-09-29 03:46:59.007000, 2015-09-29 03:47:01.918000, 2015-09-29 03:47:02.319000, 2015-09-29 03:47:02.953000, 2015-09-29 03:47:05.594000, 2015-09-29 03:47:06.859000
unit.001484, step_1, 2015-09-29 03:46:59.008000, 2015-09-29 03:47:01.560000, 2015-09-29 03:47:02.057000, 2015-09-29 03:47:02.261000, 2015-09-29 03:47:04.856000, 2015-09-29 03:47:06.682000
unit.001485, step_1, 2015-09-29 03:46:59.010000, 2015-09-29 03:47:01.570000, 2015-09-29 03:47:02.061000, 2015-09-29 03:47:02.362000, 2015-09-29 03:47:04.958000, 2015-09-29 03:47:06.686000
unit.001486, step_1, 2015-09-29 03:46:59.012000, 2015-09-29 03:47:01.633000, 2015-09-29 03:47:02.093000, 2015-09-29 03:47:02.692000, 2015-09-29 03:47:05.179000, 2015-09-29 03:47:06.803000
unit.001487, step_1, 2015-09-29 03:46:59.013000, 2015-09-29 03:47:02.070000, 2015-09-29 03:47:02.338000, 2015-09-29 03:47:03.124000, 2015-09-29 03:47:05.593000, 2015-09-29 03:47:06.856000
unit.001488, step_1, 2015-09-29 03:46:59.015000, 2015-09-29 03:47:01.938000, 2015-09-29 03:47:02.325000, 2015-09-29 03:47:02.961000, 2015-09-29 03:47:05.586000, 2015-09-29 03:47:06.835000
unit.001489, step_1, 2015-09-29 03:46:59.016000, 2015-09-29 03:47:01.597000, 2015-09-29 03:47:02.073000, 2015-09-29 03:47:02.474000, 2015-09-29 03:47:04.961000, 2015-09-29 03:47:06.698000
unit.001490, step_1, 2015-09-29 03:46:59.018000, 2015-09-29 03:47:02.159000, 2015-09-29 03:47:02.343000, 2015-09-29 03:47:03.221000, 2015-09-29 03:47:05.594000, 2015-09-29 03:47:06.860000
unit.001491, step_1, 2015-09-29 03:46:59.020000, 2015-09-29 03:47:01.572000, 2015-09-29 03:47:02.062000, 2015-09-29 03:47:02.371000, 2015-09-29 03:47:04.964000, 2015-09-29 03:47:06.714000
unit.001492, step_1, 2015-09-29 03:46:59.021000, 2015-09-29 03:47:01.535000, 2015-09-29 03:47:02.042000, 2015-09-29 03:47:02.088000, 2015-09-29 03:47:04.845000, 2015-09-29 03:47:05.627000
unit.001493, step_1, 2015-09-29 03:46:59.023000, 2015-09-29 03:47:01.554000, 2015-09-29 03:47:02.054000, 2015-09-29 03:47:02.226000, 2015-09-29 03:47:04.848000, 2015-09-29 03:47:05.638000
unit.001494, step_1, 2015-09-29 03:46:59.025000, 2015-09-29 03:47:01.479000, 2015-09-29 03:47:01.740000, 2015-09-29 03:47:01.814000, 2015-09-29 03:47:04.230000, 2015-09-29 03:47:05.587000
unit.001495, step_1, 2015-09-29 03:46:59.026000, 2015-09-29 03:47:01.529000, 2015-09-29 03:47:02.038000, 2015-09-29 03:47:02.063000, 2015-09-29 03:47:05.181000, 2015-09-29 03:47:06.811000
unit.001496, step_1, 2015-09-29 03:46:59.028000, 2015-09-29 03:47:01.499000, 2015-09-29 03:47:01.750000, 2015-09-29 03:47:01.889000, 2015-09-29 03:47:05.170000, 2015-09-29 03:47:06.748000
unit.001497, step_1, 2015-09-29 03:46:59.030000, 2015-09-29 03:47:01.564000, 2015-09-29 03:47:02.059000, 2015-09-29 03:47:02.307000, 2015-09-29 03:47:04.963000, 2015-09-29 03:47:06.711000
unit.001498, step_1, 2015-09-29 03:46:59.031000, 2015-09-29 03:47:01.562000, 2015-09-29 03:47:02.058000, 2015-09-29 03:47:02.299000, 2015-09-29 03:47:04.958000, 2015-09-29 03:47:06.683000
