uid, step, Scheduling, StagingInput, Allocating, Executing, PendingAgentOutputStaging, Done

unit.000130, step_1, 2015-09-29 03:10:22.548000, 2015-09-29 03:10:24.019000, 2015-09-29 03:10:24.374000, 2015-09-29 03:10:24.567000, 2015-09-29 03:10:26.960000, 2015-09-29 03:10:28.334000
unit.000131, step_1, 2015-09-29 03:10:22.550000, 2015-09-29 03:10:24.012000, 2015-09-29 03:10:24.371000, 2015-09-29 03:10:24.523000, 2015-09-29 03:10:26.958000, 2015-09-29 03:10:28.330000
unit.000132, step_1, 2015-09-29 03:10:22.551000, 2015-09-29 03:10:24.007000, 2015-09-29 03:10:24.368000, 2015-09-29 03:10:24.499000, 2015-09-29 03:10:26.962000, 2015-09-29 03:10:28.339000
unit.000133, step_1, 2015-09-29 03:10:22.553000, 2015-09-29 03:10:24.002000, 2015-09-29 03:10:24.365000, 2015-09-29 03:10:24.473000, 2015-09-29 03:10:26.254000, 2015-09-29 03:10:27.317000
unit.000134, step_1, 2015-09-29 03:10:22.554000, 2015-09-29 03:10:23.984000, 2015-09-29 03:10:24.354000, 2015-09-29 03:10:24.395000, 2015-09-29 03:10:26.252000, 2015-09-29 03:10:27.314000
unit.000135, step_1, 2015-09-29 03:10:22.556000, 2015-09-29 03:10:23.283000, 2015-09-29 03:10:24.349000, 2015-09-29 03:10:24.361000, 2015-09-29 03:10:26.248000, 2015-09-29 03:10:27.306000
unit.000136, step_1, 2015-09-29 03:10:22.558000, 2015-09-29 03:10:24, 2015-09-29 03:10:24.363000, 2015-09-29 03:10:24.466000, 2015-09-29 03:10:26.251000, 2015-09-29 03:10:27.312000
unit.000137, step_1, 2015-09-29 03:10:22.559000, 2015-09-29 03:10:24.029000, 2015-09-29 03:10:24.378000, 2015-09-29 03:10:24.616000, 2015-09-29 03:10:26.961000, 2015-09-29 03:10:28.336000
unit.000138, step_1, 2015-09-29 03:10:22.561000, 2015-09-29 03:10:23.989000, 2015-09-29 03:10:24.358000, 2015-09-29 03:10:24.419000, 2015-09-29 03:10:26.249000, 2015-09-29 03:10:27.308000
unit.000139, step_1, 2015-09-29 03:10:22.567000, 2015-09-29 03:10:23.993000, 2015-09-29 03:10:24.359000, 2015-09-29 03:10:24.434000, 2015-09-29 03:10:26.250000, 2015-09-29 03:10:27.310000
unit.000140, step_1, 2015-09-29 03:10:22.572000, 2015-09-29 03:10:23.995000, 2015-09-29 03:10:24.360000, 2015-09-29 03:10:24.442000, 2015-09-29 03:10:26.255000, 2015-09-29 03:10:27.319000
unit.000141, step_1, 2015-09-29 03:10:22.573000, 2015-09-29 03:10:23.982000, 2015-09-29 03:10:24.353000, 2015-09-29 03:10:24.387000, 2015-09-29 03:10:26.248000, 2015-09-29 03:10:27.307000
unit.000142, step_1, 2015-09-29 03:10:22.575000, 2015-09-29 03:10:23.987000, 2015-09-29 03:10:24.357000, 2015-09-29 03:10:24.411000, 2015-09-29 03:10:26.254000, 2015-09-29 03:10:27.317000
unit.000143, step_1, 2015-09-29 03:10:22.577000, 2015-09-29 03:10:24.024000, 2015-09-29 03:10:24.375000, 2015-09-29 03:10:24.575000, 2015-09-29 03:10:26.963000, 2015-09-29 03:10:28.347000
unit.000144, step_1, 2015-09-29 03:10:22.583000, 2015-09-29 03:10:24.033000, 2015-09-29 03:10:24.380000, 2015-09-29 03:10:24.633000, 2015-09-29 03:10:26.961000, 2015-09-29 03:10:28.338000
unit.000145, step_1, 2015-09-29 03:10:22.585000, 2015-09-29 03:10:23.991000, 2015-09-29 03:10:24.359000, 2015-09-29 03:10:24.426000, 2015-09-29 03:10:26.253000, 2015-09-29 03:10:27.315000
unit.000146, step_1, 2015-09-29 03:10:22.594000, 2015-09-29 03:10:23.978000, 2015-09-29 03:10:24.350000, 2015-09-29 03:10:24.370000, 2015-09-29 03:10:26.252000, 2015-09-29 03:10:27.313000
unit.000147, step_1, 2015-09-29 03:10:22.596000, 2015-09-29 03:10:24.026000, 2015-09-29 03:10:24.376000, 2015-09-29 03:10:24.600000, 2015-09-29 03:10:26.960000, 2015-09-29 03:10:28.334000
unit.000148, step_1, 2015-09-29 03:10:22.598000, 2015-09-29 03:10:24.031000, 2015-09-29 03:10:24.378000, 2015-09-29 03:10:24.624000, 2015-09-29 03:10:26.964000, 2015-09-29 03:10:28.348000
unit.000149, step_1, 2015-09-29 03:10:22.599000, 2015-09-29 03:10:24.010000, 2015-09-29 03:10:24.369000, 2015-09-29 03:10:24.515000, 2015-09-29 03:10:27.064000, 2015-09-29 03:10:28.349000
unit.000150, step_1, 2015-09-29 03:10:22.607000, 2015-09-29 03:10:23.998000, 2015-09-29 03:10:24.362000, 2015-09-29 03:10:24.458000, 2015-09-29 03:10:26.253000, 2015-09-29 03:10:27.316000
unit.000151, step_1, 2015-09-29 03:10:22.609000, 2015-09-29 03:10:23.996000, 2015-09-29 03:10:24.361000, 2015-09-29 03:10:24.450000, 2015-09-29 03:10:26.250000, 2015-09-29 03:10:27.310000
unit.000152, step_1, 2015-09-29 03:10:22.610000, 2015-09-29 03:10:23.980000, 2015-09-29 03:10:24.352000, 2015-09-29 03:10:24.379000, 2015-09-29 03:10:26.255000, 2015-09-29 03:10:27.325000
unit.000153, step_1, 2015-09-29 03:10:22.612000, 2015-09-29 03:10:24.003000, 2015-09-29 03:10:24.366000, 2015-09-29 03:10:24.482000, 2015-09-29 03:10:26.251000, 2015-09-29 03:10:27.312000
unit.000154, step_1, 2015-09-29 03:10:22.613000, 2015-09-29 03:10:24.005000, 2015-09-29 03:10:24.366000, 2015-09-29 03:10:24.491000, 2015-09-29 03:10:26.957000, 2015-09-29 03:10:28.327000
unit.000155, step_1, 2015-09-29 03:10:22.619000, 2015-09-29 03:10:24.009000, 2015-09-29 03:10:24.368000, 2015-09-29 03:10:24.507000, 2015-09-29 03:10:26.958000, 2015-09-29 03:10:28.328000
unit.000156, step_1, 2015-09-29 03:10:22.620000, 2015-09-29 03:10:24.014000, 2015-09-29 03:10:24.371000, 2015-09-29 03:10:24.543000, 2015-09-29 03:10:27.065000, 2015-09-29 03:10:28.354000
unit.000157, step_1, 2015-09-29 03:10:22.626000, 2015-09-29 03:10:24.017000, 2015-09-29 03:10:24.373000, 2015-09-29 03:10:24.559000, 2015-09-29 03:10:26.962000, 2015-09-29 03:10:28.340000
unit.000158, step_1, 2015-09-29 03:10:22.628000, 2015-09-29 03:10:23.290000, 2015-09-29 03:10:24.559000, 2015-09-29 03:10:24.644000, 2015-09-29 03:10:27.065000, 2015-09-29 03:10:28.354000
unit.000159, step_1, 2015-09-29 03:10:22.634000, 2015-09-29 03:10:24.028000, 2015-09-29 03:10:24.377000, 2015-09-29 03:10:24.608000, 2015-09-29 03:10:26.963000, 2015-09-29 03:10:28.347000
unit.000160, step_1, 2015-09-29 03:10:22.636000, 2015-09-29 03:10:23.986000, 2015-09-29 03:10:24.356000, 2015-09-29 03:10:24.402000, 2015-09-29 03:10:26.249000, 2015-09-29 03:10:27.308000
unit.000161, step_1, 2015-09-29 03:10:22.637000, 2015-09-29 03:10:24.015000, 2015-09-29 03:10:24.372000, 2015-09-29 03:10:24.551000, 2015-09-29 03:10:26.959000, 2015-09-29 03:10:28.331000
unit.000162, step_2, 2015-09-29 03:10:29.156000, 2015-09-29 03:10:30.106000, 2015-09-29 03:10:30.331000, 2015-09-29 03:10:30.566000, 2015-09-29 03:10:32.801000, 2015-09-29 03:10:45.950000
unit.000163, step_2, 2015-09-29 03:10:29.157000, 2015-09-29 03:10:30.104000, 2015-09-29 03:10:30.330000, 2015-09-29 03:10:30.546000, 2015-09-29 03:10:32.799000, 2015-09-29 03:10:45.190000
unit.000164, step_2, 2015-09-29 03:10:29.159000, 2015-09-29 03:10:30.052000, 2015-09-29 03:10:30.289000, 2015-09-29 03:10:30.301000, 2015-09-29 03:10:32.688000, 2015-09-29 03:10:35.259000
unit.000165, step_2, 2015-09-29 03:10:29.161000, 2015-09-29 03:10:30.096000, 2015-09-29 03:10:30.325000, 2015-09-29 03:10:30.463000, 2015-09-29 03:10:32.695000, 2015-09-29 03:10:43.403000
unit.000166, step_2, 2015-09-29 03:10:29.163000, 2015-09-29 03:10:30.069000, 2015-09-29 03:10:30.310000, 2015-09-29 03:10:30.377000, 2015-09-29 03:10:32.690000, 2015-09-29 03:10:38.867000
unit.000167, step_2, 2015-09-29 03:10:29.164000, 2015-09-29 03:10:30.077000, 2015-09-29 03:10:30.317000, 2015-09-29 03:10:30.411000, 2015-09-29 03:10:32.691000, 2015-09-29 03:10:40.707000
unit.000168, step_2, 2015-09-29 03:10:29.166000, 2015-09-29 03:10:30.055000, 2015-09-29 03:10:30.292000, 2015-09-29 03:10:30.310000, 2015-09-29 03:10:32.587000, 2015-09-29 03:10:35.282000
unit.000169, step_2, 2015-09-29 03:10:29.167000, 2015-09-29 03:10:30.121000, 2015-09-29 03:10:30.339000, 2015-09-29 03:10:30.670000, 2015-09-29 03:10:33.305000, 2015-09-29 03:10:48.609000
unit.000170, step_2, 2015-09-29 03:10:29.169000, 2015-09-29 03:10:30.123000, 2015-09-29 03:10:30.499000, 2015-09-29 03:10:30.680000, 2015-09-29 03:10:32.903000, 2015-09-29 03:10:48.765000
unit.000171, step_2, 2015-09-29 03:10:29.171000, 2015-09-29 03:10:30.071000, 2015-09-29 03:10:30.311000, 2015-09-29 03:10:30.385000, 2015-09-29 03:10:32.694000, 2015-09-29 03:10:39.733000
unit.000172, step_2, 2015-09-29 03:10:29.173000, 2015-09-29 03:10:30.102000, 2015-09-29 03:10:30.329000, 2015-09-29 03:10:30.517000, 2015-09-29 03:10:32.800000, 2015-09-29 03:10:45.070000
unit.000173, step_2, 2015-09-29 03:10:29.175000, 2015-09-29 03:10:30.094000, 2015-09-29 03:10:30.324000, 2015-09-29 03:10:30.453000, 2015-09-29 03:10:32.692000, 2015-09-29 03:10:43.298000
unit.000174, step_2, 2015-09-29 03:10:29.176000, 2015-09-29 03:10:30.060000, 2015-09-29 03:10:30.298000, 2015-09-29 03:10:30.335000, 2015-09-29 03:10:32.696000, 2015-09-29 03:10:37.048000
unit.000175, step_2, 2015-09-29 03:10:29.178000, 2015-09-29 03:10:30.075000, 2015-09-29 03:10:30.315000, 2015-09-29 03:10:30.403000, 2015-09-29 03:10:32.696000, 2015-09-29 03:10:40.620000
unit.000176, step_2, 2015-09-29 03:10:29.179000, 2015-09-29 03:10:30.098000, 2015-09-29 03:10:30.326000, 2015-09-29 03:10:30.470000, 2015-09-29 03:10:32.692000, 2015-09-29 03:10:44.188000
unit.000177, step_2, 2015-09-29 03:10:29.181000, 2015-09-29 03:10:30.062000, 2015-09-29 03:10:30.300000, 2015-09-29 03:10:30.343000, 2015-09-29 03:10:32.689000, 2015-09-29 03:10:37.091000
unit.000178, step_2, 2015-09-29 03:10:29.183000, 2015-09-29 03:10:30.079000, 2015-09-29 03:10:30.318000, 2015-09-29 03:10:30.419000, 2015-09-29 03:10:32.695000, 2015-09-29 03:10:41.514000
unit.000179, step_2, 2015-09-29 03:10:29.184000, 2015-09-29 03:10:30.115000, 2015-09-29 03:10:30.335000, 2015-09-29 03:10:30.620000, 2015-09-29 03:10:32.902000, 2015-09-29 03:10:46.954000
unit.000180, step_2, 2015-09-29 03:10:29.186000, 2015-09-29 03:10:30.084000, 2015-09-29 03:10:30.320000, 2015-09-29 03:10:30.427000, 2015-09-29 03:10:32.691000, 2015-09-29 03:10:41.610000
unit.000181, step_2, 2015-09-29 03:10:29.191000, 2015-09-29 03:10:30.117000, 2015-09-29 03:10:30.336000, 2015-09-29 03:10:30.641000, 2015-09-29 03:10:32.903000, 2015-09-29 03:10:47.721000
unit.000182, step_2, 2015-09-29 03:10:29.192000, 2015-09-29 03:10:30.100000, 2015-09-29 03:10:30.328000, 2015-09-29 03:10:30.494000, 2015-09-29 03:10:32.697000, 2015-09-29 03:10:44.297000
unit.000183, step_2, 2015-09-29 03:10:29.198000, 2015-09-29 03:10:30.068000, 2015-09-29 03:10:30.308000, 2015-09-29 03:10:30.369000, 2015-09-29 03:10:32.697000, 2015-09-29 03:10:38.848000
unit.000184, step_2, 2015-09-29 03:10:29.200000, 2015-09-29 03:10:30.091000, 2015-09-29 03:10:30.321000, 2015-09-29 03:10:30.436000, 2015-09-29 03:10:32.698000, 2015-09-29 03:10:42.411000
unit.000185, step_2, 2015-09-29 03:10:29.201000, 2015-09-29 03:10:30.058000, 2015-09-29 03:10:30.296000, 2015-09-29 03:10:30.327000, 2015-09-29 03:10:32.689000, 2015-09-29 03:10:36.181000
unit.000186, step_2, 2015-09-29 03:10:29.211000, 2015-09-29 03:10:30.093000, 2015-09-29 03:10:30.322000, 2015-09-29 03:10:30.445000, 2015-09-29 03:10:32.798000, 2015-09-29 03:10:42.506000
unit.000187, step_2, 2015-09-29 03:10:29.212000, 2015-09-29 03:10:30.111000, 2015-09-29 03:10:30.334000, 2015-09-29 03:10:30.606000, 2015-09-29 03:10:32.800000, 2015-09-29 03:10:46.837000
unit.000188, step_2, 2015-09-29 03:10:29.214000, 2015-09-29 03:10:30.057000, 2015-09-29 03:10:30.293000, 2015-09-29 03:10:30.319000, 2015-09-29 03:10:32.693000, 2015-09-29 03:10:36.148000
unit.000189, step_2, 2015-09-29 03:10:29.216000, 2015-09-29 03:10:30.066000, 2015-09-29 03:10:30.306000, 2015-09-29 03:10:30.359000, 2015-09-29 03:10:32.690000, 2015-09-29 03:10:37.982000
unit.000190, step_2, 2015-09-29 03:10:29.218000, 2015-09-29 03:10:30.108000, 2015-09-29 03:10:30.333000, 2015-09-29 03:10:30.584000, 2015-09-29 03:10:32.799000, 2015-09-29 03:10:46.075000
unit.000191, step_2, 2015-09-29 03:10:29.219000, 2015-09-29 03:10:30.064000, 2015-09-29 03:10:30.303000, 2015-09-29 03:10:30.351000, 2015-09-29 03:10:32.693000, 2015-09-29 03:10:37.960000
unit.000192, step_2, 2015-09-29 03:10:29.221000, 2015-09-29 03:10:30.120000, 2015-09-29 03:10:30.338000, 2015-09-29 03:10:30.659000, 2015-09-29 03:10:33.004000, 2015-09-29 03:10:47.837000
unit.000193, step_2, 2015-09-29 03:10:29.231000, 2015-09-29 03:10:30.073000, 2015-09-29 03:10:30.313000, 2015-09-29 03:10:30.393000, 2015-09-29 03:10:32.691000, 2015-09-29 03:10:39.785000
