Pilot wait= 2015-08-24 16:05:42.158785
Pilot active= 2015-08-24 16:09:04.410252
Preloop wait= 2015-08-24 16:09:04.895880
Preloop done= 2015-08-24 16:09:09.693030
Sims-1 wait= 2015-08-24 16:09:38.988153
Sims-1 done= 2015-08-24 16:09:48.780078
Sims-2 wait= 2015-08-24 16:10:19.017589
Sims-2 done= 2015-08-24 16:10:27.857014
Ana-1 wait= 2015-08-24 16:10:28.389885
Ana-1 done= 2015-08-24 16:10:32.286331
Ana-2 wait= 2015-08-24 16:10:32.763226
Ana-2 done= 2015-08-24 16:10:36.533635
Iter done= 2015-08-24 16:10:36.535664
Start= 2015-08-24 16:05:37.075285
Allocating= 2015-08-24 16:05:37.099665
Allocated= 2015-08-24 16:05:42.157523
Executing= 2015-08-24 16:05:42.157690
Deallocating= 2015-08-24 16:10:36.538911
Done= 2015-08-24 16:10:52.403805
